th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.035602e+06   8.073075e+02
 3.035500e-04   1.876050e+06   2.245486e+02
 3.069700e-04   1.814393e+06   3.269361e+02
 3.103900e-04   1.753878e+06   2.614496e+02
 3.138100e-04   1.698643e+06   3.067944e+02
 3.172300e-04   1.643198e+06   4.032025e+02
 3.206500e-04   1.591022e+06   2.520144e+02
 3.240700e-04   1.541541e+06   3.351794e+02
 3.274900e-04   1.493738e+06   4.354530e+02
 3.309100e-04   1.447656e+06   2.683063e+02
 3.343300e-04   1.403473e+06   4.760700e+02
 3.377500e-04   1.361180e+06   2.418141e+02
 3.411700e-04   1.320468e+06   2.512843e+02
 3.445900e-04   1.281495e+06   3.646368e+02
 3.480100e-04   1.245375e+06   4.998931e+02
 3.514300e-04   1.207660e+06   2.874678e+02
 3.548500e-04   1.173617e+06   2.889632e+02
 3.582700e-04   1.140293e+06   3.194336e+02
 3.616900e-04   1.108093e+06   2.541793e+02
 3.651100e-04   1.076703e+06   2.662344e+02
 3.685300e-04   1.047804e+06   4.035726e+02
 3.719500e-04   1.018641e+06   2.427956e+02
 3.753700e-04   9.908479e+05   3.245778e+02
 3.787900e-04   9.640082e+05   2.274379e+02
 3.822100e-04   9.380898e+05   3.694488e+02
 3.856300e-04   9.144192e+05   3.213769e+02
 3.890500e-04   8.899206e+05   2.739149e+02
 3.924700e-04   8.665237e+05   3.201467e+02
 3.958900e-04   8.448141e+05   2.349223e+02
 3.993100e-04   8.229655e+05   2.123113e+02
 4.027300e-04   8.016494e+05   3.530028e+02
 4.061500e-04   7.816235e+05   3.107790e+02
 4.095700e-04   7.624032e+05   2.131317e+02
 4.129900e-04   7.438935e+05   2.220653e+02
 4.164100e-04   7.249941e+05   2.415936e+02
 4.198300e-04   7.078387e+05   1.786026e+02
 4.232500e-04   6.906719e+05   1.818597e+02
 4.266700e-04   6.741970e+05   2.080681e+02
 4.300900e-04   6.582122e+05   2.565555e+02
 4.335100e-04   6.426441e+05   1.946190e+02
 4.369300e-04   6.272300e+05   3.089439e+02
 4.403500e-04   6.129280e+05   2.512540e+02
 4.437700e-04   5.987371e+05   2.458296e+02
 4.471900e-04   5.854125e+05   1.795063e+02
 4.506100e-04   5.719977e+05   3.733576e+02
 4.540300e-04   5.588495e+05   2.421380e+02
 4.574500e-04   5.467903e+05   2.306949e+02
