th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.187698e+02   6.818592e+00
 3.035500e-04   4.429106e+02   1.860583e+01
 3.069700e-04   5.349652e+02   2.898856e+01
 3.103900e-04   5.706331e+02   2.353117e+01
 3.138100e-04   5.650430e+02   1.033745e+01
 3.172300e-04   1.298188e+06   2.531501e+02
 3.206500e-04   1.590938e+06   1.098546e+02
 3.240700e-04   1.541302e+06   1.565593e+02
 3.274900e-04   1.493277e+06   1.642655e+02
 3.309100e-04   1.447427e+06   2.038132e+02
 3.343300e-04   1.403303e+06   1.560047e+02
 3.377500e-04   1.361343e+06   1.466698e+02
 3.411700e-04   1.320414e+06   1.867823e+02
 3.445900e-04   1.281675e+06   1.531059e+02
 3.480100e-04   1.244014e+06   1.978801e+02
 3.514300e-04   1.207981e+06   2.484710e+02
 3.548500e-04   1.173136e+06   2.044405e+02
 3.582700e-04   1.140010e+06   1.329848e+02
 3.616900e-04   1.107909e+06   1.305219e+02
 3.651100e-04   1.076805e+06   1.361565e+02
 3.685300e-04   1.047206e+06   1.563925e+02
 3.719500e-04   1.018381e+06   1.420749e+02
 3.753700e-04   9.907163e+05   1.846691e+02
 3.787900e-04   9.644968e+05   1.560401e+02
 3.822100e-04   9.381376e+05   1.190243e+02
 3.856300e-04   9.139004e+05   1.876094e+02
 3.890500e-04   8.891852e+05   1.498324e+02
 3.924700e-04   8.666157e+05   1.507019e+02
 3.958900e-04   8.442188e+05   1.668148e+02
 3.993100e-04   8.226218e+05   7.916577e+01
 4.027300e-04   8.015328e+05   1.333056e+02
 4.061500e-04   7.815665e+05   1.453851e+02
 4.095700e-04   7.624350e+05   1.364395e+02
 4.129900e-04   7.432575e+05   1.539282e+02
 4.164100e-04   7.252983e+05   1.710528e+02
 4.198300e-04   7.075809e+05   1.300950e+02
 4.232500e-04   6.902830e+05   1.525022e+02
 4.266700e-04   6.737068e+05   1.183054e+02
 4.300900e-04   6.579403e+05   1.240314e+02
 4.335100e-04   6.422131e+05   1.883765e+02
 4.369300e-04   6.273935e+05   1.238974e+02
 4.403500e-04   6.127440e+05   1.120188e+02
 4.437700e-04   5.989071e+05   1.222927e+02
 4.471900e-04   5.847082e+05   1.227205e+02
 4.506100e-04   5.717888e+05   1.401299e+02
 4.540300e-04   5.587095e+05   1.670978e+02
 4.574500e-04   5.464514e+05   1.627052e+02
