th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.280556e+02   1.335835e+01
 3.035500e-04   4.369124e+02   1.525967e+01
 3.069700e-04   4.688789e+02   1.349390e+01
 3.103900e-04   5.579989e+02   2.922863e+01
 3.138100e-04   5.726224e+02   1.852276e+01
 3.172300e-04   1.297972e+06   1.118931e+02
 3.206500e-04   1.590877e+06   9.798092e+01
 3.240700e-04   1.541186e+06   1.750727e+02
 3.274900e-04   1.493143e+06   1.105645e+02
 3.309100e-04   1.447388e+06   2.002119e+02
 3.343300e-04   1.403333e+06   1.805611e+02
 3.377500e-04   1.360620e+06   2.446954e+02
 3.411700e-04   1.320764e+06   2.104176e+02
 3.445900e-04   1.281520e+06   1.505182e+02
 3.480100e-04   1.243692e+06   1.411397e+02
 3.514300e-04   1.208012e+06   1.563493e+02
 3.548500e-04   1.173383e+06   1.592675e+02
 3.582700e-04   1.139531e+06   2.533697e+02
 3.616900e-04   1.107873e+06   2.131722e+02
 3.651100e-04   1.076926e+06   1.667578e+02
 3.685300e-04   1.046906e+06   1.478746e+02
 3.719500e-04   1.018687e+06   1.441521e+02
 3.753700e-04   9.908700e+05   1.442980e+02
 3.787900e-04   9.642535e+05   1.295144e+02
 3.822100e-04   9.385335e+05   1.772695e+02
 3.856300e-04   9.136973e+05   1.628652e+02
 3.890500e-04   8.892549e+05   1.837873e+02
 3.924700e-04   8.667160e+05   1.577680e+02
 3.958900e-04   8.441825e+05   1.829486e+02
 3.993100e-04   8.223739e+05   1.611627e+02
 4.027300e-04   8.019677e+05   1.600249e+02
 4.061500e-04   7.815677e+05   2.061273e+02
 4.095700e-04   7.621162e+05   2.204239e+02
 4.129900e-04   7.434379e+05   2.187832e+02
 4.164100e-04   7.251597e+05   2.564678e+02
 4.198300e-04   7.074650e+05   2.069607e+02
 4.232500e-04   6.903483e+05   1.817476e+02
 4.266700e-04   6.737970e+05   1.530422e+02
 4.300900e-04   6.575408e+05   1.815792e+02
 4.335100e-04   6.425046e+05   1.576438e+02
 4.369300e-04   6.271908e+05   1.375360e+02
 4.403500e-04   6.127503e+05   1.323670e+02
 4.437700e-04   5.989265e+05   1.159817e+02
 4.471900e-04   5.847739e+05   1.494565e+02
 4.506100e-04   5.717790e+05   1.266575e+02
 4.540300e-04   5.589320e+05   1.298655e+02
 4.574500e-04   5.463693e+05   1.425661e+02
