th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.348100e-03   3.873918e+03   2.737799e+00
 1.354300e-03   1.984789e+04   5.869163e+00
 1.360500e-03   1.956631e+04   4.673070e+00
 1.366700e-03   1.928612e+04   6.753177e+00
 1.372900e-03   1.904023e+04   1.740384e+01
 1.379100e-03   1.874189e+04   1.073065e+01
 1.385300e-03   1.848059e+04   8.633287e+00
 1.391500e-03   1.823454e+04   8.167284e+00
 1.397700e-03   1.796528e+04   1.124544e+01
 1.403900e-03   1.782801e+04   1.055206e+02
 1.410100e-03   1.748989e+04   6.954083e+00
 1.416300e-03   1.724906e+04   7.208730e+00
 1.422500e-03   1.700648e+04   6.979133e+00
 1.428700e-03   1.677255e+04   5.814854e+00
 1.434900e-03   1.652206e+04   1.817460e+01
 1.441100e-03   1.629199e+04   2.871552e+01
 1.447300e-03   1.611669e+04   1.658363e+01
 1.453500e-03   1.589471e+04   5.070379e+00
 1.459700e-03   1.570379e+04   1.995654e+01
 1.465900e-03   1.547172e+04   5.134214e+00
 1.472100e-03   1.525435e+04   5.380686e+00
 1.478300e-03   1.508767e+04   2.865294e+01
 1.484500e-03   1.495050e+04   7.487904e+01
 1.490700e-03   1.466683e+04   1.101596e+01
 1.496900e-03   1.448695e+04   5.750554e+00
 1.503100e-03   1.429226e+04   3.326861e+00
 1.509300e-03   1.410619e+04   5.619023e+00
 1.515500e-03   1.392096e+04   5.074558e+00
 1.521700e-03   1.374271e+04   4.708558e+00
 1.527900e-03   1.358372e+04   7.376899e+00
 1.534100e-03   1.339178e+04   6.231687e+00
 1.540300e-03   1.322456e+04   1.074942e+01
 1.546500e-03   1.305774e+04   6.933369e+00
 1.552700e-03   1.290358e+04   5.601841e+00
 1.558900e-03   1.272425e+04   6.231915e+00
 1.565100e-03   1.257749e+04   6.528238e+00
 1.571300e-03   1.241818e+04   4.234630e+00
 1.577500e-03   1.226079e+04   3.972343e+00
 1.583700e-03   1.210261e+04   5.979329e+00
 1.589900e-03   1.195462e+04   5.922629e+00
 1.596100e-03   1.180778e+04   4.365434e+00
 1.602300e-03   1.165363e+04   6.493430e+00
 1.608500e-03   1.152033e+04   7.260543e+00
 1.614700e-03   1.139901e+04   6.181946e+00
 1.620900e-03   1.121478e+04   6.001385e+01
 1.627100e-03   1.108963e+04   1.744994e+01
 1.633300e-03   1.099022e+04   1.562448e+01
 1.639500e-03   6.879149e+03   5.493291e+02
 1.645700e-03   4.910620e+03   5.601978e+02
 1.651900e-03   7.669098e+02   1.052667e+02
 inf   0.000000e+00   0.000000e+00
