th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.073318e+02   8.500704e+00
 3.035500e-04   4.667338e+02   2.169138e+01
 3.069700e-04   4.917165e+02   2.327017e+01
 3.103900e-04   5.243121e+02   1.857921e+01
 3.138100e-04   6.116176e+02   2.096112e+01
 3.172300e-04   1.297841e+06   2.821419e+01
 3.206500e-04   1.591019e+06   3.492287e+01
 3.240700e-04   1.541098e+06   3.626381e+01
 3.274900e-04   1.493184e+06   3.435634e+01
 3.309100e-04   1.447327e+06   4.508588e+01
 3.343300e-04   1.403346e+06   4.423731e+01
 3.377500e-04   1.361006e+06   3.988992e+01
 3.411700e-04   1.320429e+06   4.711485e+01
 3.445900e-04   1.281310e+06   3.952553e+01
 3.480100e-04   1.243973e+06   4.849462e+01
 3.514300e-04   1.207840e+06   4.489953e+01
 3.548500e-04   1.173215e+06   4.264911e+01
 3.582700e-04   1.139883e+06   4.776999e+01
 3.616900e-04   1.107752e+06   3.658395e+01
 3.651100e-04   1.076797e+06   2.779957e+01
 3.685300e-04   1.047178e+06   4.453096e+01
 3.719500e-04   1.018310e+06   4.055681e+01
 3.753700e-04   9.908531e+05   3.698690e+01
 3.787900e-04   9.640855e+05   2.768572e+01
 3.822100e-04   9.383431e+05   4.142374e+01
 3.856300e-04   9.136106e+05   3.860420e+01
 3.890500e-04   8.895580e+05   3.578505e+01
 3.924700e-04   8.665588e+05   4.532552e+01
 3.958900e-04   8.440804e+05   3.817242e+01
 3.993100e-04   8.226590e+05   3.775530e+01
 4.027300e-04   8.017860e+05   2.611993e+01
 4.061500e-04   7.815470e+05   3.868234e+01
 4.095700e-04   7.621440e+05   4.477206e+01
 4.129900e-04   7.432570e+05   3.219362e+01
 4.164100e-04   7.250672e+05   3.046750e+01
 4.198300e-04   7.074218e+05   2.835884e+01
 4.232500e-04   6.904202e+05   2.788453e+01
 4.266700e-04   6.738032e+05   3.106924e+01
 4.300900e-04   6.578315e+05   4.217545e+01
 4.335100e-04   6.422724e+05   3.516608e+01
 4.369300e-04   6.273388e+05   2.754222e+01
 4.403500e-04   6.128150e+05   3.918284e+01
 4.437700e-04   5.986174e+05   3.730254e+01
 4.471900e-04   5.849270e+05   3.846408e+01
 4.506100e-04   5.717128e+05   3.082071e+01
 4.540300e-04   5.587906e+05   3.107374e+01
 4.574500e-04   5.462854e+05   2.708493e+01
