th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.622767e+02   3.760048e+01
 3.035500e-04   4.921051e+02   5.755462e+01
 3.069700e-04   4.872426e+02   2.451548e+01
 3.103900e-04   5.226074e+02   3.625828e+01
 3.138100e-04   5.397649e+02   2.558142e+01
 3.172300e-04   1.297944e+06   1.339213e+02
 3.206500e-04   1.591097e+06   1.932725e+02
 3.240700e-04   1.541269e+06   2.339730e+02
 3.274900e-04   1.493124e+06   2.092856e+02
 3.309100e-04   1.447601e+06   1.599563e+02
 3.343300e-04   1.402700e+06   4.722374e+02
 3.377500e-04   1.361517e+06   3.700676e+02
 3.411700e-04   1.320445e+06   2.814067e+02
 3.445900e-04   1.282085e+06   3.621290e+02
 3.480100e-04   1.243312e+06   2.402531e+02
 3.514300e-04   1.208294e+06   3.201451e+02
 3.548500e-04   1.173235e+06   2.385645e+02
 3.582700e-04   1.140023e+06   1.702740e+02
 3.616900e-04   1.107393e+06   2.068846e+02
 3.651100e-04   1.076949e+06   2.391181e+02
 3.685300e-04   1.047194e+06   2.425033e+02
 3.719500e-04   1.018356e+06   5.095336e+02
 3.753700e-04   9.905278e+05   5.296713e+02
 3.787900e-04   9.641286e+05   2.824779e+02
 3.822100e-04   9.382345e+05   3.141441e+02
 3.856300e-04   9.139104e+05   4.087139e+02
 3.890500e-04   8.894115e+05   4.309139e+02
 3.924700e-04   8.668706e+05   3.564837e+02
 3.958900e-04   8.442642e+05   2.780914e+02
 3.993100e-04   8.224488e+05   2.572377e+02
 4.027300e-04   8.019987e+05   3.331973e+02
 4.061500e-04   7.813933e+05   3.443611e+02
 4.095700e-04   7.623857e+05   3.403768e+02
 4.129900e-04   7.430026e+05   1.928937e+02
 4.164100e-04   7.250742e+05   2.005129e+02
 4.198300e-04   7.072487e+05   1.682853e+02
 4.232500e-04   6.903471e+05   1.887706e+02
 4.266700e-04   6.738894e+05   2.044273e+02
 4.300900e-04   6.581149e+05   2.189560e+02
 4.335100e-04   6.415577e+05   3.341139e+02
 4.369300e-04   6.281468e+05   3.616720e+02
 4.403500e-04   6.127064e+05   2.485432e+02
 4.437700e-04   5.985367e+05   3.112371e+02
 4.471900e-04   5.852605e+05   2.501627e+02
 4.506100e-04   5.714802e+05   2.570715e+02
 4.540300e-04   5.585598e+05   2.063998e+02
 4.574500e-04   5.466901e+05   2.604750e+02
