th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345775e-03   0.000000e+00   0.000000e+00
 1.347325e-03   0.000000e+00   0.000000e+00
 1.348875e-03   0.000000e+00   0.000000e+00
 1.350425e-03   1.554465e+04   6.635760e+00
 1.351975e-03   1.999575e+04   5.824881e+00
 1.353525e-03   1.994133e+04   2.683735e+00
 1.355075e-03   1.987756e+04   5.624581e+00
 1.356625e-03   1.978963e+04   6.712527e+00
 1.358175e-03   1.973138e+04   3.174931e+00
 1.359725e-03   1.965320e+04   4.586292e+00
 1.361275e-03   1.957905e+04   3.889625e+00
 1.362825e-03   1.953025e+04   5.711024e+00
 1.364375e-03   1.944306e+04   5.388588e+00
 1.365925e-03   1.937795e+04   4.312383e+00
 1.367475e-03   1.931018e+04   4.477455e+00
 1.369025e-03   1.924214e+04   6.960746e+00
 1.370575e-03   1.917091e+04   8.820767e+00
 1.372125e-03   1.911572e+04   5.950553e+00
 1.373675e-03   1.902884e+04   6.113194e+00
 1.375225e-03   1.897447e+04   4.491419e+00
 1.376775e-03   1.890048e+04   5.949948e+00
 1.378325e-03   1.883882e+04   5.878842e+00
 1.379875e-03   1.876590e+04   3.942554e+00
 1.381425e-03   1.870410e+04   5.512853e+00
 1.382975e-03   1.863845e+04   7.982201e+00
 1.384525e-03   1.856759e+04   4.463839e+00
 1.386075e-03   1.850135e+04   6.029754e+00
 1.387625e-03   1.843713e+04   8.008887e+00
 1.389175e-03   1.838103e+04   8.940525e+00
 1.390725e-03   1.830196e+04   8.042605e+00
 1.392275e-03   1.825381e+04   8.818717e+00
 1.393825e-03   1.817904e+04   8.999488e+00
 1.395375e-03   1.813428e+04   1.345125e+01
 1.396925e-03   1.804022e+04   9.501556e+00
 1.398475e-03   1.799155e+04   1.067084e+01
 1.400025e-03   1.793284e+04   1.074677e+01
 1.401575e-03   1.785023e+04   1.186227e+01
 1.403125e-03   1.781748e+04   1.656801e+01
 1.404675e-03   1.773570e+04   9.256374e+00
 1.406225e-03   1.769093e+04   1.065709e+01
 1.407775e-03   1.762958e+04   9.261796e+00
 1.409325e-03   1.755544e+04   1.176999e+01
 1.410875e-03   1.750163e+04   1.460097e+01
 1.412425e-03   1.745807e+04   1.133082e+01
 1.413975e-03   1.737556e+04   9.237664e+00
 1.415525e-03   1.734222e+04   1.336198e+01
 1.417075e-03   1.727052e+04   1.204577e+01
 1.418625e-03   1.718415e+04   1.343921e+01
 1.420175e-03   1.716576e+04   9.172760e+00
 1.421725e-03   1.706266e+04   1.168382e+01
 1.423275e-03   1.706456e+04   1.172040e+01
 1.424825e-03   1.695201e+04   9.884907e+00
 1.426375e-03   1.692104e+04   1.448874e+01
 1.427925e-03   1.684307e+04   1.092215e+01
 1.429475e-03   1.677723e+04   1.360130e+01
 1.431025e-03   1.673681e+04   1.245892e+01
 1.432575e-03   1.669902e+04   8.659125e+00
 1.434125e-03   1.664498e+04   8.471675e+00
 1.435675e-03   1.655875e+04   1.621193e+01
 1.437225e-03   1.652531e+04   1.616248e+01
 1.438775e-03   1.646210e+04   8.337130e+00
 1.440325e-03   1.640080e+04   1.061291e+01
 1.441875e-03   1.634667e+04   9.900999e+00
 1.443425e-03   1.628416e+04   8.846706e+00
 1.444975e-03   1.624263e+04   1.122305e+01
 1.446525e-03   1.616576e+04   1.259927e+01
 1.448075e-03   1.611351e+04   1.467584e+01
 1.449625e-03   1.606752e+04   1.272550e+01
 1.451175e-03   1.602424e+04   1.137832e+01
 1.452725e-03   1.598044e+04   1.007694e+01
 1.454275e-03   1.591293e+04   7.992502e+00
 1.455825e-03   1.586746e+04   1.498104e+01
 1.457375e-03   1.580569e+04   1.382101e+01
 1.458925e-03   1.574896e+04   3.348463e+00
 1.460475e-03   1.571071e+04   1.141082e+01
 1.462025e-03   1.565272e+04   1.328826e+01
 1.463575e-03   1.560197e+04   9.753333e+00
 1.465125e-03   1.553375e+04   9.114860e+00
 1.466675e-03   1.547013e+04   7.627158e+00
 1.468225e-03   1.545262e+04   1.277490e+01
 1.469775e-03   1.540683e+04   1.305930e+01
 1.471325e-03   1.534502e+04   9.445407e+00
 1.472875e-03   1.527120e+04   1.575794e+01
 1.474425e-03   1.525254e+04   1.544768e+01
 1.475975e-03   1.518724e+04   1.357036e+01
 1.477525e-03   1.512793e+04   1.056332e+01
 1.479075e-03   1.511475e+04   1.343549e+01
 1.480625e-03   1.503301e+04   8.853080e+00
 1.482175e-03   1.498734e+04   8.410135e+00
 1.483725e-03   1.493068e+04   1.097398e+01
 1.485275e-03   1.487660e+04   1.308277e+01
 1.486825e-03   1.481608e+04   1.626164e+01
 1.488375e-03   1.480603e+04   1.081626e+01
 1.489925e-03   1.473233e+04   1.052028e+01
 1.491475e-03   1.469317e+04   1.012459e+01
 1.493025e-03   1.463119e+04   1.338938e+01
 1.494575e-03   1.462440e+04   1.424385e+01
 1.496125e-03   1.453054e+04   1.282929e+01
 1.497675e-03   1.450310e+04   8.211884e+00
 1.499225e-03   1.444226e+04   1.233310e+01
 1.500775e-03   1.441884e+04   9.725661e+00
 1.502325e-03   1.436816e+04   1.019065e+01
 1.503875e-03   1.431942e+04   5.322821e+00
 1.505425e-03   1.427293e+04   5.386051e+00
 1.506975e-03   1.420986e+04   8.986317e+00
 1.508525e-03   1.418533e+04   8.533746e+00
 1.510075e-03   1.414224e+04   8.792774e+00
 1.511625e-03   1.406542e+04   1.029900e+01
 1.513175e-03   1.404252e+04   7.241674e+00
 1.514725e-03   1.398518e+04   6.836397e+00
 1.516275e-03   1.395512e+04   7.897353e+00
 1.517825e-03   1.390381e+04   1.164071e+01
 1.519375e-03   1.386311e+04   1.165167e+01
 1.520925e-03   1.380375e+04   8.845282e+00
 1.522475e-03   1.377076e+04   9.065685e+00
 1.524025e-03   1.372394e+04   9.480350e+00
 1.525575e-03   1.369477e+04   1.355466e+01
 1.527125e-03   1.362910e+04   6.634579e+00
 1.528675e-03   1.358801e+04   7.867284e+00
 1.530225e-03   1.354838e+04   1.042328e+01
 1.531775e-03   1.350883e+04   9.181399e+00
 1.533325e-03   1.346019e+04   1.366399e+01
 1.534875e-03   1.340212e+04   9.795456e+00
 1.536425e-03   1.339028e+04   1.015225e+01
 1.537975e-03   1.332072e+04   8.438990e+00
 1.539525e-03   1.329005e+04   7.812084e+00
 1.541075e-03   1.324334e+04   7.557210e+00
 1.542625e-03   1.320350e+04   5.704094e+00
 1.544175e-03   1.316723e+04   8.739319e+00
 1.545725e-03   1.311493e+04   9.734635e+00
 1.547275e-03   1.307113e+04   8.397128e+00
 1.548825e-03   1.304898e+04   6.676156e+00
 1.550375e-03   1.300195e+04   2.224341e+00
 1.551925e-03   1.295968e+04   4.621270e+00
 1.553475e-03   1.291750e+04   6.011562e+00
 1.555025e-03   1.286660e+04   7.511388e+00
 1.556575e-03   1.283060e+04   8.262977e+00
 1.558125e-03   1.279984e+04   1.013679e+01
 1.559675e-03   1.277071e+04   8.681633e+00
 1.561225e-03   1.270584e+04   1.037842e+01
 1.562775e-03   1.267667e+04   6.780198e+00
 1.564325e-03   1.264400e+04   6.168792e+00
 1.565875e-03   1.259460e+04   7.649577e+00
 1.567425e-03   1.254271e+04   1.074790e+01
 1.568975e-03   1.252899e+04   9.626770e+00
 1.570525e-03   1.247715e+04   1.077527e+01
 1.572075e-03   1.242496e+04   9.011979e+00
 1.573625e-03   1.239337e+04   4.182977e+00
 1.575175e-03   1.234941e+04   9.761625e+00
 1.576725e-03   1.232275e+04   4.531080e+00
 1.578275e-03   1.230264e+04   7.565612e+00
 1.579825e-03   1.224528e+04   3.730689e+00
 1.581375e-03   1.220069e+04   6.502932e+00
 1.582925e-03   1.218100e+04   8.700832e+00
 1.584475e-03   1.213602e+04   8.047277e+00
 1.586025e-03   1.207165e+04   1.183898e+01
 1.587575e-03   1.207736e+04   1.302596e+01
 1.589125e-03   1.200439e+04   7.489487e+00
 1.590675e-03   1.199016e+04   9.003659e+00
 1.592225e-03   1.193016e+04   1.101674e+01
 1.593775e-03   1.190276e+04   8.904583e+00
 1.595325e-03   1.186466e+04   5.869002e+00
 1.596875e-03   1.183288e+04   4.346901e+00
 1.598425e-03   1.180832e+04   5.005234e+00
 1.599975e-03   1.175882e+04   7.262311e+00
 1.601525e-03   1.171578e+04   7.415281e+00
 1.603075e-03   1.170117e+04   6.076358e+00
 1.604625e-03   1.164832e+04   7.658757e+00
 1.606175e-03   1.161011e+04   4.336519e+00
 1.607725e-03   1.158307e+04   6.733721e+00
 1.609275e-03   1.154247e+04   5.694571e+00
 1.610825e-03   1.151520e+04   4.669265e+00
 1.612375e-03   1.147153e+04   6.011938e+00
 1.613925e-03   1.143709e+04   6.039637e+00
 1.615475e-03   1.141360e+04   8.654491e+00
 1.617025e-03   1.136527e+04   6.145179e+00
 1.618575e-03   1.132761e+04   5.611433e+00
 1.620125e-03   1.130376e+04   5.417545e+00
 1.621675e-03   1.126463e+04   6.677019e+00
 1.623225e-03   1.122425e+04   5.927587e+00
 1.624775e-03   1.120238e+04   6.119263e+00
 1.626325e-03   1.116428e+04   4.709735e+00
 1.627875e-03   1.113180e+04   4.955668e+00
 1.629425e-03   1.108417e+04   5.056189e+00
 1.630975e-03   1.106663e+04   2.503916e+00
 1.632525e-03   1.102837e+04   3.810248e+00
 1.634075e-03   1.099624e+04   2.940581e+00
 1.635625e-03   1.095902e+04   3.127312e+00
 1.637175e-03   1.093135e+04   4.337871e+00
 1.638725e-03   1.090166e+04   6.369733e+00
 1.640275e-03   1.086014e+04   7.887976e+00
 1.641825e-03   1.081495e+04   1.863478e+01
 1.643375e-03   1.081121e+04   1.763593e+01
 1.644925e-03   1.074741e+04   1.063583e+01
 1.646475e-03   1.074350e+04   7.645732e+00
 1.648025e-03   1.069451e+04   4.815765e+00
 1.649575e-03   7.959437e+03   3.503027e+02
 1.651125e-03   0.000000e+00   0.000000e+00
 1.652675e-03   0.000000e+00   0.000000e+00
 1.654225e-03   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
