th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345775e-03   0.000000e+00   0.000000e+00
 1.347325e-03   0.000000e+00   0.000000e+00
 1.348875e-03   0.000000e+00   0.000000e+00
 1.350425e-03   1.551039e+04   2.622431e+01
 1.351975e-03   2.003816e+04   1.532864e+01
 1.353525e-03   1.993228e+04   3.434868e+00
 1.355075e-03   1.986157e+04   5.484730e+00
 1.356625e-03   1.980127e+04   3.841523e+00
 1.358175e-03   1.971833e+04   5.434086e+00
 1.359725e-03   1.966047e+04   3.381968e+00
 1.361275e-03   1.958334e+04   2.535958e+00
 1.362825e-03   1.951966e+04   3.698677e+00
 1.364375e-03   1.944079e+04   5.149167e+00
 1.365925e-03   1.937565e+04   3.046166e+00
 1.367475e-03   1.930921e+04   3.466293e+00
 1.369025e-03   1.925761e+04   1.022607e+01
 1.370575e-03   1.916146e+04   1.084247e+01
 1.372125e-03   1.910245e+04   5.500984e+00
 1.373675e-03   1.903552e+04   6.769878e+00
 1.375225e-03   1.897617e+04   1.191222e+01
 1.376775e-03   1.890014e+04   8.524099e+00
 1.378325e-03   1.883805e+04   7.324529e+00
 1.379875e-03   1.876936e+04   9.468129e+00
 1.381425e-03   1.872537e+04   8.389325e+00
 1.382975e-03   1.862960e+04   7.296782e+00
 1.384525e-03   1.855869e+04   8.862115e+00
 1.386075e-03   1.851793e+04   9.305987e+00
 1.387625e-03   1.842812e+04   1.150791e+01
 1.389175e-03   1.838322e+04   6.756155e+00
 1.390725e-03   1.831307e+04   1.198619e+01
 1.392275e-03   1.825591e+04   1.043963e+01
 1.393825e-03   1.817622e+04   9.380794e+00
 1.395375e-03   1.813086e+04   9.246152e+00
 1.396925e-03   1.804413e+04   8.241013e+00
 1.398475e-03   1.800566e+04   5.389357e+00
 1.400025e-03   1.791775e+04   1.423777e+01
 1.401575e-03   1.789614e+04   1.158198e+01
 1.403125e-03   1.780805e+04   4.478305e+00
 1.404675e-03   1.775271e+04   1.083018e+01
 1.406225e-03   1.767954e+04   9.739291e+00
 1.407775e-03   1.762586e+04   7.798252e+00
 1.409325e-03   1.757216e+04   1.074314e+01
 1.410875e-03   1.751223e+04   1.287466e+01
 1.412425e-03   1.745952e+04   1.125027e+01
 1.413975e-03   1.737765e+04   1.129229e+01
 1.415525e-03   1.730243e+04   1.469639e+01
 1.417075e-03   1.726819e+04   1.000884e+01
 1.418625e-03   1.721367e+04   9.524448e+00
 1.420175e-03   1.713575e+04   1.253374e+01
 1.421725e-03   1.711193e+04   1.210992e+01
 1.423275e-03   1.700438e+04   1.668319e+01
 1.424825e-03   1.697960e+04   1.507909e+01
 1.426375e-03   1.692296e+04   7.358458e+00
 1.427925e-03   1.683113e+04   1.412200e+01
 1.429475e-03   1.680731e+04   8.336346e+00
 1.431025e-03   1.674964e+04   8.502092e+00
 1.432575e-03   1.669300e+04   1.040653e+01
 1.434125e-03   1.660645e+04   9.432732e+00
 1.435675e-03   1.656073e+04   1.470527e+01
 1.437225e-03   1.651918e+04   1.021797e+01
 1.438775e-03   1.645601e+04   5.146086e+00
 1.440325e-03   1.640095e+04   8.445880e+00
 1.441875e-03   1.636011e+04   1.556750e+01
 1.443425e-03   1.629030e+04   1.195875e+01
 1.444975e-03   1.624137e+04   1.122205e+01
 1.446525e-03   1.618376e+04   8.005875e+00
 1.448075e-03   1.614523e+04   1.381026e+01
 1.449625e-03   1.607238e+04   1.037310e+01
 1.451175e-03   1.599898e+04   1.179594e+01
 1.452725e-03   1.599499e+04   1.150713e+01
 1.454275e-03   1.590584e+04   8.787513e+00
 1.455825e-03   1.586708e+04   1.123077e+01
 1.457375e-03   1.581399e+04   9.012630e+00
 1.458925e-03   1.574746e+04   8.791974e+00
 1.460475e-03   1.570329e+04   9.191650e+00
 1.462025e-03   1.566295e+04   9.996124e+00
 1.463575e-03   1.558869e+04   1.039672e+01
 1.465125e-03   1.555271e+04   1.049986e+01
 1.466675e-03   1.549413e+04   7.872328e+00
 1.468225e-03   1.543178e+04   9.366408e+00
 1.469775e-03   1.540218e+04   1.389584e+01
 1.471325e-03   1.534954e+04   1.325760e+01
 1.472875e-03   1.529564e+04   1.471317e+01
 1.474425e-03   1.520715e+04   1.189127e+01
 1.475975e-03   1.520432e+04   1.042775e+01
 1.477525e-03   1.514528e+04   1.238339e+01
 1.479075e-03   1.509097e+04   8.313909e+00
 1.480625e-03   1.502775e+04   9.179898e+00
 1.482175e-03   1.500720e+04   1.160866e+01
 1.483725e-03   1.490555e+04   1.338688e+01
 1.485275e-03   1.490274e+04   1.102244e+01
 1.486825e-03   1.483385e+04   3.463053e+00
 1.488375e-03   1.479777e+04   8.850605e+00
 1.489925e-03   1.474361e+04   1.192024e+01
 1.491475e-03   1.468605e+04   1.404302e+01
 1.493025e-03   1.464021e+04   1.333529e+01
 1.494575e-03   1.459000e+04   1.114675e+01
 1.496125e-03   1.453950e+04   1.030062e+01
 1.497675e-03   1.451615e+04   1.173684e+01
 1.499225e-03   1.446021e+04   8.355812e+00
 1.500775e-03   1.438588e+04   1.151505e+01
 1.502325e-03   1.436476e+04   8.077941e+00
 1.503875e-03   1.432023e+04   8.518748e+00
 1.505425e-03   1.426194e+04   6.889821e+00
 1.506975e-03   1.422826e+04   9.991746e+00
 1.508525e-03   1.416924e+04   8.362973e+00
 1.510075e-03   1.410585e+04   1.260068e+01
 1.511625e-03   1.409458e+04   7.087108e+00
 1.513175e-03   1.405168e+04   9.719124e+00
 1.514725e-03   1.398464e+04   7.163182e+00
 1.516275e-03   1.393741e+04   9.534542e+00
 1.517825e-03   1.391664e+04   1.073940e+01
 1.519375e-03   1.385134e+04   1.189719e+01
 1.520925e-03   1.381320e+04   1.203896e+01
 1.522475e-03   1.377075e+04   6.411455e+00
 1.524025e-03   1.372597e+04   8.054910e+00
 1.525575e-03   1.367703e+04   6.078875e+00
 1.527125e-03   1.362590e+04   8.427472e+00
 1.528675e-03   1.361463e+04   1.211893e+01
 1.530225e-03   1.352989e+04   5.106019e+00
 1.531775e-03   1.350654e+04   1.233086e+01
 1.533325e-03   1.345662e+04   9.537673e+00
 1.534875e-03   1.340987e+04   1.198776e+01
 1.536425e-03   1.338322e+04   8.320479e+00
 1.537975e-03   1.333036e+04   5.708707e+00
 1.539525e-03   1.328013e+04   8.669312e+00
 1.541075e-03   1.326911e+04   8.726438e+00
 1.542625e-03   1.319718e+04   8.450172e+00
 1.544175e-03   1.315431e+04   9.489052e+00
 1.545725e-03   1.314071e+04   9.749754e+00
 1.547275e-03   1.307251e+04   1.250179e+01
 1.548825e-03   1.302925e+04   8.906421e+00
 1.550375e-03   1.301033e+04   8.109619e+00
 1.551925e-03   1.294692e+04   1.037354e+01
 1.553475e-03   1.292193e+04   1.135621e+01
 1.555025e-03   1.287245e+04   1.189073e+01
 1.556575e-03   1.283669e+04   5.607229e+00
 1.558125e-03   1.277184e+04   6.850684e+00
 1.559675e-03   1.275690e+04   1.071329e+01
 1.561225e-03   1.271958e+04   1.138968e+01
 1.562775e-03   1.267173e+04   3.497686e+00
 1.564325e-03   1.263285e+04   4.912201e+00
 1.565875e-03   1.258950e+04   5.598774e+00
 1.567425e-03   1.256598e+04   1.174070e+01
 1.568975e-03   1.250603e+04   6.915549e+00
 1.570525e-03   1.248482e+04   6.027958e+00
 1.572075e-03   1.242660e+04   6.304174e+00
 1.573625e-03   1.239950e+04   7.462063e+00
 1.575175e-03   1.235444e+04   1.269452e+01
 1.576725e-03   1.231905e+04   1.347481e+01
 1.578275e-03   1.229057e+04   5.508942e+00
 1.579825e-03   1.223737e+04   1.143389e+01
 1.581375e-03   1.218656e+04   1.008181e+01
 1.582925e-03   1.219522e+04   1.077063e+01
 1.584475e-03   1.213554e+04   8.381685e+00
 1.586025e-03   1.209713e+04   1.057255e+01
 1.587575e-03   1.204369e+04   1.040289e+01
 1.589125e-03   1.201790e+04   8.092206e+00
 1.590675e-03   1.198132e+04   6.144796e+00
 1.592225e-03   1.193374e+04   8.225525e+00
 1.593775e-03   1.192201e+04   1.127108e+01
 1.595325e-03   1.186046e+04   9.954385e+00
 1.596875e-03   1.184159e+04   5.358018e+00
 1.598425e-03   1.179370e+04   8.498497e+00
 1.599975e-03   1.176406e+04   7.178553e+00
 1.601525e-03   1.172261e+04   9.749279e+00
 1.603075e-03   1.168093e+04   1.030798e+01
 1.604625e-03   1.167222e+04   1.491560e+01
 1.606175e-03   1.162286e+04   9.123610e+00
 1.607725e-03   1.157266e+04   1.493919e+01
 1.609275e-03   1.155046e+04   7.091689e+00
 1.610825e-03   1.150717e+04   6.989762e+00
 1.612375e-03   1.146615e+04   5.672245e+00
 1.613925e-03   1.143629e+04   6.961191e+00
 1.615475e-03   1.142944e+04   5.999770e+00
 1.617025e-03   1.135333e+04   5.859250e+00
 1.618575e-03   1.134342e+04   3.907948e+00
 1.620125e-03   1.128953e+04   5.921469e+00
 1.621675e-03   1.126840e+04   4.318608e+00
 1.623225e-03   1.123323e+04   3.721493e+00
 1.624775e-03   1.119331e+04   2.527271e+00
 1.626325e-03   1.116193e+04   1.977285e+00
 1.627875e-03   1.112588e+04   3.134887e+00
 1.629425e-03   1.109983e+04   2.377604e+00
 1.630975e-03   1.106130e+04   2.599386e+00
 1.632525e-03   1.102908e+04   2.606995e+00
 1.634075e-03   1.099686e+04   2.188016e+00
 1.635625e-03   1.095972e+04   2.383442e+00
 1.637175e-03   1.093139e+04   3.160424e+00
 1.638725e-03   1.090151e+04   1.123652e+01
 1.640275e-03   1.086626e+04   1.730402e+01
 1.641825e-03   1.082576e+04   1.303694e+01
 1.643375e-03   1.078214e+04   1.241973e+01
 1.644925e-03   1.077937e+04   1.657969e+01
 1.646475e-03   1.060664e+04   2.132563e+02
 1.648025e-03   1.071347e+04   3.857383e+02
 1.649575e-03   7.519401e+03   4.142702e+02
 1.651125e-03   0.000000e+00   0.000000e+00
 1.652675e-03   0.000000e+00   0.000000e+00
 1.654225e-03   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
