th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.879107e+04   1.196701e+02
 1.350890e-03   1.995337e+04   5.818271e+01
 1.351510e-03   2.014945e+04   1.527559e+02
 1.352130e-03   2.003766e+04   7.083255e+01
 1.352750e-03   1.991453e+04   2.906445e+01
 1.353370e-03   1.985550e+04   2.139956e+01
 1.353990e-03   1.986123e+04   3.443463e+01
 1.354610e-03   1.988131e+04   3.397285e+01
 1.355230e-03   1.968103e+04   8.816884e+01
 1.355850e-03   1.967744e+04   6.922649e+01
 1.356470e-03   1.972139e+04   6.990278e+01
 1.357090e-03   1.975619e+04   5.522537e+01
 1.357710e-03   1.949423e+04   7.820423e+01
 1.358330e-03   1.971428e+04   1.349330e+02
 1.358950e-03   1.957289e+04   6.842267e+01
 1.359570e-03   1.959521e+04   8.453522e+01
 1.360190e-03   1.960959e+04   7.000102e+01
 1.360810e-03   1.956389e+04   6.249631e+01
 1.361430e-03   1.954291e+04   6.698267e+01
 1.362050e-03   1.961711e+04   7.666459e+01
 1.362670e-03   1.958992e+04   1.048456e+02
 1.363290e-03   1.936189e+04   9.608652e+01
 1.363910e-03   1.931466e+04   1.311464e+02
 1.364530e-03   1.929909e+04   5.212318e+01
 1.365150e-03   1.932929e+04   5.278125e+01
 1.365770e-03   1.926444e+04   9.732206e+01
 1.366390e-03   1.925684e+04   6.232899e+01
 1.367010e-03   1.944031e+04   1.081352e+02
 1.367630e-03   1.920635e+04   4.729254e+01
 1.368250e-03   1.922382e+04   5.429945e+01
 1.368870e-03   1.928172e+04   8.382280e+01
 1.369490e-03   1.909225e+04   1.272312e+02
 1.370110e-03   1.917490e+04   8.405051e+01
 1.370730e-03   1.906495e+04   7.979008e+01
 1.371350e-03   1.922295e+04   9.313790e+01
 1.371970e-03   1.893308e+04   9.522638e+01
 1.372590e-03   1.910838e+04   8.398518e+01
 1.373210e-03   1.887664e+04   8.684655e+01
 1.373830e-03   1.900624e+04   1.015456e+02
 1.374450e-03   1.902262e+04   9.215660e+01
 1.375070e-03   1.892099e+04   8.132771e+01
 1.375690e-03   1.883964e+04   1.229075e+02
 1.376310e-03   1.890822e+04   8.083983e+01
 1.376930e-03   1.888704e+04   9.697865e+01
 1.377550e-03   1.892114e+04   3.715584e+01
 1.378170e-03   1.878310e+04   1.576391e+02
