th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.794916e+04   8.279177e+02
 1.350890e-03   2.275117e+04   1.882379e+03
 1.351510e-03   2.461959e+04   5.618519e+03
 1.352130e-03   1.979497e+04   1.008986e+03
 1.352750e-03   1.931076e+04   6.581631e+02
 1.353370e-03   1.892497e+04   4.423409e+02
 1.353990e-03   1.939182e+04   8.852983e+02
 1.354610e-03   1.990888e+04   1.132675e+03
 1.355230e-03   2.113150e+04   6.943759e+02
 1.355850e-03   1.994388e+04   4.430556e+02
 1.356470e-03   1.795132e+04   8.735602e+02
 1.357090e-03   2.010081e+04   6.388866e+02
 1.357710e-03   2.004739e+04   6.085286e+02
 1.358330e-03   2.043083e+04   1.343500e+03
 1.358950e-03   2.069289e+04   1.248854e+03
 1.359570e-03   2.032324e+04   5.500673e+02
 1.360190e-03   1.913206e+04   4.046914e+02
 1.360810e-03   1.950723e+04   4.777196e+02
 1.361430e-03   1.990279e+04   4.447916e+02
 1.362050e-03   1.908287e+04   2.776429e+02
 1.362670e-03   2.007435e+04   4.616853e+02
 1.363290e-03   1.891732e+04   6.693053e+02
 1.363910e-03   1.944399e+04   4.609154e+02
 1.364530e-03   1.921171e+04   7.299253e+02
 1.365150e-03   1.876642e+04   3.927276e+02
 1.365770e-03   2.029098e+04   6.060529e+02
 1.366390e-03   2.005509e+04   4.589161e+02
 1.367010e-03   1.896009e+04   2.826425e+02
 1.367630e-03   1.892107e+04   8.212715e+02
 1.368250e-03   1.834090e+04   6.206593e+02
 1.368870e-03   2.022444e+04   1.201713e+03
 1.369490e-03   1.888009e+04   6.514439e+02
 1.370110e-03   1.918430e+04   4.500232e+02
 1.370730e-03   1.871996e+04   4.390963e+02
 1.371350e-03   1.906167e+04   5.576021e+02
 1.371970e-03   1.836031e+04   4.728700e+02
 1.372590e-03   1.961127e+04   4.049857e+02
 1.373210e-03   1.924239e+04   5.401516e+02
 1.373830e-03   1.945910e+04   4.390314e+02
 1.374450e-03   1.794783e+04   7.244747e+02
 1.375070e-03   1.967607e+04   3.693996e+02
 1.375690e-03   1.879154e+04   4.368074e+02
 1.376310e-03   1.882436e+04   3.692067e+02
 1.376930e-03   1.905871e+04   3.739285e+02
 1.377550e-03   1.923044e+04   3.070919e+02
 1.378170e-03   1.911363e+04   2.294976e+02
