th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.703144e+04   1.760259e+03
 1.350890e-03   2.101497e+04   1.953850e+03
 1.351510e-03   1.875305e+04   1.853887e+03
 1.352130e-03   2.516974e+04   5.000081e+03
 1.352750e-03   1.786791e+04   1.885386e+03
 1.353370e-03   2.119019e+04   1.550028e+03
 1.353990e-03   2.180014e+04   1.678458e+03
 1.354610e-03   1.810853e+04   1.886362e+03
 1.355230e-03   1.786193e+04   1.783052e+03
 1.355850e-03   1.800475e+04   1.896416e+03
 1.356470e-03   2.113234e+04   8.681535e+02
 1.357090e-03   1.745751e+04   1.939533e+03
 1.357710e-03   2.363581e+04   4.204620e+03
 1.358330e-03   1.997730e+04   7.840403e+02
 1.358950e-03   2.067574e+04   9.864920e+02
 1.359570e-03   1.889055e+04   4.345598e+02
 1.360190e-03   1.926927e+04   3.175718e+02
 1.360810e-03   2.050243e+04   8.592605e+02
 1.361430e-03   1.797965e+04   1.127249e+03
 1.362050e-03   2.070598e+04   6.377345e+02
 1.362670e-03   1.918327e+04   4.102065e+02
 1.363290e-03   1.887259e+04   2.406338e+02
 1.363910e-03   1.977737e+04   2.219985e+02
 1.364530e-03   1.803432e+04   1.774577e+03
 1.365150e-03   1.993938e+04   4.850421e+02
 1.365770e-03   1.731806e+04   1.529663e+03
 1.366390e-03   1.919554e+04   1.883281e+03
 1.367010e-03   1.849039e+04   6.861676e+02
 1.367630e-03   2.182701e+04   1.355347e+03
 1.368250e-03   1.897956e+04   3.786642e+02
 1.368870e-03   1.799282e+04   7.075301e+02
 1.369490e-03   2.013321e+04   5.738657e+02
 1.370110e-03   1.855969e+04   4.799364e+02
 1.370730e-03   1.941766e+04   2.482098e+02
 1.371350e-03   1.959101e+04   2.558836e+02
 1.371970e-03   1.904290e+04   7.918615e+02
 1.372590e-03   1.918505e+04   1.982456e+02
 1.373210e-03   1.901469e+04   1.693453e+02
 1.373830e-03   1.826015e+04   5.411401e+02
 1.374450e-03   1.917245e+04   2.552563e+02
 1.375070e-03   1.926489e+04   6.105556e+02
 1.375690e-03   1.859969e+04   5.157202e+02
 1.376310e-03   1.842220e+04   7.507675e+02
 1.376930e-03   1.922892e+04   5.931147e+02
 1.377550e-03   1.891606e+04   3.859496e+02
 1.378170e-03   1.882618e+04   2.627947e+02
