th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.852155e+04   1.099843e+02
 1.350890e-03   1.992123e+04   6.648744e+01
 1.351510e-03   1.978869e+04   1.047336e+02
 1.352130e-03   1.963056e+04   1.146181e+02
 1.352750e-03   1.963509e+04   1.410009e+02
 1.353370e-03   1.976388e+04   8.683377e+01
 1.353990e-03   1.976580e+04   1.247491e+02
 1.354610e-03   1.969063e+04   8.827376e+01
 1.355230e-03   1.956207e+04   1.285632e+02
 1.355850e-03   1.971559e+04   1.147818e+02
 1.356470e-03   1.946460e+04   9.736306e+01
 1.357090e-03   1.948510e+04   1.238772e+02
 1.357710e-03   1.946708e+04   1.712210e+02
 1.358330e-03   1.937412e+04   1.233047e+02
 1.358950e-03   1.962948e+04   8.869593e+01
 1.359570e-03   1.948311e+04   5.958300e+01
 1.360190e-03   1.943924e+04   9.729266e+01
 1.360810e-03   1.941706e+04   8.372635e+01
 1.361430e-03   1.927833e+04   8.910924e+01
 1.362050e-03   1.926371e+04   1.399450e+02
 1.362670e-03   1.930651e+04   1.039552e+02
 1.363290e-03   1.916433e+04   1.051443e+02
 1.363910e-03   1.937389e+04   7.489512e+01
 1.364530e-03   1.927374e+04   1.104294e+02
 1.365150e-03   1.929156e+04   1.249652e+02
 1.365770e-03   1.911811e+04   1.521908e+02
 1.366390e-03   1.896903e+04   9.361373e+01
 1.367010e-03   1.912629e+04   8.773526e+01
 1.367630e-03   1.907041e+04   1.112522e+02
 1.368250e-03   1.901293e+04   1.101403e+02
 1.368870e-03   1.913985e+04   7.944061e+01
 1.369490e-03   1.902183e+04   8.363209e+01
 1.370110e-03   1.899268e+04   8.687594e+01
 1.370730e-03   1.880767e+04   1.436958e+02
 1.371350e-03   1.891381e+04   1.108448e+02
 1.371970e-03   1.889545e+04   1.003185e+02
 1.372590e-03   1.888205e+04   1.007791e+02
 1.373210e-03   1.878932e+04   1.057329e+02
 1.373830e-03   1.897210e+04   8.891956e+01
 1.374450e-03   1.878901e+04   1.013925e+02
 1.375070e-03   1.877518e+04   9.332033e+01
 1.375690e-03   1.876425e+04   9.114672e+01
 1.376310e-03   1.850014e+04   1.417843e+02
 1.376930e-03   1.853193e+04   1.061904e+02
 1.377550e-03   1.884321e+04   7.755773e+01
 1.378170e-03   1.855169e+04   1.102249e+02
