th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.035904e+06   1.509422e+02
 3.035500e-04   1.876147e+06   1.614347e+02
 3.069700e-04   1.813734e+06   1.536939e+02
 3.103900e-04   1.755108e+06   1.801453e+02
 3.138100e-04   1.697911e+06   2.396184e+02
 3.172300e-04   1.643100e+06   1.851954e+02
 3.206500e-04   1.591160e+06   1.946944e+02
 3.240700e-04   1.541528e+06   1.795712e+02
 3.274900e-04   1.493490e+06   2.226045e+02
 3.309100e-04   1.447441e+06   2.937602e+02
 3.343300e-04   1.403892e+06   2.597862e+02
 3.377500e-04   1.360671e+06   2.211729e+02
 3.411700e-04   1.320988e+06   2.310035e+02
 3.445900e-04   1.281737e+06   1.955874e+02
 3.480100e-04   1.244058e+06   2.831452e+02
 3.514300e-04   1.208519e+06   1.533784e+02
 3.548500e-04   1.173188e+06   2.020183e+02
 3.582700e-04   1.140138e+06   1.749901e+02
 3.616900e-04   1.107958e+06   1.595930e+02
 3.651100e-04   1.077233e+06   1.924375e+02
 3.685300e-04   1.047220e+06   2.131902e+02
 3.719500e-04   1.018770e+06   1.282456e+02
 3.753700e-04   9.911614e+05   1.456025e+02
 3.787900e-04   9.643167e+05   1.789261e+02
 3.822100e-04   9.385901e+05   1.924448e+02
 3.856300e-04   9.140803e+05   1.948039e+02
 3.890500e-04   8.898184e+05   1.805387e+02
 3.924700e-04   8.666449e+05   1.721207e+02
 3.958900e-04   8.445260e+05   2.077925e+02
 3.993100e-04   8.228318e+05   1.762593e+02
 4.027300e-04   8.020895e+05   1.613168e+02
 4.061500e-04   7.817292e+05   1.564170e+02
 4.095700e-04   7.622578e+05   1.746187e+02
 4.129900e-04   7.432086e+05   1.532892e+02
 4.164100e-04   7.255173e+05   1.763259e+02
 4.198300e-04   7.077391e+05   1.893418e+02
 4.232500e-04   6.905510e+05   1.376717e+02
 4.266700e-04   6.741747e+05   1.623204e+02
 4.300900e-04   6.581977e+05   1.240024e+02
 4.335100e-04   6.424781e+05   1.411430e+02
 4.369300e-04   6.274930e+05   1.712804e+02
 4.403500e-04   6.128992e+05   1.625032e+02
 4.437700e-04   5.990109e+05   1.318670e+02
 4.471900e-04   5.852229e+05   1.474207e+02
 4.506100e-04   5.719491e+05   1.685359e+02
 4.540300e-04   5.591352e+05   1.622656e+02
 4.574500e-04   5.464747e+05   1.930407e+02
