th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.036282e+06   8.200151e+01
 3.035500e-04   1.875991e+06   9.882383e+01
 3.069700e-04   1.813942e+06   1.595326e+02
 3.103900e-04   1.754342e+06   1.995849e+02
 3.138100e-04   1.697736e+06   1.656689e+02
 3.172300e-04   1.643628e+06   2.119069e+02
 3.206500e-04   1.591044e+06   1.516668e+02
 3.240700e-04   1.541827e+06   2.363515e+02
 3.274900e-04   1.493112e+06   2.516701e+02
 3.309100e-04   1.447970e+06   2.541610e+02
 3.343300e-04   1.403582e+06   1.863967e+02
 3.377500e-04   1.361571e+06   2.049423e+02
 3.411700e-04   1.320054e+06   2.223330e+02
 3.445900e-04   1.281859e+06   1.561181e+02
 3.480100e-04   1.243679e+06   2.177515e+02
 3.514300e-04   1.208401e+06   1.509641e+02
 3.548500e-04   1.173598e+06   1.816861e+02
 3.582700e-04   1.140199e+06   1.971144e+02
 3.616900e-04   1.107950e+06   1.962962e+02
 3.651100e-04   1.077073e+06   1.256274e+02
 3.685300e-04   1.047412e+06   1.658539e+02
 3.719500e-04   1.018662e+06   1.811390e+02
 3.753700e-04   9.907888e+05   2.458167e+02
 3.787900e-04   9.641759e+05   2.435271e+02
 3.822100e-04   9.387152e+05   1.509119e+02
 3.856300e-04   9.138588e+05   1.394069e+02
 3.890500e-04   8.900376e+05   1.667017e+02
 3.924700e-04   8.666178e+05   1.267592e+02
 3.958900e-04   8.446085e+05   1.638977e+02
 3.993100e-04   8.228374e+05   1.845252e+02
 4.027300e-04   8.021467e+05   1.777001e+02
 4.061500e-04   7.813569e+05   1.840125e+02
 4.095700e-04   7.625969e+05   1.159309e+02
 4.129900e-04   7.435549e+05   1.844482e+02
 4.164100e-04   7.256587e+05   2.170107e+02
 4.198300e-04   7.070629e+05   2.384493e+02
 4.232500e-04   6.908105e+05   1.952072e+02
 4.266700e-04   6.741019e+05   1.989655e+02
 4.300900e-04   6.581792e+05   1.464324e+02
 4.335100e-04   6.422069e+05   1.380984e+02
 4.369300e-04   6.278265e+05   1.311813e+02
 4.403500e-04   6.128529e+05   1.321784e+02
 4.437700e-04   5.987855e+05   1.499337e+02
 4.471900e-04   5.852910e+05   1.353702e+02
 4.506100e-04   5.716981e+05   9.548028e+01
 4.540300e-04   5.590510e+05   1.412874e+02
 4.574500e-04   5.463988e+05   1.274452e+02
