Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.000000e+02   0.000000e+00   0.000000e+00
 3.000000e+02   0.000000e+00   0.000000e+00
 5.000000e+02   0.000000e+00   0.000000e+00
 7.000000e+02   0.000000e+00   0.000000e+00
 9.000000e+02   1.442584e-01   1.500846e-07
 1.100000e+03   2.162580e-01   1.469294e-07
 1.300000e+03   1.543551e-01   1.890522e-07
 1.500000e+03   1.156801e-01   1.601971e-07
 1.700000e+03   8.990638e-02   2.164980e-07
 1.900000e+03   7.187197e-02   1.500829e-07
 2.100000e+03   5.876091e-02   1.491667e-07
 2.300000e+03   4.893087e-02   1.975639e-07
 2.500000e+03   4.137254e-02   1.616722e-07
 2.700000e+03   3.543575e-02   1.356516e-07
 2.900000e+03   3.068834e-02   1.364607e-07
 3.100000e+03   2.683227e-02   1.251227e-07
 3.300000e+03   2.365828e-02   9.379255e-08
 3.500000e+03   2.101394e-02   1.270893e-07
 3.700000e+03   1.878814e-02   1.341080e-07
 3.900000e+03   1.689644e-02   1.394920e-07
 4.100000e+03   1.527637e-02   1.211978e-07
 4.300000e+03   1.387703e-02   8.910815e-08
 4.500000e+03   1.266128e-02   9.912566e-08
 4.700000e+03   1.159731e-02   1.472945e-07
 4.900000e+03   1.066191e-02   1.035722e-07
 5.100000e+03   9.834487e-03   8.939385e-08
 5.300000e+03   9.099278e-03   7.939668e-08
 5.500000e+03   8.443135e-03   1.121703e-07
 5.700000e+03   7.854834e-03   7.759523e-08
 5.900000e+03   7.325938e-03   9.534275e-08
 6.100000e+03   6.848062e-03   8.776633e-08
 6.300000e+03   6.415570e-03   9.918447e-08
 6.500000e+03   6.022157e-03   9.371037e-08
 6.700000e+03   5.663967e-03   1.176874e-07
 6.900000e+03   5.336112e-03   1.013865e-07
 7.100000e+03   5.035851e-03   7.620654e-08
 7.300000e+03   4.760334e-03   9.670519e-08
 7.500000e+03   4.506366e-03   1.085746e-07
 7.700000e+03   4.272196e-03   7.006552e-08
 7.900000e+03   4.055522e-03   1.015046e-07
 8.100000e+03   3.854904e-03   6.707207e-08
 8.300000e+03   3.668572e-03   6.658257e-08
 8.500000e+03   3.495329e-03   6.852570e-08
 8.700000e+03   3.334254e-03   8.833755e-08
 8.900000e+03   3.183604e-03   8.067739e-08
 9.100000e+03   3.042688e-03   7.085382e-08
 9.300000e+03   2.911343e-03   6.268122e-08
 9.500000e+03   2.787963e-03   5.919978e-08
 9.700000e+03   2.672103e-03   1.076455e-07
 9.900000e+03   2.563249e-03   7.122010e-08
 1.010000e+04   2.461112e-03   8.404025e-08
 1.030000e+04   2.364644e-03   9.920557e-08
 1.050000e+04   2.273798e-03   6.543304e-08
 1.070000e+04   2.187993e-03   7.091729e-08
 1.090000e+04   2.106745e-03   7.898305e-08
 1.110000e+04   2.029930e-03   9.304357e-08
 1.130000e+04   1.957471e-03   9.620694e-08
 1.150000e+04   1.888507e-03   9.926199e-08
 1.170000e+04   1.823216e-03   6.893717e-08
 1.190000e+04   1.761086e-03   6.132524e-08
 1.210000e+04   1.702136e-03   8.136981e-08
 1.230000e+04   1.646034e-03   8.198229e-08
 1.250000e+04   1.592574e-03   6.115970e-08
 1.270000e+04   1.541657e-03   7.508554e-08
 1.290000e+04   1.493153e-03   7.062052e-08
 1.310000e+04   1.446830e-03   5.732449e-08
 1.330000e+04   1.402705e-03   5.162730e-08
 1.350000e+04   1.360343e-03   4.852771e-08
 1.370000e+04   1.319947e-03   6.261745e-08
 1.390000e+04   1.281320e-03   4.831772e-08
 1.410000e+04   1.244319e-03   4.849296e-08
 1.430000e+04   1.208784e-03   5.494004e-08
 1.450000e+04   1.174849e-03   4.427437e-08
 1.470000e+04   1.142312e-03   5.189305e-08
 1.490000e+04   1.111027e-03   4.774981e-08
 1.510000e+04   1.080928e-03   5.021828e-08
 1.530000e+04   1.052194e-03   4.001326e-08
 1.550000e+04   1.024381e-03   3.076283e-08
 1.570000e+04   9.977006e-04   4.158356e-08
 1.590000e+04   9.721321e-04   2.937471e-08
 1.610000e+04   9.473694e-04   4.418020e-08
 1.630000e+04   9.235099e-04   5.272735e-08
 1.650000e+04   9.007558e-04   4.011292e-08
 1.670000e+04   8.786003e-04   3.007028e-08
 1.690000e+04   8.573279e-04   3.918310e-08
 1.710000e+04   8.367259e-04   5.218858e-08
 1.730000e+04   8.169168e-04   5.183129e-08
 1.750000e+04   7.978614e-04   6.489374e-08
 1.770000e+04   7.792226e-04   3.590632e-08
 1.790000e+04   7.613906e-04   4.732595e-08
 1.810000e+04   7.441966e-04   4.337938e-08
 1.830000e+04   7.273724e-04   5.208314e-08
 1.850000e+04   7.112676e-04   3.628632e-08
 1.870000e+04   6.955936e-04   4.229532e-08
 1.890000e+04   6.804382e-04   3.427175e-08
 1.910000e+04   6.658849e-04   5.764660e-08
 1.930000e+04   6.515435e-04   4.713603e-08
 1.950000e+04   6.379103e-04   3.666590e-08
