Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.283345e-03   1.269999e-06
 1.100989e+03   2.158653e-01   6.896261e-07
 1.300987e+03   1.541184e-01   5.289649e-07
 1.500985e+03   1.155268e-01   5.707902e-07
 1.700983e+03   8.980332e-02   5.513210e-07
 1.900981e+03   7.179768e-02   3.909289e-07
 2.100979e+03   5.870547e-02   4.991873e-07
 2.300977e+03   4.888907e-02   4.399372e-07
 2.500975e+03   4.134010e-02   4.213988e-07
 2.700973e+03   3.541052e-02   4.808150e-07
 2.900971e+03   3.066772e-02   3.894120e-07
 3.100969e+03   2.681548e-02   3.456365e-07
 3.300967e+03   2.364398e-02   3.142564e-07
 3.500965e+03   2.100233e-02   3.673617e-07
 3.700963e+03   1.877824e-02   3.721132e-07
 3.900961e+03   1.688794e-02   4.030729e-07
 4.100959e+03   1.526912e-02   3.602994e-07
 4.300957e+03   1.387126e-02   3.400521e-07
 4.500955e+03   1.265577e-02   2.822324e-07
 4.700953e+03   1.159270e-02   3.009483e-07
 4.900951e+03   1.065734e-02   3.148851e-07
 5.100949e+03   9.830902e-03   3.151913e-07
 5.300947e+03   9.095893e-03   3.046694e-07
 5.500945e+03   8.439632e-03   2.623868e-07
 5.700943e+03   7.852086e-03   2.861178e-07
 5.900941e+03   7.323641e-03   2.368892e-07
 6.100939e+03   6.845589e-03   3.184251e-07
 6.300937e+03   6.413929e-03   3.225666e-07
 6.500935e+03   6.020405e-03   3.444888e-07
 6.700933e+03   5.662198e-03   2.916503e-07
 6.900931e+03   5.334728e-03   1.981062e-07
 7.100929e+03   5.034816e-03   2.421875e-07
 7.300927e+03   4.758841e-03   2.398365e-07
 7.500925e+03   4.505233e-03   2.647110e-07
 7.700923e+03   4.271143e-03   2.634503e-07
 7.900921e+03   4.054676e-03   2.427051e-07
 8.100919e+03   3.853676e-03   2.191608e-07
 8.300917e+03   3.668083e-03   2.041633e-07
 8.500915e+03   3.494713e-03   2.611143e-07
 8.700913e+03   3.333320e-03   1.630815e-07
 8.900911e+03   3.182599e-03   2.150744e-07
 9.100909e+03   3.042155e-03   2.373996e-07
 9.300907e+03   2.910912e-03   2.074656e-07
 9.500905e+03   2.787257e-03   2.069944e-07
 9.700903e+03   2.671634e-03   1.852830e-07
 9.900901e+03   2.563082e-03   2.289546e-07
 1.010090e+04   2.460134e-03   2.145069e-07
 1.030090e+04   2.364540e-03   2.151676e-07
 1.050090e+04   2.273178e-03   2.226507e-07
 1.070089e+04   2.187309e-03   2.019819e-07
 1.090089e+04   2.106612e-03   1.769282e-07
 1.110089e+04   2.029872e-03   2.291406e-07
 1.130089e+04   1.957121e-03   2.340088e-07
 1.150089e+04   1.888119e-03   2.130624e-07
 1.170088e+04   1.823042e-03   2.311804e-07
 1.190088e+04   1.760847e-03   1.954431e-07
 1.210088e+04   1.701731e-03   1.931439e-07
 1.230088e+04   1.645899e-03   1.826011e-07
 1.250088e+04   1.592184e-03   1.856540e-07
 1.270087e+04   1.541525e-03   1.822246e-07
 1.290087e+04   1.492958e-03   2.205132e-07
 1.310087e+04   1.446635e-03   1.893045e-07
 1.330087e+04   1.402484e-03   1.461083e-07
 1.350086e+04   1.360157e-03   1.563631e-07
 1.370086e+04   1.319576e-03   1.850389e-07
 1.390086e+04   1.281396e-03   1.787490e-07
 1.410086e+04   1.243942e-03   2.605794e-07
 1.430086e+04   1.208684e-03   1.801898e-07
 1.450085e+04   1.174683e-03   1.661172e-07
 1.470085e+04   1.142221e-03   1.874432e-07
 1.490085e+04   1.110754e-03   1.407804e-07
 1.510085e+04   1.081033e-03   1.821455e-07
 1.530085e+04   1.051932e-03   1.779089e-07
 1.550084e+04   1.024159e-03   1.580563e-07
 1.570084e+04   9.976364e-04   2.073272e-07
 1.590084e+04   9.720492e-04   1.773936e-07
 1.610084e+04   9.470998e-04   1.494253e-07
 1.630084e+04   9.237715e-04   1.689565e-07
 1.650083e+04   9.002455e-04   2.041035e-07
 1.670083e+04   8.787056e-04   1.502216e-07
 1.690083e+04   8.571319e-04   1.258604e-07
 1.710083e+04   8.367651e-04   1.370459e-07
 1.730083e+04   8.168530e-04   1.287899e-07
 1.750083e+04   7.974332e-04   1.260159e-07
 1.770082e+04   7.795327e-04   1.471554e-07
 1.790082e+04   7.613011e-04   1.120242e-07
 1.810082e+04   7.441672e-04   1.196120e-07
 1.830082e+04   7.273846e-04   1.024625e-07
 1.850081e+04   7.110619e-04   1.007171e-07
 1.870081e+04   6.954658e-04   1.104322e-07
 1.890081e+04   6.805552e-04   8.439549e-08
 1.910081e+04   6.657488e-04   1.012322e-07
 1.930081e+04   6.516031e-04   1.270711e-07
 1.950081e+04   6.377903e-04   1.359552e-07
 1.970080e+04   6.243252e-04   9.032492e-08
 1.990080e+04   6.114516e-04   9.303685e-08
 2.010080e+04   5.989214e-04   9.512092e-08
 2.030080e+04   5.869701e-04   9.481034e-08
 2.050079e+04   5.749098e-04   7.758610e-08
 2.070079e+04   5.634531e-04   8.049457e-08
 2.090079e+04   5.522932e-04   7.609701e-08
 2.110079e+04   5.416229e-04   8.343358e-08
 2.130079e+04   5.311141e-04   9.147605e-08
 2.150078e+04   5.208138e-04   1.037556e-07
 2.170078e+04   5.108529e-04   1.045220e-07
 2.190078e+04   5.013466e-04   1.113415e-07
 2.210078e+04   4.919507e-04   1.086800e-07
 2.230078e+04   4.826669e-04   9.445556e-08
 2.250078e+04   4.737625e-04   8.559357e-08
 2.270077e+04   4.653174e-04   8.657043e-08
 2.290077e+04   4.566193e-04   6.566600e-08
 2.310077e+04   4.486645e-04   9.437771e-08
 2.330077e+04   4.405829e-04   7.778710e-08
 2.350076e+04   4.328020e-04   6.979305e-08
 2.370076e+04   4.253289e-04   6.542619e-08
 2.390076e+04   4.177182e-04   7.486378e-08
 2.410076e+04   4.107262e-04   9.201735e-08
 2.430076e+04   4.035196e-04   6.309936e-08
 2.450076e+04   3.967358e-04   7.269528e-08
 2.470075e+04   3.900684e-04   7.722646e-08
 2.490075e+04   3.834749e-04   7.985925e-08
 2.510075e+04   3.772473e-04   6.324374e-08
 2.530075e+04   3.709089e-04   6.337817e-08
 2.550074e+04   3.649104e-04   7.989599e-08
 2.570074e+04   3.590712e-04   7.190468e-08
 2.590074e+04   3.532172e-04   7.831203e-08
 2.610074e+04   3.475330e-04   7.040827e-08
 2.630074e+04   3.420347e-04   6.285522e-08
 2.650074e+04   3.366695e-04   5.987048e-08
 2.670073e+04   3.313376e-04   4.975495e-08
 2.690073e+04   3.263096e-04   4.815374e-08
 2.710073e+04   3.212415e-04   5.431962e-08
 2.730073e+04   3.163276e-04   5.766384e-08
 2.750072e+04   3.113748e-04   6.351605e-08
 2.770072e+04   3.068405e-04   5.763440e-08
 2.790072e+04   3.022990e-04   4.570996e-08
 2.810072e+04   2.976939e-04   5.426618e-08
 2.830072e+04   2.932304e-04   5.314036e-08
 2.850072e+04   2.889615e-04   4.797121e-08
 2.870071e+04   2.847781e-04   4.665887e-08
 2.890071e+04   2.805916e-04   5.061676e-08
 2.910071e+04   2.765219e-04   5.106308e-08
 2.930071e+04   2.727166e-04   4.974660e-08
 2.950071e+04   2.687098e-04   3.896577e-08
 2.970070e+04   2.649722e-04   4.823179e-08
 2.990070e+04   2.612169e-04   5.432409e-08
 3.010070e+04   2.576088e-04   4.997506e-08
 3.030070e+04   2.539134e-04   5.155436e-08
 3.050069e+04   2.505348e-04   5.235006e-08
 3.070069e+04   2.470652e-04   3.518573e-08
 3.090069e+04   2.436970e-04   3.870715e-08
 3.110069e+04   2.404624e-04   5.023431e-08
 3.130069e+04   2.371478e-04   3.467934e-08
 3.150069e+04   2.339877e-04   3.912458e-08
 3.170068e+04   2.308860e-04   3.891216e-08
 3.190068e+04   2.278759e-04   3.943289e-08
 3.210068e+04   2.248211e-04   3.557930e-08
 3.230068e+04   2.219434e-04   3.466131e-08
 3.250067e+04   2.190033e-04   2.566624e-08
 3.270067e+04   2.162222e-04   2.884783e-08
 3.290067e+04   2.134252e-04   3.392277e-08
 3.310067e+04   2.106795e-04   2.860241e-08
 3.330067e+04   2.080584e-04   3.280146e-08
 3.350067e+04   2.054492e-04   2.923357e-08
 3.370066e+04   2.028338e-04   3.325374e-08
 3.390066e+04   2.002797e-04   2.814432e-08
 3.410066e+04   1.978614e-04   2.744459e-08
 3.430066e+04   1.953406e-04   2.044193e-08
 3.450065e+04   1.930194e-04   2.071823e-08
