Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.282834e-03   6.468926e-07
 1.100989e+03   2.158650e-01   1.036217e-06
 1.300987e+03   1.541187e-01   5.834534e-07
 1.500985e+03   1.155273e-01   4.837401e-07
 1.700983e+03   8.980173e-02   4.973821e-07
 1.900981e+03   7.179741e-02   4.103894e-07
 2.100979e+03   5.870613e-02   4.677272e-07
 2.300977e+03   4.888849e-02   4.911971e-07
 2.500975e+03   4.134030e-02   4.450614e-07
 2.700973e+03   3.540995e-02   3.972639e-07
 2.900971e+03   3.066779e-02   4.423579e-07
 3.100969e+03   2.681595e-02   4.564790e-07
 3.300967e+03   2.364375e-02   3.961727e-07
 3.500965e+03   2.100247e-02   3.089328e-07
 3.700963e+03   1.877773e-02   3.295419e-07
 3.900961e+03   1.688787e-02   3.368257e-07
 4.100959e+03   1.526856e-02   3.746330e-07
 4.300957e+03   1.387121e-02   3.441235e-07
 4.500955e+03   1.265562e-02   2.716871e-07
 4.700953e+03   1.159290e-02   2.898683e-07
 4.900951e+03   1.065723e-02   3.050940e-07
 5.100949e+03   9.830516e-03   3.400369e-07
 5.300947e+03   9.096054e-03   2.844910e-07
 5.500945e+03   8.439744e-03   2.609829e-07
 5.700943e+03   7.852543e-03   4.160686e-07
 5.900941e+03   7.323818e-03   3.263047e-07
 6.100939e+03   6.845785e-03   2.638774e-07
 6.300937e+03   6.413494e-03   2.877436e-07
 6.500935e+03   6.020570e-03   3.225253e-07
 6.700933e+03   5.662527e-03   3.355831e-07
 6.900931e+03   5.334250e-03   2.305914e-07
 7.100929e+03   5.034903e-03   2.120557e-07
 7.300927e+03   4.759030e-03   1.863261e-07
 7.500925e+03   4.505619e-03   2.283480e-07
 7.700923e+03   4.270836e-03   1.980001e-07
 7.900921e+03   4.054453e-03   2.693866e-07
 8.100919e+03   3.853760e-03   1.891126e-07
 8.300917e+03   3.667759e-03   2.913021e-07
 8.500915e+03   3.494277e-03   2.027535e-07
 8.700913e+03   3.333409e-03   2.383860e-07
 8.900911e+03   3.183021e-03   2.649206e-07
 9.100909e+03   3.042200e-03   2.453202e-07
 9.300907e+03   2.910708e-03   1.851457e-07
 9.500905e+03   2.787301e-03   2.509691e-07
 9.700903e+03   2.671521e-03   2.267096e-07
 9.900901e+03   2.562562e-03   2.413756e-07
 1.010090e+04   2.460954e-03   2.417174e-07
 1.030090e+04   2.364164e-03   2.544163e-07
 1.050090e+04   2.273031e-03   2.883804e-07
 1.070089e+04   2.188030e-03   2.282677e-07
 1.090089e+04   2.106656e-03   2.834189e-07
 1.110089e+04   2.029084e-03   2.152157e-07
 1.130089e+04   1.957507e-03   2.835543e-07
 1.150089e+04   1.887557e-03   2.797356e-07
 1.170088e+04   1.823273e-03   2.490334e-07
 1.190088e+04   1.760605e-03   2.274269e-07
 1.210088e+04   1.702133e-03   2.338050e-07
 1.230088e+04   1.645695e-03   1.842466e-07
 1.250088e+04   1.592325e-03   2.275002e-07
 1.270087e+04   1.541244e-03   2.503682e-07
 1.290087e+04   1.492928e-03   2.507642e-07
 1.310087e+04   1.446675e-03   1.891910e-07
 1.330087e+04   1.402389e-03   2.250868e-07
 1.350086e+04   1.360185e-03   1.729628e-07
 1.370086e+04   1.319831e-03   1.698794e-07
 1.390086e+04   1.281417e-03   1.241852e-07
 1.410086e+04   1.244008e-03   2.042835e-07
 1.430086e+04   1.208855e-03   1.607124e-07
 1.450085e+04   1.174512e-03   1.808311e-07
 1.470085e+04   1.141987e-03   1.978342e-07
 1.490085e+04   1.111069e-03   1.864991e-07
 1.510085e+04   1.080771e-03   1.368146e-07
 1.530085e+04   1.051937e-03   1.436028e-07
 1.550084e+04   1.024388e-03   1.243320e-07
 1.570084e+04   9.976063e-04   1.604532e-07
 1.590084e+04   9.721538e-04   2.239307e-07
 1.610084e+04   9.469651e-04   2.167666e-07
 1.630084e+04   9.235680e-04   1.707773e-07
 1.650083e+04   9.008038e-04   1.634148e-07
 1.670083e+04   8.783604e-04   1.292636e-07
 1.690083e+04   8.570792e-04   1.312373e-07
 1.710083e+04   8.368116e-04   1.064283e-07
 1.730083e+04   8.167997e-04   1.173614e-07
 1.750083e+04   7.978738e-04   1.663729e-07
 1.770082e+04   7.793368e-04   1.524122e-07
 1.790082e+04   7.608551e-04   1.324072e-07
 1.810082e+04   7.441420e-04   1.333051e-07
 1.830082e+04   7.274315e-04   1.314711e-07
 1.850081e+04   7.112393e-04   1.382082e-07
 1.870081e+04   6.953409e-04   1.540935e-07
 1.890081e+04   6.804571e-04   1.127689e-07
 1.910081e+04   6.659022e-04   1.480378e-07
 1.930081e+04   6.515680e-04   1.235295e-07
 1.950081e+04   6.377631e-04   1.224937e-07
 1.970080e+04   6.244132e-04   1.519739e-07
 1.990080e+04   6.116142e-04   1.219418e-07
 2.010080e+04   5.990915e-04   1.077785e-07
 2.030080e+04   5.866045e-04   1.024849e-07
 2.050079e+04   5.749637e-04   8.143579e-08
 2.070079e+04   5.635824e-04   1.166212e-07
 2.090079e+04   5.525662e-04   1.272947e-07
 2.110079e+04   5.414754e-04   9.786279e-08
 2.130079e+04   5.311360e-04   1.131790e-07
 2.150078e+04   5.206417e-04   1.335487e-07
 2.170078e+04   5.109057e-04   1.090480e-07
 2.190078e+04   5.010755e-04   1.020213e-07
 2.210078e+04   4.922115e-04   8.961806e-08
 2.230078e+04   4.827712e-04   9.092477e-08
 2.250078e+04   4.738288e-04   1.082864e-07
 2.270077e+04   4.651319e-04   9.579594e-08
 2.290077e+04   4.567228e-04   9.843937e-08
 2.310077e+04   4.486271e-04   8.993112e-08
 2.330077e+04   4.405834e-04   8.786032e-08
 2.350076e+04   4.329973e-04   7.341773e-08
 2.370076e+04   4.251068e-04   9.737686e-08
 2.390076e+04   4.179414e-04   1.001183e-07
 2.410076e+04   4.105161e-04   9.228269e-08
 2.430076e+04   4.035860e-04   7.228840e-08
 2.450076e+04   3.967196e-04   8.665746e-08
 2.470075e+04   3.901855e-04   1.085645e-07
 2.490075e+04   3.834382e-04   9.579208e-08
 2.510075e+04   3.771727e-04   8.915231e-08
 2.530075e+04   3.711110e-04   1.008596e-07
 2.550074e+04   3.648046e-04   8.351897e-08
 2.570074e+04   3.589981e-04   8.712766e-08
 2.590074e+04   3.531193e-04   9.272669e-08
 2.610074e+04   3.476000e-04   7.138614e-08
 2.630074e+04   3.421392e-04   7.195541e-08
 2.650074e+04   3.366671e-04   9.982817e-08
 2.670073e+04   3.313254e-04   9.892640e-08
 2.690073e+04   3.263035e-04   8.279041e-08
 2.710073e+04   3.212904e-04   9.247977e-08
 2.730073e+04   3.162352e-04   7.728406e-08
 2.750072e+04   3.115796e-04   8.530276e-08
 2.770072e+04   3.067531e-04   7.339530e-08
 2.790072e+04   3.021990e-04   6.250054e-08
 2.810072e+04   2.977601e-04   6.248086e-08
 2.830072e+04   2.931334e-04   7.225483e-08
 2.850072e+04   2.890167e-04   6.646411e-08
 2.870071e+04   2.848443e-04   6.429655e-08
 2.890071e+04   2.804546e-04   6.300015e-08
 2.910071e+04   2.766466e-04   6.721368e-08
 2.930071e+04   2.725887e-04   5.102191e-08
 2.950071e+04   2.688633e-04   6.309959e-08
 2.970070e+04   2.649115e-04   5.671431e-08
 2.990070e+04   2.611171e-04   7.190127e-08
 3.010070e+04   2.575717e-04   6.174298e-08
 3.030070e+04   2.539943e-04   6.073314e-08
 3.050069e+04   2.505402e-04   3.952960e-08
 3.070069e+04   2.470290e-04   4.958127e-08
 3.090069e+04   2.436884e-04   4.842446e-08
 3.110069e+04   2.404181e-04   5.477802e-08
 3.130069e+04   2.371993e-04   5.377397e-08
 3.150069e+04   2.340166e-04   4.463424e-08
 3.170068e+04   2.309530e-04   6.062152e-08
 3.190068e+04   2.278285e-04   4.963211e-08
 3.210068e+04   2.248650e-04   4.041003e-08
 3.230068e+04   2.219313e-04   4.308541e-08
 3.250067e+04   2.190113e-04   3.558972e-08
 3.270067e+04   2.161811e-04   3.820674e-08
 3.290067e+04   2.134532e-04   3.839626e-08
 3.310067e+04   2.107073e-04   4.126603e-08
 3.330067e+04   2.080443e-04   3.254592e-08
 3.350067e+04   2.053485e-04   3.126087e-08
 3.370066e+04   2.028594e-04   4.164564e-08
 3.390066e+04   2.003415e-04   3.065646e-08
 3.410066e+04   1.977937e-04   4.656931e-08
 3.430066e+04   1.953441e-04   2.902644e-08
 3.450065e+04   1.929290e-04   3.590918e-08
