Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.278578e-03   9.645459e-06
 1.100989e+03   2.158698e-01   7.297320e-06
 1.300987e+03   1.541215e-01   3.803566e-06
 1.500985e+03   1.155253e-01   5.765593e-06
 1.700983e+03   8.980232e-02   1.251256e-06
 1.900981e+03   7.179317e-02   3.181453e-06
 2.100979e+03   5.870326e-02   1.140347e-06
 2.300977e+03   4.867499e-02   1.168826e-04
 2.500975e+03   1.935290e-02   1.074635e-03
 2.700973e+03   0.000000e+00   0.000000e+00
 2.900971e+03   0.000000e+00   0.000000e+00
 3.100969e+03   0.000000e+00   0.000000e+00
 3.300967e+03   0.000000e+00   0.000000e+00
 3.500965e+03   0.000000e+00   0.000000e+00
 3.700963e+03   0.000000e+00   0.000000e+00
 3.900961e+03   0.000000e+00   0.000000e+00
 4.100959e+03   0.000000e+00   0.000000e+00
 4.300957e+03   0.000000e+00   0.000000e+00
 4.500955e+03   0.000000e+00   0.000000e+00
 4.700953e+03   0.000000e+00   0.000000e+00
 4.900951e+03   0.000000e+00   0.000000e+00
 5.100949e+03   0.000000e+00   0.000000e+00
 5.300947e+03   0.000000e+00   0.000000e+00
 5.500945e+03   0.000000e+00   0.000000e+00
 5.700943e+03   0.000000e+00   0.000000e+00
 5.900941e+03   0.000000e+00   0.000000e+00
 6.100939e+03   0.000000e+00   0.000000e+00
 6.300937e+03   0.000000e+00   0.000000e+00
 6.500935e+03   0.000000e+00   0.000000e+00
 6.700933e+03   0.000000e+00   0.000000e+00
 6.900931e+03   0.000000e+00   0.000000e+00
 7.100929e+03   0.000000e+00   0.000000e+00
 7.300927e+03   0.000000e+00   0.000000e+00
 7.500925e+03   0.000000e+00   0.000000e+00
 7.700923e+03   0.000000e+00   0.000000e+00
 7.900921e+03   0.000000e+00   0.000000e+00
 8.100919e+03   0.000000e+00   0.000000e+00
 8.300917e+03   0.000000e+00   0.000000e+00
 8.500915e+03   0.000000e+00   0.000000e+00
 8.700913e+03   0.000000e+00   0.000000e+00
 8.900911e+03   0.000000e+00   0.000000e+00
 9.100909e+03   0.000000e+00   0.000000e+00
 9.300907e+03   0.000000e+00   0.000000e+00
 9.500905e+03   0.000000e+00   0.000000e+00
 9.700903e+03   0.000000e+00   0.000000e+00
 9.900901e+03   0.000000e+00   0.000000e+00
 1.010090e+04   0.000000e+00   0.000000e+00
 1.030090e+04   0.000000e+00   0.000000e+00
 1.050090e+04   0.000000e+00   0.000000e+00
 1.070089e+04   0.000000e+00   0.000000e+00
 1.090089e+04   0.000000e+00   0.000000e+00
 1.110089e+04   0.000000e+00   0.000000e+00
 1.130089e+04   0.000000e+00   0.000000e+00
 1.150089e+04   0.000000e+00   0.000000e+00
 1.170088e+04   0.000000e+00   0.000000e+00
 1.190088e+04   0.000000e+00   0.000000e+00
 1.210088e+04   0.000000e+00   0.000000e+00
 1.230088e+04   0.000000e+00   0.000000e+00
 1.250088e+04   0.000000e+00   0.000000e+00
 1.270087e+04   0.000000e+00   0.000000e+00
 1.290087e+04   0.000000e+00   0.000000e+00
 1.310087e+04   0.000000e+00   0.000000e+00
 1.330087e+04   0.000000e+00   0.000000e+00
 1.350086e+04   0.000000e+00   0.000000e+00
 1.370086e+04   0.000000e+00   0.000000e+00
 1.390086e+04   0.000000e+00   0.000000e+00
 1.410086e+04   0.000000e+00   0.000000e+00
 1.430086e+04   0.000000e+00   0.000000e+00
 1.450085e+04   0.000000e+00   0.000000e+00
 1.470085e+04   0.000000e+00   0.000000e+00
 1.490085e+04   0.000000e+00   0.000000e+00
 1.510085e+04   0.000000e+00   0.000000e+00
 1.530085e+04   0.000000e+00   0.000000e+00
 1.550084e+04   0.000000e+00   0.000000e+00
 1.570084e+04   0.000000e+00   0.000000e+00
 1.590084e+04   0.000000e+00   0.000000e+00
 1.610084e+04   0.000000e+00   0.000000e+00
 1.630084e+04   0.000000e+00   0.000000e+00
 1.650083e+04   0.000000e+00   0.000000e+00
 1.670083e+04   0.000000e+00   0.000000e+00
 1.690083e+04   0.000000e+00   0.000000e+00
 1.710083e+04   0.000000e+00   0.000000e+00
 1.730083e+04   0.000000e+00   0.000000e+00
 1.750083e+04   0.000000e+00   0.000000e+00
 1.770082e+04   0.000000e+00   0.000000e+00
 1.790082e+04   0.000000e+00   0.000000e+00
 1.810082e+04   0.000000e+00   0.000000e+00
 1.830082e+04   0.000000e+00   0.000000e+00
 1.850081e+04   0.000000e+00   0.000000e+00
 1.870081e+04   0.000000e+00   0.000000e+00
 1.890081e+04   0.000000e+00   0.000000e+00
 1.910081e+04   0.000000e+00   0.000000e+00
 1.930081e+04   0.000000e+00   0.000000e+00
 1.950081e+04   0.000000e+00   0.000000e+00
 1.970080e+04   0.000000e+00   0.000000e+00
 1.990080e+04   0.000000e+00   0.000000e+00
 2.010080e+04   0.000000e+00   0.000000e+00
 2.030080e+04   0.000000e+00   0.000000e+00
 2.050079e+04   0.000000e+00   0.000000e+00
 2.070079e+04   0.000000e+00   0.000000e+00
 2.090079e+04   0.000000e+00   0.000000e+00
 2.110079e+04   0.000000e+00   0.000000e+00
 2.130079e+04   0.000000e+00   0.000000e+00
 2.150078e+04   0.000000e+00   0.000000e+00
 2.170078e+04   0.000000e+00   0.000000e+00
 2.190078e+04   0.000000e+00   0.000000e+00
 2.210078e+04   0.000000e+00   0.000000e+00
 2.230078e+04   0.000000e+00   0.000000e+00
 2.250078e+04   0.000000e+00   0.000000e+00
 2.270077e+04   0.000000e+00   0.000000e+00
 2.290077e+04   0.000000e+00   0.000000e+00
 2.310077e+04   0.000000e+00   0.000000e+00
 2.330077e+04   0.000000e+00   0.000000e+00
 2.350076e+04   0.000000e+00   0.000000e+00
 2.370076e+04   0.000000e+00   0.000000e+00
 2.390076e+04   0.000000e+00   0.000000e+00
 2.410076e+04   0.000000e+00   0.000000e+00
 2.430076e+04   0.000000e+00   0.000000e+00
 2.450076e+04   0.000000e+00   0.000000e+00
 2.470075e+04   0.000000e+00   0.000000e+00
 2.490075e+04   0.000000e+00   0.000000e+00
 2.510075e+04   0.000000e+00   0.000000e+00
 2.530075e+04   0.000000e+00   0.000000e+00
 2.550074e+04   0.000000e+00   0.000000e+00
 2.570074e+04   0.000000e+00   0.000000e+00
 2.590074e+04   0.000000e+00   0.000000e+00
 2.610074e+04   0.000000e+00   0.000000e+00
 2.630074e+04   0.000000e+00   0.000000e+00
 2.650074e+04   0.000000e+00   0.000000e+00
 2.670073e+04   0.000000e+00   0.000000e+00
 2.690073e+04   0.000000e+00   0.000000e+00
 2.710073e+04   0.000000e+00   0.000000e+00
 2.730073e+04   0.000000e+00   0.000000e+00
 2.750072e+04   0.000000e+00   0.000000e+00
 2.770072e+04   0.000000e+00   0.000000e+00
 2.790072e+04   0.000000e+00   0.000000e+00
 2.810072e+04   0.000000e+00   0.000000e+00
 2.830072e+04   0.000000e+00   0.000000e+00
 2.850072e+04   0.000000e+00   0.000000e+00
 2.870071e+04   0.000000e+00   0.000000e+00
 2.890071e+04   0.000000e+00   0.000000e+00
 2.910071e+04   0.000000e+00   0.000000e+00
 2.930071e+04   0.000000e+00   0.000000e+00
 2.950071e+04   0.000000e+00   0.000000e+00
 2.970070e+04   0.000000e+00   0.000000e+00
 2.990070e+04   0.000000e+00   0.000000e+00
 3.010070e+04   0.000000e+00   0.000000e+00
 3.030070e+04   0.000000e+00   0.000000e+00
 3.050069e+04   0.000000e+00   0.000000e+00
 3.070069e+04   0.000000e+00   0.000000e+00
 3.090069e+04   0.000000e+00   0.000000e+00
 3.110069e+04   0.000000e+00   0.000000e+00
 3.130069e+04   0.000000e+00   0.000000e+00
 3.150069e+04   0.000000e+00   0.000000e+00
 3.170068e+04   0.000000e+00   0.000000e+00
 3.190068e+04   0.000000e+00   0.000000e+00
 3.210068e+04   0.000000e+00   0.000000e+00
 3.230068e+04   0.000000e+00   0.000000e+00
 3.250067e+04   0.000000e+00   0.000000e+00
 3.270067e+04   0.000000e+00   0.000000e+00
 3.290067e+04   0.000000e+00   0.000000e+00
 3.310067e+04   0.000000e+00   0.000000e+00
 3.330067e+04   0.000000e+00   0.000000e+00
 3.350067e+04   0.000000e+00   0.000000e+00
 3.370066e+04   0.000000e+00   0.000000e+00
 3.390066e+04   0.000000e+00   0.000000e+00
 3.410066e+04   0.000000e+00   0.000000e+00
 3.430066e+04   0.000000e+00   0.000000e+00
 3.450065e+04   0.000000e+00   0.000000e+00
