Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.281566e-03   3.520378e-06
 1.100989e+03   2.158670e-01   3.733067e-06
 1.300987e+03   1.541222e-01   2.317739e-06
 1.500985e+03   1.155282e-01   3.828947e-06
 1.700983e+03   8.980014e-02   1.713178e-06
 1.900981e+03   7.179967e-02   2.961975e-06
 2.100979e+03   5.870975e-02   2.796276e-06
 2.300977e+03   4.888504e-02   2.718039e-06
 2.500975e+03   4.133801e-02   1.584758e-06
 2.700973e+03   3.540763e-02   2.425015e-06
 2.900971e+03   3.066968e-02   2.766675e-06
 3.100969e+03   2.681528e-02   1.766928e-06
 3.300967e+03   2.364160e-02   2.363325e-06
 3.500965e+03   2.100420e-02   1.718832e-06
 3.700963e+03   1.877798e-02   2.103645e-06
 3.900961e+03   1.688502e-02   3.321095e-06
 4.100959e+03   1.526895e-02   1.382538e-06
 4.300957e+03   1.387664e-02   1.773740e-06
 4.500955e+03   1.265086e-02   1.044753e-06
 4.700953e+03   1.159195e-02   1.789570e-06
 4.900951e+03   1.065724e-02   2.469756e-06
 5.100949e+03   9.830424e-03   1.887221e-06
 5.300947e+03   9.097762e-03   1.042874e-06
 5.500945e+03   8.437861e-03   1.640849e-06
 5.700943e+03   7.854299e-03   1.897079e-06
 5.900941e+03   7.324209e-03   1.825115e-06
 6.100939e+03   6.846176e-03   1.523891e-06
 6.300937e+03   6.411048e-03   1.730063e-06
 6.500935e+03   6.021198e-03   1.193146e-06
 6.700933e+03   5.662178e-03   2.110902e-06
 6.900931e+03   5.333677e-03   1.275614e-06
 7.100929e+03   5.035788e-03   1.364641e-06
 7.300927e+03   4.757925e-03   1.576690e-06
 7.500925e+03   4.507117e-03   2.020219e-06
 7.700923e+03   4.268532e-03   1.693943e-06
 7.900921e+03   4.054863e-03   1.769827e-06
 8.100919e+03   3.852941e-03   1.338986e-06
 8.300917e+03   3.669079e-03   1.998736e-06
 8.500915e+03   3.491158e-03   1.492466e-06
 8.700913e+03   3.332569e-03   1.233394e-06
 8.900911e+03   3.182868e-03   1.518461e-06
 9.100909e+03   3.042808e-03   1.314427e-06
 9.300907e+03   2.911081e-03   7.312664e-07
 9.500905e+03   2.789164e-03   1.113074e-06
 9.700903e+03   2.671979e-03   9.792205e-07
 9.900901e+03   2.562375e-03   9.693573e-07
 1.010090e+04   2.460062e-03   9.526881e-07
 1.030090e+04   2.364190e-03   8.919667e-07
 1.050090e+04   2.273433e-03   9.802684e-07
 1.070089e+04   2.186859e-03   1.024522e-06
 1.090089e+04   2.105959e-03   1.330784e-06
 1.110089e+04   2.029271e-03   1.027629e-06
 1.130089e+04   1.957547e-03   1.352936e-06
 1.150089e+04   1.888609e-03   1.079289e-06
 1.170088e+04   1.823473e-03   1.016112e-06
 1.190088e+04   1.758850e-03   1.531876e-06
 1.210088e+04   1.701307e-03   1.889033e-06
 1.230088e+04   1.646313e-03   1.158127e-06
 1.250088e+04   1.592827e-03   9.970001e-07
 1.270087e+04   1.542701e-03   9.096859e-07
 1.290087e+04   1.491354e-03   1.356490e-06
 1.310087e+04   1.446258e-03   1.138853e-06
 1.330087e+04   1.403409e-03   8.735603e-07
 1.350086e+04   1.358764e-03   1.217167e-06
 1.370086e+04   1.319287e-03   7.172207e-07
 1.390086e+04   1.281955e-03   8.958068e-07
 1.410086e+04   1.243137e-03   1.217321e-06
 1.430086e+04   1.209819e-03   1.057255e-06
 1.450085e+04   1.173136e-03   7.957410e-07
 1.470085e+04   1.143811e-03   9.009851e-07
 1.490085e+04   1.108947e-03   9.482713e-07
 1.510085e+04   1.081500e-03   9.769856e-07
 1.530085e+04   1.053500e-03   1.034113e-06
 1.550084e+04   1.024609e-03   1.047490e-06
 1.570084e+04   9.968391e-04   9.932513e-07
 1.590084e+04   9.722788e-04   1.000788e-06
 1.610084e+04   9.467840e-04   1.042852e-06
 1.630084e+04   9.231968e-04   8.612788e-07
 1.650083e+04   9.000071e-04   7.962781e-07
 1.670083e+04   8.793548e-04   1.244198e-06
 1.690083e+04   8.561302e-04   7.381774e-07
 1.710083e+04   8.369971e-04   5.486629e-07
 1.730083e+04   8.166920e-04   6.231416e-07
 1.750083e+04   7.981619e-04   1.015005e-06
 1.770082e+04   7.798694e-04   7.673468e-07
 1.790082e+04   7.605898e-04   9.098600e-07
 1.810082e+04   7.418838e-04   7.149944e-07
 1.830082e+04   7.269541e-04   8.028385e-07
 1.850081e+04   7.112625e-04   1.010973e-06
 1.870081e+04   6.938542e-04   8.139123e-07
 1.890081e+04   6.814907e-04   6.837667e-07
 1.910081e+04   6.667026e-04   5.374583e-07
 1.930081e+04   6.498218e-04   6.095270e-07
 1.950081e+04   6.390376e-04   8.353874e-07
 1.970080e+04   6.241775e-04   7.121677e-07
 1.990080e+04   6.123088e-04   4.526222e-07
 2.010080e+04   5.975788e-04   6.738634e-07
 2.030080e+04   5.863073e-04   8.298567e-07
 2.050079e+04   5.751549e-04   5.722910e-07
 2.070079e+04   5.627607e-04   7.966894e-07
 2.090079e+04   5.524853e-04   4.489466e-07
 2.110079e+04   5.429363e-04   7.240767e-07
 2.130079e+04   5.305726e-04   5.477499e-07
 2.150078e+04   5.209429e-04   5.769800e-07
 2.170078e+04   5.104372e-04   5.896550e-07
 2.190078e+04   5.012873e-04   6.401393e-07
 2.210078e+04   4.927530e-04   6.207028e-07
 2.230078e+04   4.826133e-04   5.991299e-07
 2.250078e+04   4.730676e-04   3.578688e-07
 2.270077e+04   4.654683e-04   5.090715e-07
 2.290077e+04   4.561988e-04   5.206577e-07
 2.310077e+04   4.492035e-04   5.341662e-07
 2.330077e+04   4.406676e-04   3.591867e-07
 2.350076e+04   4.326243e-04   3.840135e-07
 2.370076e+04   4.250985e-04   5.053586e-07
 2.390076e+04   4.180807e-04   3.699679e-07
 2.410076e+04   4.107375e-04   3.674008e-07
 2.430076e+04   4.030838e-04   6.326613e-07
 2.450076e+04   3.967695e-04   6.570992e-07
 2.470075e+04   3.896018e-04   5.372553e-07
 2.490075e+04   3.839974e-04   5.956406e-07
 2.510075e+04   3.772546e-04   4.405676e-07
 2.530075e+04   3.714849e-04   4.693825e-07
 2.550074e+04   3.643353e-04   2.934083e-07
 2.570074e+04   3.588862e-04   3.820022e-07
 2.590074e+04   3.525820e-04   4.379428e-07
 2.610074e+04   3.478771e-04   5.416972e-07
 2.630074e+04   3.424062e-04   3.962760e-07
 2.650074e+04   3.368909e-04   5.210072e-07
 2.670073e+04   3.313727e-04   4.287050e-07
 2.690073e+04   3.261471e-04   3.465223e-07
 2.710073e+04   3.206291e-04   3.597850e-07
 2.730073e+04   3.168943e-04   4.631947e-07
 2.750072e+04   3.121648e-04   6.348245e-07
 2.770072e+04   3.064777e-04   4.647665e-07
 2.790072e+04   3.024708e-04   4.060406e-07
 2.810072e+04   2.969371e-04   3.379735e-07
 2.830072e+04   2.941048e-04   3.065734e-07
 2.850072e+04   2.883666e-04   3.327946e-07
 2.870071e+04   2.853435e-04   3.507414e-07
 2.890071e+04   2.802022e-04   3.671323e-07
 2.910071e+04   2.769111e-04   3.647320e-07
 2.930071e+04   2.725603e-04   2.534309e-07
 2.950071e+04   2.688922e-04   2.177076e-07
 2.970070e+04   2.647700e-04   1.904617e-07
 2.990070e+04   2.612130e-04   2.535550e-07
 3.010070e+04   2.574806e-04   2.793780e-07
 3.030070e+04   2.543556e-04   2.742114e-07
 3.050069e+04   2.501346e-04   2.490427e-07
 3.070069e+04   2.466724e-04   2.263712e-07
 3.090069e+04   2.437309e-04   2.057827e-07
 3.110069e+04   2.405929e-04   2.266211e-07
 3.130069e+04   2.369229e-04   2.720628e-07
 3.150069e+04   2.341162e-04   2.016574e-07
 3.170068e+04   2.309528e-04   1.346786e-07
 3.190068e+04   2.275223e-04   2.531154e-07
 3.210068e+04   2.250009e-04   2.330122e-07
 3.230068e+04   2.219200e-04   2.494207e-07
 3.250067e+04   2.191453e-04   1.760061e-07
 3.270067e+04   2.158848e-04   2.203893e-07
 3.290067e+04   2.136565e-04   1.812906e-07
 3.310067e+04   2.105503e-04   2.001396e-07
 3.330067e+04   2.080969e-04   2.274721e-07
 3.350067e+04   2.055511e-04   1.937014e-07
 3.370066e+04   2.029200e-04   1.658301e-07
 3.390066e+04   2.002395e-04   1.440858e-07
 3.410066e+04   1.980611e-04   1.234990e-07
 3.430066e+04   1.953427e-04   1.942952e-07
 3.450065e+04   1.930988e-04   1.535090e-07
