Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.283455e-03   6.868811e-07
 1.100989e+03   2.158658e-01   4.397550e-07
 1.300987e+03   1.541182e-01   5.807423e-07
 1.500985e+03   1.155279e-01   4.614477e-07
 1.700983e+03   8.980186e-02   4.644453e-07
 1.900981e+03   7.179681e-02   4.054261e-07
 2.100979e+03   5.870603e-02   4.774279e-07
 2.300977e+03   4.888920e-02   4.691133e-07
 2.500975e+03   4.134028e-02   4.100519e-07
 2.700973e+03   3.541020e-02   3.821681e-07
 2.900971e+03   3.066654e-02   4.435513e-07
 3.100969e+03   2.681619e-02   4.181720e-07
 3.300967e+03   2.364454e-02   4.404653e-07
 3.500965e+03   2.100231e-02   3.675601e-07
 3.700963e+03   1.877844e-02   4.548675e-07
 3.900961e+03   1.688815e-02   3.215524e-07
 4.100959e+03   1.526961e-02   2.617234e-07
 4.300957e+03   1.387011e-02   2.826158e-07
 4.500955e+03   1.265590e-02   3.252863e-07
 4.700953e+03   1.159264e-02   2.839462e-07
 4.900951e+03   1.065780e-02   2.532293e-07
 5.100949e+03   9.831048e-03   2.948102e-07
 5.300947e+03   9.095708e-03   2.844381e-07
 5.500945e+03   8.439775e-03   3.206670e-07
 5.700943e+03   7.852624e-03   2.339061e-07
 5.900941e+03   7.323037e-03   3.080996e-07
 6.100939e+03   6.846431e-03   3.903466e-07
 6.300937e+03   6.414005e-03   3.162751e-07
 6.500935e+03   6.019953e-03   2.346485e-07
 6.700933e+03   5.661857e-03   2.203412e-07
 6.900931e+03   5.334613e-03   2.348304e-07
 7.100929e+03   5.034992e-03   2.121717e-07
 7.300927e+03   4.758698e-03   2.466050e-07
 7.500925e+03   4.505222e-03   2.600585e-07
 7.700923e+03   4.271282e-03   3.298895e-07
 7.900921e+03   4.054697e-03   2.284878e-07
 8.100919e+03   3.853991e-03   2.541594e-07
 8.300917e+03   3.668342e-03   2.636550e-07
 8.500915e+03   3.494273e-03   3.511388e-07
 8.700913e+03   3.333571e-03   1.577416e-07
 8.900911e+03   3.182536e-03   2.106953e-07
 9.100909e+03   3.042292e-03   2.570080e-07
 9.300907e+03   2.910562e-03   2.027691e-07
 9.500905e+03   2.787474e-03   2.073601e-07
 9.700903e+03   2.671646e-03   1.623353e-07
 9.900901e+03   2.563294e-03   2.137870e-07
 1.010090e+04   2.460546e-03   1.979001e-07
 1.030090e+04   2.363911e-03   2.193378e-07
 1.050090e+04   2.273481e-03   2.313909e-07
 1.070089e+04   2.187839e-03   2.753224e-07
 1.090089e+04   2.106306e-03   2.999431e-07
 1.110089e+04   2.029975e-03   2.464782e-07
 1.130089e+04   1.957151e-03   2.075543e-07
 1.150089e+04   1.888211e-03   1.818244e-07
 1.170088e+04   1.822916e-03   1.822519e-07
 1.190088e+04   1.760843e-03   2.083388e-07
 1.210088e+04   1.701585e-03   1.936600e-07
 1.230088e+04   1.645691e-03   2.298527e-07
 1.250088e+04   1.592815e-03   2.065767e-07
 1.270087e+04   1.541369e-03   1.878778e-07
 1.290087e+04   1.492824e-03   1.229018e-07
 1.310087e+04   1.446628e-03   1.831207e-07
 1.330087e+04   1.402186e-03   1.628216e-07
 1.350086e+04   1.360476e-03   1.526766e-07
 1.370086e+04   1.319795e-03   1.701701e-07
 1.390086e+04   1.281119e-03   1.938170e-07
 1.410086e+04   1.243953e-03   2.246035e-07
 1.430086e+04   1.208680e-03   1.913670e-07
 1.450085e+04   1.174751e-03   2.264013e-07
 1.470085e+04   1.142129e-03   1.685354e-07
 1.490085e+04   1.110770e-03   2.053454e-07
 1.510085e+04   1.081394e-03   1.514291e-07
 1.530085e+04   1.051931e-03   1.237286e-07
 1.550084e+04   1.024260e-03   1.494054e-07
 1.570084e+04   9.973685e-04   1.276231e-07
 1.590084e+04   9.723219e-04   1.488351e-07
 1.610084e+04   9.468989e-04   1.627764e-07
 1.630084e+04   9.236167e-04   1.508640e-07
 1.650083e+04   9.004880e-04   1.507271e-07
 1.670083e+04   8.784877e-04   1.530078e-07
 1.690083e+04   8.571856e-04   1.060598e-07
 1.710083e+04   8.367913e-04   1.340602e-07
 1.730083e+04   8.169275e-04   1.206306e-07
 1.750083e+04   7.976127e-04   1.431133e-07
 1.770082e+04   7.791043e-04   1.416796e-07
 1.790082e+04   7.611374e-04   1.494244e-07
 1.810082e+04   7.441539e-04   1.442470e-07
 1.830082e+04   7.273392e-04   1.571143e-07
 1.850081e+04   7.113108e-04   1.264063e-07
 1.870081e+04   6.954065e-04   9.952120e-08
 1.890081e+04   6.802326e-04   1.074588e-07
 1.910081e+04   6.659759e-04   1.218967e-07
 1.930081e+04   6.514954e-04   1.092779e-07
 1.950081e+04   6.377129e-04   1.353273e-07
 1.970080e+04   6.244773e-04   1.116845e-07
 1.990080e+04   6.114855e-04   1.216557e-07
 2.010080e+04   5.990824e-04   1.022558e-07
 2.030080e+04   5.867475e-04   1.199137e-07
 2.050079e+04   5.750599e-04   1.071485e-07
 2.070079e+04   5.633209e-04   9.149725e-08
 2.090079e+04   5.524426e-04   8.938014e-08
 2.110079e+04   5.414430e-04   1.063574e-07
 2.130079e+04   5.311554e-04   9.214538e-08
 2.150078e+04   5.208557e-04   8.959626e-08
 2.170078e+04   5.108445e-04   9.925213e-08
 2.190078e+04   5.013025e-04   8.448450e-08
 2.210078e+04   4.917669e-04   8.278827e-08
 2.230078e+04   4.829651e-04   9.734910e-08
 2.250078e+04   4.738065e-04   9.448735e-08
 2.270077e+04   4.650507e-04   8.397919e-08
 2.290077e+04   4.568766e-04   9.452982e-08
 2.310077e+04   4.485672e-04   9.249776e-08
 2.330077e+04   4.405179e-04   1.089453e-07
 2.350076e+04   4.328245e-04   8.220079e-08
 2.370076e+04   4.253284e-04   9.127415e-08
 2.390076e+04   4.177450e-04   8.979697e-08
 2.410076e+04   4.105526e-04   8.059950e-08
 2.430076e+04   4.036933e-04   8.221227e-08
 2.450076e+04   3.967069e-04   7.601561e-08
 2.470075e+04   3.900172e-04   7.000317e-08
 2.490075e+04   3.835888e-04   6.085513e-08
 2.510075e+04   3.771645e-04   5.773905e-08
 2.530075e+04   3.709897e-04   6.306526e-08
 2.550074e+04   3.650268e-04   8.853603e-08
 2.570074e+04   3.588136e-04   8.134970e-08
 2.590074e+04   3.533870e-04   6.790494e-08
 2.610074e+04   3.476315e-04   6.392646e-08
 2.630074e+04   3.420024e-04   7.177533e-08
 2.650074e+04   3.366557e-04   8.318529e-08
 2.670073e+04   3.314316e-04   5.958207e-08
 2.690073e+04   3.262309e-04   7.431059e-08
 2.710073e+04   3.211175e-04   6.037370e-08
 2.730073e+04   3.164771e-04   6.080141e-08
 2.750072e+04   3.114829e-04   6.144090e-08
 2.770072e+04   3.067582e-04   5.253506e-08
 2.790072e+04   3.021183e-04   6.106393e-08
 2.810072e+04   2.977105e-04   6.399490e-08
 2.830072e+04   2.932525e-04   5.654255e-08
 2.850072e+04   2.889995e-04   4.389000e-08
 2.870071e+04   2.848066e-04   4.936759e-08
 2.890071e+04   2.805154e-04   4.632009e-08
 2.910071e+04   2.766588e-04   5.646118e-08
 2.930071e+04   2.726179e-04   4.535525e-08
 2.950071e+04   2.687679e-04   4.031377e-08
 2.970070e+04   2.649057e-04   3.496008e-08
 2.990070e+04   2.612607e-04   4.129871e-08
 3.010070e+04   2.575536e-04   4.126054e-08
 3.030070e+04   2.539844e-04   5.018457e-08
 3.050069e+04   2.505472e-04   5.023045e-08
 3.070069e+04   2.470348e-04   4.042199e-08
 3.090069e+04   2.436543e-04   4.261014e-08
 3.110069e+04   2.404610e-04   4.376306e-08
 3.130069e+04   2.371009e-04   3.850666e-08
 3.150069e+04   2.340149e-04   3.679406e-08
 3.170068e+04   2.309129e-04   4.113074e-08
 3.190068e+04   2.278298e-04   4.070266e-08
 3.210068e+04   2.247792e-04   4.580143e-08
 3.230068e+04   2.218912e-04   3.530261e-08
 3.250067e+04   2.190649e-04   3.597977e-08
 3.270067e+04   2.162506e-04   3.814033e-08
 3.290067e+04   2.134168e-04   3.641112e-08
 3.310067e+04   2.106923e-04   3.867527e-08
 3.330067e+04   2.080556e-04   3.491241e-08
 3.350067e+04   2.054500e-04   3.445809e-08
 3.370066e+04   2.027879e-04   3.630497e-08
 3.390066e+04   2.003176e-04   2.582473e-08
 3.410066e+04   1.977947e-04   3.564877e-08
 3.430066e+04   1.953802e-04   3.846086e-08
 3.450065e+04   1.930173e-04   2.907973e-08
