Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.751566e-05   1.022640e-06
 9.500000e+02   2.885140e-01   2.986412e-05
 1.050000e+03   2.359344e-01   1.202059e-05
 1.150000e+03   1.965506e-01   7.633098e-06
 1.250000e+03   1.662691e-01   7.909284e-06
 1.350000e+03   1.424511e-01   7.867019e-06
 1.450000e+03   1.234293e-01   9.213128e-06
 1.550000e+03   1.079301e-01   8.408714e-06
 1.650000e+03   9.522813e-02   1.033000e-05
 1.750000e+03   8.458561e-02   1.226934e-05
 1.850000e+03   7.567733e-02   5.559509e-06
 1.950000e+03   6.806678e-02   9.985363e-06
 2.050000e+03   6.157086e-02   1.110324e-05
 2.150000e+03   5.594957e-02   6.008924e-06
 2.250000e+03   5.106198e-02   8.607389e-06
 2.350000e+03   4.680657e-02   7.322639e-06
 2.450000e+03   4.303020e-02   6.204823e-06
 2.550000e+03   3.971384e-02   1.087808e-05
 2.650000e+03   3.675095e-02   1.231116e-05
 2.750000e+03   3.411647e-02   4.595460e-06
 2.850000e+03   3.175523e-02   6.033145e-06
 2.950000e+03   2.962855e-02   6.476062e-06
 3.050000e+03   2.769277e-02   6.937736e-06
 3.150000e+03   2.596531e-02   5.386214e-06
 3.250000e+03   2.438254e-02   3.626954e-06
 3.350000e+03   2.293475e-02   6.322130e-06
 3.450000e+03   2.162222e-02   8.232271e-06
 3.550000e+03   2.040717e-02   4.857048e-06
 3.650000e+03   1.929488e-02   4.749029e-06
 3.750000e+03   1.828834e-02   5.355710e-06
 3.850000e+03   1.732595e-02   4.390476e-06
 3.950000e+03   1.646428e-02   4.650719e-06
 4.050000e+03   1.564754e-02   2.799608e-06
 4.150000e+03   1.490391e-02   4.729783e-06
 4.250000e+03   1.420309e-02   5.425205e-06
 4.350000e+03   1.355404e-02   4.481422e-06
 4.450000e+03   1.294485e-02   2.865044e-06
 4.550000e+03   1.237929e-02   5.025255e-06
 4.650000e+03   1.184798e-02   4.718000e-06
 4.750000e+03   1.134595e-02   3.446150e-06
 4.850000e+03   1.087841e-02   3.207668e-06
 4.950000e+03   1.043963e-02   3.869550e-06
 5.050000e+03   1.003161e-02   3.436189e-06
 5.150000e+03   9.638349e-03   4.516008e-06
 5.250000e+03   9.282342e-03   6.919986e-06
 5.350000e+03   8.921573e-03   5.719930e-06
 5.450000e+03   8.599771e-03   5.150401e-06
 5.550000e+03   8.290090e-03   3.680489e-06
 5.650000e+03   7.995327e-03   5.283629e-06
 5.750000e+03   7.717477e-03   5.696109e-06
 5.850000e+03   7.450878e-03   4.238434e-06
 5.950000e+03   7.200878e-03   1.851467e-06
