Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.604102e-05   1.415460e-06
 9.500000e+02   2.884831e-01   2.681880e-05
 1.050000e+03   2.359484e-01   1.030207e-05
 1.150000e+03   1.965645e-01   1.520761e-05
 1.250000e+03   1.662409e-01   1.458636e-05
 1.350000e+03   1.424823e-01   1.388812e-05
 1.450000e+03   1.233986e-01   9.132912e-06
 1.550000e+03   1.079587e-01   9.919090e-06
 1.650000e+03   9.521254e-02   6.501325e-06
 1.750000e+03   8.460899e-02   7.030411e-06
 1.850000e+03   7.566601e-02   7.181738e-06
 1.950000e+03   6.807081e-02   1.192836e-05
 2.050000e+03   6.156160e-02   9.234051e-06
 2.150000e+03   5.596383e-02   1.342719e-05
 2.250000e+03   5.106490e-02   5.709711e-06
 2.350000e+03   4.678248e-02   1.010183e-05
 2.450000e+03   4.304833e-02   8.895183e-06
 2.550000e+03   3.971509e-02   9.321407e-06
 2.650000e+03   3.675529e-02   9.332207e-06
 2.750000e+03   3.410900e-02   5.881197e-06
 2.850000e+03   3.175987e-02   9.508075e-06
 2.950000e+03   2.962866e-02   1.038487e-05
 3.050000e+03   2.770304e-02   7.832272e-06
 3.150000e+03   2.595103e-02   1.092577e-05
 3.250000e+03   2.438544e-02   5.016905e-06
 3.350000e+03   2.293581e-02   4.840074e-06
 3.450000e+03   2.160887e-02   1.036082e-05
 3.550000e+03   2.041719e-02   6.507456e-06
 3.650000e+03   1.930067e-02   6.585108e-06
 3.750000e+03   1.827801e-02   7.052950e-06
 3.850000e+03   1.733524e-02   6.881201e-06
 3.950000e+03   1.646351e-02   5.064759e-06
 4.050000e+03   1.564831e-02   5.202241e-06
 4.150000e+03   1.489555e-02   5.272571e-06
 4.250000e+03   1.420669e-02   4.564995e-06
 4.350000e+03   1.353688e-02   8.306738e-06
 4.450000e+03   1.297024e-02   1.144506e-05
 4.550000e+03   1.237677e-02   6.151464e-06
 4.650000e+03   1.183697e-02   7.369029e-06
 4.750000e+03   1.135107e-02   4.453867e-06
 4.850000e+03   1.087648e-02   3.931652e-06
 4.950000e+03   1.044836e-02   5.366644e-06
 5.050000e+03   1.002549e-02   6.627013e-06
 5.150000e+03   9.647194e-03   5.044693e-06
 5.250000e+03   9.261666e-03   3.938620e-06
 5.350000e+03   8.926221e-03   4.490420e-06
 5.450000e+03   8.600046e-03   8.735339e-06
 5.550000e+03   8.293899e-03   8.551437e-06
 5.650000e+03   7.994755e-03   5.870434e-06
 5.750000e+03   7.708853e-03   3.571552e-06
 5.850000e+03   7.452706e-03   4.426697e-06
 5.950000e+03   7.200833e-03   5.933744e-06
