Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.577781e-05   3.686776e-07
 9.500000e+02   2.885141e-01   9.378171e-06
 1.050000e+03   2.359685e-01   5.221463e-06
 1.150000e+03   1.965599e-01   5.319302e-06
 1.250000e+03   1.662525e-01   5.415772e-06
 1.350000e+03   1.424572e-01   5.974812e-06
 1.450000e+03   1.234108e-01   6.400547e-06
 1.550000e+03   1.079495e-01   4.362201e-06
 1.650000e+03   9.520607e-02   2.605286e-06
 1.750000e+03   8.460130e-02   5.155253e-06
 1.850000e+03   7.566844e-02   5.831807e-06
 1.950000e+03   6.807591e-02   6.634900e-06
 2.050000e+03   6.156976e-02   5.506087e-06
 2.150000e+03   5.595319e-02   5.059947e-06
 2.250000e+03   5.106920e-02   5.393236e-06
 2.350000e+03   4.679251e-02   3.501813e-06
 2.450000e+03   4.303064e-02   4.282254e-06
 2.550000e+03   3.970777e-02   4.626210e-06
 2.650000e+03   3.675857e-02   3.658106e-06
 2.750000e+03   3.411586e-02   3.528650e-06
 2.850000e+03   3.174543e-02   4.901876e-06
 2.950000e+03   2.963220e-02   3.789322e-06
 3.050000e+03   2.770413e-02   2.762912e-06
 3.150000e+03   2.595930e-02   2.761121e-06
 3.250000e+03   2.437392e-02   3.976455e-06
 3.350000e+03   2.293400e-02   4.111935e-06
 3.450000e+03   2.161872e-02   3.475966e-06
 3.550000e+03   2.041067e-02   5.045412e-06
 3.650000e+03   1.929721e-02   3.776693e-06
 3.750000e+03   1.827728e-02   3.423760e-06
 3.850000e+03   1.733742e-02   1.896818e-06
 3.950000e+03   1.646031e-02   3.173809e-06
 4.050000e+03   1.565502e-02   3.819527e-06
 4.150000e+03   1.490145e-02   2.788599e-06
 4.250000e+03   1.420228e-02   2.090880e-06
 4.350000e+03   1.354709e-02   2.597954e-06
 4.450000e+03   1.294891e-02   2.851704e-06
 4.550000e+03   1.237180e-02   2.702594e-06
 4.650000e+03   1.185066e-02   2.745203e-06
 4.750000e+03   1.134487e-02   3.116576e-06
 4.850000e+03   1.087938e-02   3.304547e-06
 4.950000e+03   1.044543e-02   2.830868e-06
 5.050000e+03   1.003148e-02   1.920433e-06
 5.150000e+03   9.635784e-03   2.742549e-06
 5.250000e+03   9.267818e-03   1.460793e-06
 5.350000e+03   8.925531e-03   3.253728e-06
 5.450000e+03   8.601166e-03   3.256402e-06
 5.550000e+03   8.283406e-03   2.941621e-06
 5.650000e+03   7.998441e-03   3.044730e-06
 5.750000e+03   7.716729e-03   2.249380e-06
 5.850000e+03   7.452057e-03   2.326429e-06
 5.950000e+03   7.195519e-03   2.684425e-06
