Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   3.163793e-03   5.881878e-07
 1.100989e+03   2.158663e-01   4.743404e-07
 1.300987e+03   1.541183e-01   5.773120e-07
 1.500985e+03   1.155281e-01   6.270940e-07
 1.700983e+03   8.980103e-02   5.838281e-07
 1.900981e+03   7.179712e-02   4.463324e-07
 2.100979e+03   5.870605e-02   4.146690e-07
 2.300977e+03   4.888938e-02   4.514633e-07
 2.500975e+03   4.133966e-02   4.519641e-07
 2.700973e+03   3.541042e-02   3.984620e-07
 2.900971e+03   3.066784e-02   3.514513e-07
 3.100969e+03   2.681481e-02   3.834354e-07
 3.300967e+03   2.364425e-02   3.602034e-07
 3.500965e+03   2.100279e-02   3.962860e-07
 3.700963e+03   1.877797e-02   4.051190e-07
 3.900961e+03   1.688812e-02   3.414407e-07
 4.100959e+03   1.526924e-02   2.945120e-07
 4.300957e+03   1.387061e-02   3.953874e-07
 4.500955e+03   1.265606e-02   2.983192e-07
 4.700953e+03   1.159261e-02   2.835478e-07
 4.900951e+03   1.065727e-02   3.847935e-07
 5.100949e+03   9.830662e-03   3.358947e-07
 5.300947e+03   9.095577e-03   2.873572e-07
 5.500945e+03   8.440072e-03   3.313164e-07
 5.700943e+03   7.852366e-03   2.397390e-07
 5.900941e+03   7.323440e-03   2.578675e-07
 6.100939e+03   6.845591e-03   2.751038e-07
 6.300937e+03   6.413724e-03   2.055236e-07
 6.500935e+03   6.020507e-03   1.787409e-07
 6.700933e+03   5.661295e-03   3.794055e-07
 6.900931e+03   5.334760e-03   3.430721e-07
 7.100929e+03   5.034599e-03   2.273075e-07
 7.300927e+03   4.759096e-03   2.588687e-07
 7.500925e+03   4.505399e-03   3.382040e-07
 7.700923e+03   4.271653e-03   3.057085e-07
 7.900921e+03   4.054228e-03   2.715767e-07
 8.100919e+03   3.853938e-03   2.615093e-07
 8.300917e+03   3.667847e-03   2.089310e-07
 8.500915e+03   3.494315e-03   2.172034e-07
 8.700913e+03   3.333636e-03   1.972967e-07
 8.900911e+03   3.182620e-03   2.327397e-07
 9.100909e+03   3.042442e-03   1.664470e-07
 9.300907e+03   2.910765e-03   1.747016e-07
 9.500905e+03   2.787427e-03   2.338728e-07
 9.700903e+03   2.671769e-03   2.377272e-07
 9.900901e+03   2.562148e-03   2.696801e-07
 1.010090e+04   2.460926e-03   2.187575e-07
 1.030090e+04   2.364097e-03   2.018417e-07
 1.050090e+04   2.273227e-03   2.011303e-07
 1.070089e+04   2.187547e-03   2.052265e-07
 1.090089e+04   2.106794e-03   2.141428e-07
 1.110089e+04   2.029681e-03   1.600549e-07
 1.130089e+04   1.957189e-03   1.483854e-07
 1.150089e+04   1.888190e-03   2.054174e-07
 1.170088e+04   1.823094e-03   1.960617e-07
 1.190088e+04   1.760738e-03   1.912570e-07
 1.210088e+04   1.701832e-03   1.914450e-07
 1.230088e+04   1.645602e-03   2.551916e-07
 1.250088e+04   1.592275e-03   2.259025e-07
 1.270087e+04   1.541347e-03   1.820470e-07
 1.290087e+04   1.493074e-03   2.182774e-07
 1.310087e+04   1.446420e-03   1.280892e-07
 1.330087e+04   1.402428e-03   1.717778e-07
 1.350086e+04   1.360309e-03   1.853438e-07
 1.370086e+04   1.319798e-03   1.373961e-07
 1.390086e+04   1.281010e-03   1.734813e-07
 1.410086e+04   1.244163e-03   1.658028e-07
 1.430086e+04   1.208550e-03   1.407823e-07
 1.450085e+04   1.174897e-03   1.329832e-07
 1.470085e+04   1.142055e-03   1.103276e-07
 1.490085e+04   1.111040e-03   1.548712e-07
 1.510085e+04   1.080791e-03   2.295319e-07
 1.530085e+04   1.051712e-03   1.994861e-07
 1.550084e+04   1.024358e-03   1.800114e-07
 1.570084e+04   9.974781e-04   1.637967e-07
 1.590084e+04   9.719705e-04   1.435350e-07
 1.610084e+04   9.472491e-04   1.804897e-07
 1.630084e+04   9.236567e-04   1.671840e-07
 1.650083e+04   9.004239e-04   1.638371e-07
 1.670083e+04   8.785373e-04   9.933938e-08
 1.690083e+04   8.572629e-04   1.569452e-07
 1.710083e+04   8.369102e-04   1.590235e-07
 1.730083e+04   8.167792e-04   1.572878e-07
 1.750083e+04   7.976309e-04   1.364233e-07
 1.770082e+04   7.793022e-04   1.208807e-07
 1.790082e+04   7.612639e-04   1.430655e-07
 1.810082e+04   7.440790e-04   1.147410e-07
 1.830082e+04   7.273621e-04   1.235367e-07
 1.850081e+04   7.112504e-04   1.192226e-07
 1.870081e+04   6.956564e-04   1.195665e-07
 1.890081e+04   6.804924e-04   1.193254e-07
 1.910081e+04   6.657468e-04   1.089032e-07
 1.930081e+04   6.515054e-04   9.842841e-08
 1.950081e+04   6.379776e-04   1.117774e-07
 1.970080e+04   6.243166e-04   8.357793e-08
 1.990080e+04   6.115028e-04   9.876573e-08
 2.010080e+04   5.989019e-04   1.169672e-07
 2.030080e+04   5.868278e-04   8.845270e-08
 2.050079e+04   5.749558e-04   7.177930e-08
 2.070079e+04   5.634888e-04   8.274672e-08
 2.090079e+04   5.523467e-04   9.733117e-08
 2.110079e+04   5.414798e-04   1.077863e-07
 2.130079e+04   5.310796e-04   1.068665e-07
 2.150078e+04   5.208561e-04   1.142737e-07
 2.170078e+04   5.108635e-04   9.586307e-08
 2.190078e+04   5.012085e-04   9.137271e-08
 2.210078e+04   4.920885e-04   9.685291e-08
 2.230078e+04   4.828257e-04   8.394822e-08
 2.250078e+04   4.738944e-04   8.276525e-08
 2.270077e+04   4.650048e-04   8.234289e-08
 2.290077e+04   4.569439e-04   8.386013e-08
 2.310077e+04   4.483762e-04   7.447903e-08
 2.330077e+04   4.406473e-04   7.251030e-08
 2.350076e+04   4.327585e-04   7.478354e-08
 2.370076e+04   4.253301e-04   7.223103e-08
 2.390076e+04   4.177850e-04   6.770161e-08
 2.410076e+04   4.104984e-04   7.417316e-08
 2.430076e+04   4.036647e-04   8.518961e-08
 2.450076e+04   3.966637e-04   9.010879e-08
 2.470075e+04   3.902383e-04   9.679318e-08
 2.490075e+04   3.835578e-04   7.604374e-08
 2.510075e+04   3.771012e-04   7.929203e-08
 2.530075e+04   3.711301e-04   5.684367e-08
 2.550074e+04   3.648710e-04   7.655553e-08
 2.570074e+04   3.590272e-04   7.559067e-08
 2.590074e+04   3.532343e-04   7.433110e-08
 2.610074e+04   3.474688e-04   7.539154e-08
 2.630074e+04   3.420688e-04   7.372628e-08
 2.650074e+04   3.366352e-04   6.242511e-08
 2.670073e+04   3.314240e-04   7.410242e-08
 2.690073e+04   3.263281e-04   5.967631e-08
 2.710073e+04   3.210820e-04   7.069542e-08
 2.730073e+04   3.164087e-04   8.080557e-08
 2.750072e+04   3.114307e-04   5.952810e-08
 2.770072e+04   3.067140e-04   6.027754e-08
 2.790072e+04   3.023016e-04   4.368304e-08
 2.810072e+04   2.977194e-04   5.096601e-08
 2.830072e+04   2.932292e-04   4.900292e-08
 2.850072e+04   2.889853e-04   5.276450e-08
 2.870071e+04   2.847664e-04   5.260196e-08
 2.890071e+04   2.806219e-04   5.524538e-08
 2.910071e+04   2.766218e-04   5.419728e-08
 2.930071e+04   2.725887e-04   5.215230e-08
 2.950071e+04   2.688052e-04   4.505154e-08
 2.970070e+04   2.648419e-04   5.057754e-08
 2.990070e+04   2.612151e-04   4.304233e-08
 3.010070e+04   2.575797e-04   5.187471e-08
 3.030070e+04   2.540291e-04   4.983367e-08
 3.050069e+04   2.504264e-04   4.231564e-08
 3.070069e+04   2.471222e-04   4.865748e-08
 3.090069e+04   2.436931e-04   3.141980e-08
 3.110069e+04   2.404480e-04   4.558504e-08
 3.130069e+04   2.371774e-04   4.421546e-08
 3.150069e+04   2.340000e-04   5.025498e-08
 3.170068e+04   2.308940e-04   3.731592e-08
 3.190068e+04   2.278123e-04   3.877747e-08
 3.210068e+04   2.249062e-04   4.035202e-08
 3.230068e+04   2.218688e-04   3.994762e-08
 3.250067e+04   2.190017e-04   3.868747e-08
 3.270067e+04   2.162287e-04   3.213731e-08
 3.290067e+04   2.134517e-04   3.524319e-08
 3.310067e+04   2.107150e-04   2.966363e-08
 3.330067e+04   2.080064e-04   2.958713e-08
 3.350067e+04   2.054226e-04   2.980589e-08
 3.370066e+04   2.028262e-04   3.155374e-08
 3.390066e+04   2.002604e-04   3.332595e-08
 3.410066e+04   1.978794e-04   2.693934e-08
 3.430066e+04   1.953895e-04   2.552608e-08
 3.450065e+04   1.929780e-04   3.235104e-08
