Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.284110e-03   1.050432e-06
 1.100989e+03   2.158679e-01   9.145228e-07
 1.300987e+03   1.541174e-01   9.519768e-07
 1.500985e+03   1.155273e-01   6.385230e-07
 1.700983e+03   8.980256e-02   6.271489e-07
 1.900981e+03   7.179766e-02   6.559427e-07
 2.100979e+03   5.870526e-02   5.702528e-07
 2.300977e+03   4.888966e-02   6.745392e-07
 2.500975e+03   4.134094e-02   8.967740e-07
 2.700973e+03   3.540914e-02   6.784145e-07
 2.900971e+03   3.066750e-02   5.515872e-07
 3.100969e+03   2.681569e-02   5.444791e-07
 3.300967e+03   2.364447e-02   6.774994e-07
 3.500965e+03   2.100247e-02   5.716359e-07
 3.700963e+03   1.877764e-02   3.873023e-07
 3.900961e+03   1.688778e-02   5.450638e-07
 4.100959e+03   1.526913e-02   4.746100e-07
 4.300957e+03   1.387143e-02   4.489529e-07
 4.500955e+03   1.265597e-02   2.885529e-07
 4.700953e+03   1.159298e-02   3.091221e-07
 4.900951e+03   1.065697e-02   4.644867e-07
 5.100949e+03   9.831197e-03   3.983415e-07
 5.300947e+03   9.096400e-03   3.402998e-07
 5.500945e+03   8.439910e-03   4.397222e-07
 5.700943e+03   7.852239e-03   3.992845e-07
 5.900941e+03   7.323492e-03   4.960350e-07
 6.100939e+03   6.846082e-03   3.617489e-07
 6.300937e+03   6.413703e-03   4.263867e-07
 6.500935e+03   6.020041e-03   2.966099e-07
 6.700933e+03   5.663199e-03   3.904192e-07
 6.900931e+03   5.333764e-03   4.434018e-07
 7.100929e+03   5.034563e-03   4.829078e-07
 7.300927e+03   4.759404e-03   4.388038e-07
 7.500925e+03   4.505862e-03   4.352484e-07
 7.700923e+03   4.270693e-03   3.863791e-07
 7.900921e+03   4.055109e-03   3.061204e-07
 8.100919e+03   3.853526e-03   3.468273e-07
 8.300917e+03   3.667849e-03   2.173054e-07
 8.500915e+03   3.494941e-03   3.598834e-07
 8.700913e+03   3.332613e-03   4.170136e-07
 8.900911e+03   3.182979e-03   2.912096e-07
 9.100909e+03   3.042828e-03   2.626278e-07
 9.300907e+03   2.910608e-03   3.919685e-07
 9.500905e+03   2.787382e-03   3.873234e-07
 9.700903e+03   2.671327e-03   2.829964e-07
 9.900901e+03   2.563117e-03   3.290087e-07
 1.010090e+04   2.460963e-03   4.155308e-07
 1.030090e+04   2.364473e-03   2.581763e-07
 1.050090e+04   2.273027e-03   3.313579e-07
 1.070089e+04   2.187637e-03   2.983072e-07
 1.090089e+04   2.106583e-03   2.405670e-07
 1.110089e+04   2.030579e-03   4.736972e-07
 1.130089e+04   1.955746e-03   6.263355e-07
 1.150089e+04   1.888967e-03   4.676265e-07
 1.170088e+04   1.822638e-03   4.108814e-07
 1.190088e+04   1.761277e-03   5.366259e-07
 1.210088e+04   1.701923e-03   3.371880e-07
 1.230088e+04   1.645282e-03   3.922569e-07
 1.250088e+04   1.592437e-03   2.806731e-07
 1.270087e+04   1.541638e-03   2.861907e-07
 1.290087e+04   1.492630e-03   3.065592e-07
 1.310087e+04   1.446370e-03   3.611777e-07
 1.330087e+04   1.402083e-03   2.496911e-07
 1.350086e+04   1.360392e-03   2.598551e-07
 1.370086e+04   1.319565e-03   2.654926e-07
 1.390086e+04   1.281087e-03   2.464213e-07
 1.410086e+04   1.244258e-03   3.507250e-07
 1.430086e+04   1.208769e-03   2.187109e-07
 1.450085e+04   1.174923e-03   2.299354e-07
 1.470085e+04   1.142297e-03   3.082397e-07
 1.490085e+04   1.110508e-03   2.235951e-07
 1.510085e+04   1.080572e-03   2.879081e-07
 1.530085e+04   1.052016e-03   2.747715e-07
 1.550084e+04   1.024678e-03   2.857266e-07
 1.570084e+04   9.975637e-04   2.568909e-07
 1.590084e+04   9.720227e-04   1.761837e-07
 1.610084e+04   9.476004e-04   2.431742e-07
 1.630084e+04   9.231342e-04   2.393261e-07
 1.650083e+04   9.007693e-04   2.961148e-07
 1.670083e+04   8.783459e-04   2.041639e-07
 1.690083e+04   8.573076e-04   2.044489e-07
 1.710083e+04   8.365700e-04   2.060917e-07
 1.730083e+04   8.169524e-04   1.896706e-07
 1.750083e+04   7.977846e-04   1.549228e-07
 1.770082e+04   7.792594e-04   1.951297e-07
 1.790082e+04   7.611555e-04   2.568685e-07
 1.810082e+04   7.442102e-04   2.132302e-07
 1.830082e+04   7.270795e-04   1.559685e-07
 1.850081e+04   7.113565e-04   1.873083e-07
 1.870081e+04   6.954443e-04   1.914420e-07
 1.890081e+04   6.802294e-04   1.370721e-07
 1.910081e+04   6.658167e-04   1.522482e-07
 1.930081e+04   6.515682e-04   2.142110e-07
 1.950081e+04   6.376639e-04   2.529223e-07
 1.970080e+04   6.245822e-04   1.277487e-07
 1.990080e+04   6.112780e-04   2.308329e-07
 2.010080e+04   5.988787e-04   2.164762e-07
 2.030080e+04   5.868269e-04   1.757273e-07
 2.050079e+04   5.751571e-04   2.158816e-07
 2.070079e+04   5.632112e-04   1.952163e-07
 2.090079e+04   5.525633e-04   1.206062e-07
 2.110079e+04   5.413586e-04   1.396117e-07
 2.130079e+04   5.312640e-04   1.617336e-07
 2.150078e+04   5.205317e-04   1.914634e-07
 2.170078e+04   5.111000e-04   1.297529e-07
 2.190078e+04   5.012957e-04   1.350751e-07
 2.210078e+04   4.916856e-04   1.627259e-07
 2.230078e+04   4.828182e-04   1.420595e-07
 2.250078e+04   4.738437e-04   1.494271e-07
 2.270077e+04   4.651957e-04   1.085888e-07
 2.290077e+04   4.564150e-04   1.487072e-07
 2.310077e+04   4.487928e-04   1.304800e-07
 2.330077e+04   4.404354e-04   1.162639e-07
 2.350076e+04   4.328015e-04   1.220168e-07
 2.370076e+04   4.254187e-04   1.571289e-07
 2.390076e+04   4.177365e-04   1.211878e-07
 2.410076e+04   4.105487e-04   1.410193e-07
 2.430076e+04   4.038813e-04   1.739377e-07
 2.450076e+04   3.963760e-04   1.460911e-07
 2.470075e+04   3.902393e-04   1.398051e-07
 2.490075e+04   3.834883e-04   1.387120e-07
 2.510075e+04   3.770382e-04   1.013832e-07
 2.530075e+04   3.710917e-04   1.452772e-07
 2.550074e+04   3.647628e-04   1.681613e-07
 2.570074e+04   3.590665e-04   1.172813e-07
 2.590074e+04   3.530691e-04   1.156122e-07
 2.610074e+04   3.478344e-04   1.260672e-07
 2.630074e+04   3.420184e-04   8.256792e-08
 2.650074e+04   3.366109e-04   9.257212e-08
 2.670073e+04   3.312691e-04   7.543493e-08
 2.690073e+04   3.263732e-04   1.246004e-07
 2.710073e+04   3.211120e-04   1.039882e-07
 2.730073e+04   3.162610e-04   9.598989e-08
 2.750072e+04   3.115748e-04   8.485531e-08
 2.770072e+04   3.067775e-04   9.838675e-08
 2.790072e+04   3.023444e-04   9.935926e-08
 2.810072e+04   2.976419e-04   9.358193e-08
 2.830072e+04   2.934552e-04   9.973466e-08
 2.850072e+04   2.887354e-04   7.916464e-08
 2.870071e+04   2.849329e-04   9.089196e-08
 2.890071e+04   2.805548e-04   5.654052e-08
 2.910071e+04   2.766529e-04   1.032106e-07
 2.930071e+04   2.724847e-04   1.087323e-07
 2.950071e+04   2.686611e-04   1.063647e-07
 2.970070e+04   2.650011e-04   6.867527e-08
 2.990070e+04   2.611529e-04   6.036724e-08
 3.010070e+04   2.575995e-04   8.490419e-08
 3.030070e+04   2.539834e-04   8.590593e-08
 3.050069e+04   2.504807e-04   6.358567e-08
 3.070069e+04   2.470847e-04   6.912868e-08
 3.090069e+04   2.436351e-04   8.048922e-08
 3.110069e+04   2.403642e-04   9.291823e-08
 3.130069e+04   2.373844e-04   8.962633e-08
 3.150069e+04   2.340095e-04   5.642597e-08
 3.170068e+04   2.307527e-04   6.610963e-08
 3.190068e+04   2.279267e-04   7.279656e-08
 3.210068e+04   2.247972e-04   5.848317e-08
 3.230068e+04   2.219296e-04   5.310363e-08
 3.250067e+04   2.189772e-04   6.299956e-08
 3.270067e+04   2.163320e-04   7.702761e-08
 3.290067e+04   2.133855e-04   6.297040e-08
 3.310067e+04   2.107295e-04   5.997291e-08
 3.330067e+04   2.080119e-04   5.700229e-08
 3.350067e+04   2.054563e-04   5.298835e-08
 3.370066e+04   2.028196e-04   5.558373e-08
 3.390066e+04   2.002743e-04   4.938834e-08
 3.410066e+04   1.978710e-04   5.241907e-08
 3.430066e+04   1.953215e-04   5.308426e-08
 3.450065e+04   1.929264e-04   5.889450e-08
