Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.359592e-01   1.053507e-06
 1.150000e+03   1.965597e-01   1.034454e-06
 1.250000e+03   1.662541e-01   1.087112e-06
 1.350000e+03   1.424545e-01   1.004464e-06
 1.450000e+03   1.234139e-01   1.175796e-06
 1.550000e+03   1.079455e-01   1.117248e-06
 1.650000e+03   9.521074e-02   6.689941e-07
 1.750000e+03   8.460216e-02   8.026754e-07
 1.850000e+03   7.566807e-02   5.610943e-07
 1.950000e+03   6.807655e-02   9.560221e-07
 2.050000e+03   6.156975e-02   6.518354e-07
 2.150000e+03   5.595220e-02   7.581254e-07
 2.250000e+03   5.106739e-02   6.926040e-07
 2.350000e+03   4.679474e-02   7.280067e-07
 2.450000e+03   4.303560e-02   1.033397e-06
 2.550000e+03   3.971092e-02   6.215120e-07
 2.650000e+03   3.675589e-02   9.738708e-07
 2.750000e+03   3.411574e-02   5.577819e-07
 2.850000e+03   3.175261e-02   6.857287e-07
 2.950000e+03   2.962459e-02   4.807777e-07
 3.050000e+03   2.770301e-02   8.319727e-07
 3.150000e+03   2.596186e-02   8.143851e-07
 3.250000e+03   2.437859e-02   4.038727e-07
 3.350000e+03   2.293840e-02   6.133967e-07
 3.450000e+03   2.161798e-02   7.872337e-07
 3.550000e+03   2.040994e-02   5.577196e-07
 3.650000e+03   1.929798e-02   8.295956e-07
 3.750000e+03   1.827838e-02   6.015603e-07
 3.850000e+03   1.733254e-02   5.457821e-07
 3.950000e+03   1.646009e-02   7.835134e-07
 4.050000e+03   1.565141e-02   6.839565e-07
 4.150000e+03   1.490072e-02   6.028785e-07
 4.250000e+03   1.420282e-02   5.356979e-07
 4.350000e+03   1.355180e-02   7.397661e-07
 4.450000e+03   1.294461e-02   6.250390e-07
 4.550000e+03   1.237733e-02   6.803799e-07
 4.650000e+03   1.184724e-02   5.159879e-07
 4.750000e+03   1.134817e-02   6.242507e-07
 4.850000e+03   1.088210e-02   4.575591e-07
 4.950000e+03   1.044284e-02   6.043825e-07
 5.050000e+03   1.002845e-02   6.411149e-07
 5.150000e+03   9.639936e-03   5.538112e-07
 5.250000e+03   9.273157e-03   3.767676e-07
 5.350000e+03   8.925272e-03   1.100942e-06
 5.450000e+03   8.597691e-03   7.264403e-07
 5.550000e+03   8.288497e-03   6.519832e-07
 5.650000e+03   7.994265e-03   4.876134e-07
 5.750000e+03   7.715145e-03   5.322318e-07
 5.850000e+03   7.451588e-03   4.573294e-07
 5.950000e+03   7.199938e-03   6.314243e-07
