Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.359637e-01   2.940103e-05
 1.150000e+03   1.965493e-01   5.710506e-06
 1.250000e+03   1.662681e-01   9.690604e-06
 1.350000e+03   1.424560e-01   9.030522e-06
 1.450000e+03   1.233964e-01   7.414836e-06
 1.550000e+03   1.079640e-01   6.842157e-06
 1.650000e+03   9.520267e-02   7.195840e-06
 1.750000e+03   8.460610e-02   8.271408e-06
 1.850000e+03   7.566153e-02   6.706488e-06
 1.950000e+03   6.808116e-02   6.334411e-06
 2.050000e+03   6.156407e-02   4.814192e-06
 2.150000e+03   5.594946e-02   7.713171e-06
 2.250000e+03   5.107214e-02   6.891415e-06
 2.350000e+03   4.680114e-02   5.481134e-06
 2.450000e+03   4.303584e-02   4.531764e-06
 2.550000e+03   3.971924e-02   5.521303e-06
 2.650000e+03   3.674854e-02   6.369971e-06
 2.750000e+03   3.411136e-02   5.765061e-06
 2.850000e+03   3.175086e-02   6.169942e-06
 2.950000e+03   2.962697e-02   5.477259e-06
 3.050000e+03   2.769580e-02   6.072579e-06
 3.150000e+03   2.596453e-02   5.222895e-06
 3.250000e+03   2.438445e-02   6.143263e-06
 3.350000e+03   2.293059e-02   3.618831e-06
 3.450000e+03   2.162797e-02   5.315659e-06
 3.550000e+03   2.040000e-02   5.808787e-06
 3.650000e+03   1.930934e-02   5.089817e-06
 3.750000e+03   1.827301e-02   5.205450e-06
 3.850000e+03   1.732483e-02   5.013035e-06
 3.950000e+03   1.647130e-02   4.896103e-06
 4.050000e+03   1.564895e-02   5.074469e-06
 4.150000e+03   1.489992e-02   3.963455e-06
 4.250000e+03   1.419981e-02   3.908344e-06
 4.350000e+03   1.355374e-02   5.308881e-06
 4.450000e+03   1.294274e-02   5.381575e-06
 4.550000e+03   1.237674e-02   4.260509e-06
 4.650000e+03   1.184558e-02   3.559963e-06
 4.750000e+03   1.134969e-02   4.054010e-06
 4.850000e+03   1.088007e-02   6.246907e-06
 4.950000e+03   1.044725e-02   3.398384e-06
 5.050000e+03   1.002512e-02   3.458581e-06
 5.150000e+03   9.641022e-03   2.607337e-06
 5.250000e+03   9.268212e-03   3.337323e-06
 5.350000e+03   8.925353e-03   2.328758e-06
 5.450000e+03   8.601982e-03   3.045922e-06
 5.550000e+03   8.281237e-03   2.340990e-06
 5.650000e+03   7.999731e-03   3.033288e-06
 5.750000e+03   7.711961e-03   5.276530e-06
 5.850000e+03   7.452159e-03   3.894838e-06
 5.950000e+03   7.194070e-03   4.039719e-06
