Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.359709e-01   9.722699e-06
 1.150000e+03   1.965483e-01   7.889803e-06
 1.250000e+03   1.662554e-01   5.842796e-06
 1.350000e+03   1.424705e-01   6.923777e-06
 1.450000e+03   1.234007e-01   4.744930e-06
 1.550000e+03   1.079585e-01   3.921848e-06
 1.650000e+03   9.521350e-02   6.783096e-06
 1.750000e+03   8.459742e-02   5.014355e-06
 1.850000e+03   7.567239e-02   6.805141e-06
 1.950000e+03   6.806737e-02   7.160838e-06
 2.050000e+03   6.156095e-02   5.186888e-06
 2.150000e+03   5.596186e-02   6.628628e-06
 2.250000e+03   5.107249e-02   5.027850e-06
 2.350000e+03   4.678415e-02   5.616819e-06
 2.450000e+03   4.303666e-02   3.413724e-06
 2.550000e+03   3.971183e-02   5.420072e-06
 2.650000e+03   3.674844e-02   5.882004e-06
 2.750000e+03   3.411806e-02   5.029998e-06
 2.850000e+03   3.175038e-02   4.051728e-06
 2.950000e+03   2.962811e-02   5.058071e-06
 3.050000e+03   2.769622e-02   3.661942e-06
 3.150000e+03   2.596850e-02   4.678327e-06
 3.250000e+03   2.437620e-02   3.300164e-06
 3.350000e+03   2.293996e-02   4.533280e-06
 3.450000e+03   2.161566e-02   4.132225e-06
 3.550000e+03   2.041346e-02   3.685972e-06
 3.650000e+03   1.930305e-02   3.975729e-06
 3.750000e+03   1.827168e-02   5.110100e-06
 3.850000e+03   1.733688e-02   5.110906e-06
 3.950000e+03   1.645384e-02   4.634478e-06
 4.050000e+03   1.564554e-02   2.667870e-06
 4.150000e+03   1.490508e-02   2.833238e-06
 4.250000e+03   1.420027e-02   2.702305e-06
 4.350000e+03   1.354908e-02   3.459186e-06
 4.450000e+03   1.294296e-02   3.619148e-06
 4.550000e+03   1.238223e-02   2.524110e-06
 4.650000e+03   1.184573e-02   4.579559e-06
 4.750000e+03   1.134464e-02   2.626149e-06
 4.850000e+03   1.088249e-02   3.283316e-06
 4.950000e+03   1.044416e-02   3.800706e-06
 5.050000e+03   1.002757e-02   2.394044e-06
 5.150000e+03   9.639122e-03   3.652159e-06
 5.250000e+03   9.272264e-03   4.689430e-06
 5.350000e+03   8.929163e-03   3.546879e-06
 5.450000e+03   8.597011e-03   2.917604e-06
 5.550000e+03   8.284308e-03   3.214246e-06
 5.650000e+03   7.988976e-03   1.442809e-06
 5.750000e+03   7.715834e-03   1.976105e-06
 5.850000e+03   7.452296e-03   4.426671e-06
 5.950000e+03   7.199495e-03   3.004427e-06
