Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   0.000000e+00   0.000000e+00
 1.100989e+03   0.000000e+00   0.000000e+00
 1.300987e+03   0.000000e+00   0.000000e+00
 1.500985e+03   0.000000e+00   0.000000e+00
 1.700983e+03   0.000000e+00   0.000000e+00
 1.900981e+03   0.000000e+00   0.000000e+00
 2.100979e+03   0.000000e+00   0.000000e+00
 2.300977e+03   0.000000e+00   0.000000e+00
 2.500975e+03   0.000000e+00   0.000000e+00
 2.700973e+03   0.000000e+00   0.000000e+00
 2.900971e+03   0.000000e+00   0.000000e+00
 3.100969e+03   0.000000e+00   0.000000e+00
 3.300967e+03   0.000000e+00   0.000000e+00
 3.500965e+03   0.000000e+00   0.000000e+00
 3.700963e+03   0.000000e+00   0.000000e+00
 3.900961e+03   0.000000e+00   0.000000e+00
 4.100959e+03   0.000000e+00   0.000000e+00
 4.300957e+03   0.000000e+00   0.000000e+00
 4.500955e+03   0.000000e+00   0.000000e+00
 4.700953e+03   0.000000e+00   0.000000e+00
 4.900951e+03   0.000000e+00   0.000000e+00
 5.100949e+03   0.000000e+00   0.000000e+00
 5.300947e+03   0.000000e+00   0.000000e+00
 5.500945e+03   0.000000e+00   0.000000e+00
 5.700943e+03   0.000000e+00   0.000000e+00
 5.900941e+03   0.000000e+00   0.000000e+00
 6.100939e+03   0.000000e+00   0.000000e+00
 6.300937e+03   0.000000e+00   0.000000e+00
 6.500935e+03   0.000000e+00   0.000000e+00
 6.700933e+03   0.000000e+00   0.000000e+00
 6.900931e+03   0.000000e+00   0.000000e+00
 7.100929e+03   0.000000e+00   0.000000e+00
 7.300927e+03   0.000000e+00   0.000000e+00
 7.500925e+03   0.000000e+00   0.000000e+00
 7.700923e+03   0.000000e+00   0.000000e+00
 7.900921e+03   0.000000e+00   0.000000e+00
 8.100919e+03   0.000000e+00   0.000000e+00
 8.300917e+03   0.000000e+00   0.000000e+00
 8.500915e+03   0.000000e+00   0.000000e+00
 8.700913e+03   0.000000e+00   0.000000e+00
 8.900911e+03   0.000000e+00   0.000000e+00
 9.100909e+03   0.000000e+00   0.000000e+00
 9.300907e+03   0.000000e+00   0.000000e+00
 9.500905e+03   0.000000e+00   0.000000e+00
 9.700903e+03   0.000000e+00   0.000000e+00
 9.900901e+03   0.000000e+00   0.000000e+00
 1.010090e+04   0.000000e+00   0.000000e+00
 1.030090e+04   0.000000e+00   0.000000e+00
 1.050090e+04   0.000000e+00   0.000000e+00
 1.070089e+04   0.000000e+00   0.000000e+00
 1.090089e+04   0.000000e+00   0.000000e+00
 1.110089e+04   0.000000e+00   0.000000e+00
 1.130089e+04   0.000000e+00   0.000000e+00
 1.150089e+04   0.000000e+00   0.000000e+00
 1.170088e+04   0.000000e+00   0.000000e+00
 1.190088e+04   0.000000e+00   0.000000e+00
 1.210088e+04   0.000000e+00   0.000000e+00
 1.230088e+04   0.000000e+00   0.000000e+00
 1.250088e+04   0.000000e+00   0.000000e+00
 1.270087e+04   0.000000e+00   0.000000e+00
 1.290087e+04   0.000000e+00   0.000000e+00
 1.310087e+04   0.000000e+00   0.000000e+00
 1.330087e+04   0.000000e+00   0.000000e+00
 1.350086e+04   0.000000e+00   0.000000e+00
 1.370086e+04   0.000000e+00   0.000000e+00
 1.390086e+04   0.000000e+00   0.000000e+00
 1.410086e+04   0.000000e+00   0.000000e+00
 1.430086e+04   1.172067e-05   4.673590e-08
 1.450085e+04   1.174664e-03   1.239283e-07
 1.470085e+04   1.142246e-03   8.654944e-08
 1.490085e+04   1.110895e-03   5.739932e-08
 1.510085e+04   1.080802e-03   6.387034e-08
 1.530085e+04   1.052043e-03   6.036892e-08
 1.550084e+04   1.024303e-03   2.045398e-08
 1.570084e+04   9.975951e-04   3.172514e-08
 1.590084e+04   9.719451e-04   3.932831e-08
 1.610084e+04   9.473290e-04   4.085408e-08
 1.630084e+04   9.234795e-04   5.658261e-08
 1.650083e+04   9.005501e-04   4.656192e-08
 1.670083e+04   8.785991e-04   5.495027e-08
 1.690083e+04   8.571458e-04   3.887699e-08
 1.710083e+04   8.366685e-04   6.466554e-08
 1.730083e+04   8.168265e-04   7.034613e-08
 1.750083e+04   7.977160e-04   2.382552e-08
 1.770082e+04   7.790972e-04   4.772783e-08
 1.790082e+04   7.612827e-04   4.808056e-08
 1.810082e+04   7.441507e-04   8.067175e-08
 1.830082e+04   7.273835e-04   7.296311e-08
 1.850081e+04   7.112539e-04   6.470407e-08
 1.870081e+04   6.954716e-04   7.745850e-08
 1.890081e+04   6.803812e-04   4.146147e-08
 1.910081e+04   6.657162e-04   5.890925e-08
 1.930081e+04   6.514746e-04   5.658645e-08
 1.950081e+04   6.377696e-04   4.513696e-08
 1.970080e+04   6.245793e-04   7.615106e-08
 1.990080e+04   6.114403e-04   4.891178e-08
 2.010080e+04   5.989587e-04   4.884868e-08
 2.030080e+04   5.868696e-04   2.925988e-08
 2.050079e+04   5.750477e-04   3.791301e-08
 2.070079e+04   5.634694e-04   4.226514e-08
 2.090079e+04   5.523257e-04   5.304877e-08
 2.110079e+04   5.414972e-04   5.988012e-08
 2.130079e+04   5.311065e-04   5.952415e-08
 2.150078e+04   5.208324e-04   5.250641e-08
 2.170078e+04   5.108779e-04   5.611065e-08
 2.190078e+04   5.012817e-04   4.228362e-08
 2.210078e+04   4.919185e-04   4.554089e-08
 2.230078e+04   4.827123e-04   4.738352e-08
 2.250078e+04   4.738666e-04   5.020939e-08
 2.270077e+04   4.652177e-04   4.599703e-08
 2.290077e+04   4.567642e-04   4.025562e-08
 2.310077e+04   4.486352e-04   6.473403e-08
 2.330077e+04   4.404564e-04   6.278285e-08
 2.350076e+04   4.328324e-04   4.640714e-08
 2.370076e+04   4.251997e-04   4.239958e-08
 2.390076e+04   4.178698e-04   3.582152e-08
 2.410076e+04   4.106120e-04   3.479154e-08
 2.430076e+04   4.035500e-04   4.349986e-08
 2.450076e+04   3.967714e-04   4.736174e-08
 2.470075e+04   3.901017e-04   5.103843e-08
 2.490075e+04   3.835293e-04   3.329411e-08
 2.510075e+04   3.771316e-04   3.481965e-08
 2.530075e+04   3.709631e-04   4.512462e-08
 2.550074e+04   3.649369e-04   4.529635e-08
 2.570074e+04   3.589404e-04   5.287551e-08
 2.590074e+04   3.532952e-04   5.628368e-08
 2.610074e+04   3.475888e-04   5.998417e-08
 2.630074e+04   3.420507e-04   4.786302e-08
 2.650074e+04   3.365926e-04   5.192057e-08
 2.670073e+04   3.314859e-04   4.807311e-08
 2.690073e+04   3.262853e-04   4.121091e-08
 2.710073e+04   3.212465e-04   2.914824e-08
 2.730073e+04   3.162497e-04   2.696126e-08
 2.750072e+04   3.115059e-04   5.403491e-08
 2.770072e+04   3.067678e-04   7.923343e-08
 2.790072e+04   3.021636e-04   4.846991e-08
 2.810072e+04   2.976246e-04   4.459478e-08
 2.830072e+04   2.933308e-04   3.825010e-08
 2.850072e+04   2.890130e-04   2.275684e-08
 2.870071e+04   2.847180e-04   3.910963e-08
 2.890071e+04   2.806121e-04   3.844899e-08
 2.910071e+04   2.765511e-04   3.147595e-08
 2.930071e+04   2.725931e-04   2.922747e-08
 2.950071e+04   2.687776e-04   4.124249e-08
 2.970070e+04   2.649283e-04   5.669265e-08
 2.990070e+04   2.611749e-04   4.645112e-08
 3.010070e+04   2.576073e-04   3.871296e-08
 3.030070e+04   2.539639e-04   4.492420e-08
 3.050069e+04   2.505510e-04   3.037099e-08
 3.070069e+04   2.470949e-04   1.779597e-08
 3.090069e+04   2.436905e-04   3.100197e-08
 3.110069e+04   2.404195e-04   4.578482e-08
 3.130069e+04   2.370834e-04   4.955299e-08
 3.150069e+04   2.340015e-04   3.164724e-08
 3.170068e+04   2.309719e-04   3.117429e-08
 3.190068e+04   2.278157e-04   3.678470e-08
 3.210068e+04   2.248156e-04   3.934221e-08
 3.230068e+04   2.218965e-04   3.498518e-08
 3.250067e+04   2.190106e-04   2.241968e-08
 3.270067e+04   2.162227e-04   3.423061e-08
 3.290067e+04   2.134387e-04   4.158069e-08
 3.310067e+04   2.107214e-04   2.201894e-08
 3.330067e+04   2.080101e-04   2.486187e-08
 3.350067e+04   2.054317e-04   2.982244e-08
 3.370066e+04   2.028272e-04   3.196964e-08
 3.390066e+04   2.003185e-04   2.332809e-08
 3.410066e+04   1.978285e-04   2.310493e-08
 3.430066e+04   1.953777e-04   1.868476e-08
 3.450065e+04   1.929581e-04   1.915145e-08
