Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 8.232500e+02   5.751271e-02   2.246022e-06
 1.069750e+03   2.298483e-01   2.580956e-06
 1.316250e+03   1.509960e-01   3.102876e-06
 1.562750e+03   1.067397e-01   2.687542e-06
 1.809250e+03   7.943915e-02   1.751522e-06
 2.055750e+03   6.140989e-02   2.177983e-06
 2.302250e+03   4.888510e-02   1.928496e-06
 2.548750e+03   3.982414e-02   2.247278e-06
 2.795250e+03   3.307083e-02   2.024060e-06
 3.041750e+03   2.789254e-02   1.934429e-06
 3.288250e+03   2.384115e-02   1.539884e-06
 3.534750e+03   2.060719e-02   1.031524e-06
 3.781250e+03   1.799199e-02   1.496701e-06
 4.027750e+03   1.583928e-02   1.017135e-06
 4.274250e+03   1.405107e-02   1.424685e-06
 4.520750e+03   1.254494e-02   1.372495e-06
 4.767250e+03   1.127319e-02   8.891832e-07
 5.013750e+03   1.018136e-02   1.372892e-06
 5.260250e+03   9.240207e-03   1.173200e-06
 5.506750e+03   8.424931e-03   1.011776e-06
 5.753250e+03   7.708680e-03   8.547041e-07
 5.999750e+03   7.082679e-03   1.020083e-06
 6.246250e+03   6.528888e-03   1.044474e-06
 6.492750e+03   6.035500e-03   6.705345e-07
 6.739250e+03   5.598747e-03   1.123547e-06
 6.985750e+03   5.203041e-03   1.076686e-06
 7.232250e+03   4.852791e-03   1.154084e-06
 7.478750e+03   4.533114e-03   1.106108e-06
 7.725250e+03   4.245286e-03   6.428713e-07
 7.971750e+03   3.983294e-03   1.055910e-06
 8.218250e+03   3.742827e-03   8.985670e-07
 8.464750e+03   3.525719e-03   6.180528e-07
 8.711250e+03   3.323736e-03   9.254884e-07
 8.957750e+03   3.143927e-03   8.225282e-07
 9.204250e+03   2.974019e-03   7.472400e-07
 9.450750e+03   2.816468e-03   7.975935e-07
 9.697250e+03   2.673587e-03   9.914775e-07
 9.943750e+03   2.542866e-03   1.072199e-06
 1.019025e+04   2.413729e-03   9.516353e-07
 1.043675e+04   2.303905e-03   8.136027e-07
 1.068325e+04   2.194437e-03   9.185210e-07
 1.092975e+04   2.096383e-03   1.106134e-06
 1.117625e+04   1.999117e-03   8.702252e-07
 1.142275e+04   1.916033e-03   5.521097e-07
 1.166925e+04   1.833386e-03   6.264013e-07
 1.191575e+04   1.756630e-03   6.526092e-07
 1.216225e+04   1.683711e-03   7.268584e-07
 1.240875e+04   1.616286e-03   6.720026e-07
 1.265525e+04   1.553332e-03   4.841507e-07
 1.290175e+04   1.493429e-03   6.094063e-07
 1.314825e+04   1.435971e-03   5.890728e-07
 1.339475e+04   1.383133e-03   4.805444e-07
 1.364125e+04   1.332795e-03   7.276869e-07
 1.388775e+04   1.282970e-03   8.645652e-07
 1.413425e+04   1.238526e-03   7.344479e-07
 1.438075e+04   1.195370e-03   6.455898e-07
 1.462725e+04   1.154460e-03   6.522392e-07
 1.487375e+04   1.115025e-03   4.430546e-07
 1.512025e+04   1.078057e-03   5.856201e-07
 1.536675e+04   1.042627e-03   5.497703e-07
 1.561325e+04   1.007529e-03   7.800999e-07
 1.585975e+04   9.775152e-04   6.959570e-07
 1.610625e+04   9.475009e-04   6.008355e-07
 1.635275e+04   9.169401e-04   6.726962e-07
 1.659925e+04   8.890461e-04   7.255074e-07
 1.684575e+04   8.636648e-04   7.045822e-07
 1.709225e+04   8.379519e-04   5.947403e-07
 1.733875e+04   8.130344e-04   6.904308e-07
 1.758525e+04   7.893590e-04   5.532518e-07
 1.783175e+04   7.676196e-04   6.655062e-07
 1.807825e+04   7.444685e-04   4.914245e-07
 1.832475e+04   7.250895e-04   5.127010e-07
 1.857125e+04   7.060138e-04   5.597228e-07
 1.881775e+04   6.855105e-04   7.845404e-07
 1.906425e+04   6.671757e-04   6.051457e-07
 1.931075e+04   6.509039e-04   6.572738e-07
 1.955725e+04   6.342179e-04   7.073529e-07
 1.980375e+04   6.181368e-04   6.781367e-07
 2.005025e+04   6.024842e-04   6.649278e-07
 2.029675e+04   5.872775e-04   5.177226e-07
 2.054325e+04   5.737231e-04   5.542636e-07
 2.078975e+04   5.577847e-04   5.705858e-07
 2.103625e+04   5.448785e-04   6.313663e-07
 2.128275e+04   5.324162e-04   3.588678e-07
 2.152925e+04   5.196449e-04   3.931390e-07
 2.177575e+04   5.067227e-04   3.515881e-07
 2.202225e+04   4.954285e-04   5.254153e-07
 2.226875e+04   4.850576e-04   4.713976e-07
 2.251525e+04   4.731290e-04   5.166566e-07
 2.276175e+04   4.634200e-04   5.819680e-07
 2.300825e+04   4.515919e-04   4.876595e-07
 2.325475e+04   4.426956e-04   4.531897e-07
 2.350125e+04   4.327781e-04   4.712082e-07
 2.374775e+04   4.234093e-04   3.236383e-07
 2.399425e+04   4.148809e-04   3.716387e-07
 2.424075e+04   4.053969e-04   3.607817e-07
 2.448725e+04   3.971897e-04   4.332035e-07
 2.473375e+04   3.893999e-04   3.843037e-07
 2.498025e+04   3.806642e-04   3.980355e-07
 2.522675e+04   3.733419e-04   3.679324e-07
 2.547325e+04   3.659125e-04   4.249243e-07
 2.571975e+04   3.586935e-04   3.994333e-07
 2.596625e+04   3.507494e-04   3.686802e-07
 2.621275e+04   3.446885e-04   4.540479e-07
 2.645925e+04   3.376246e-04   4.709737e-07
 2.670575e+04   3.312898e-04   3.860066e-07
 2.695225e+04   3.254740e-04   4.470572e-07
 2.719875e+04   3.187972e-04   3.126417e-07
 2.744525e+04   3.127496e-04   2.471290e-07
 2.769175e+04   3.069213e-04   3.126354e-07
 2.793825e+04   3.016362e-04   2.800414e-07
 2.818475e+04   2.958361e-04   2.682078e-07
 2.843125e+04   2.905090e-04   2.841400e-07
 2.867775e+04   2.858302e-04   2.388691e-07
 2.892425e+04   2.801746e-04   2.704799e-07
 2.917075e+04   2.748145e-04   2.150558e-07
 2.941725e+04   2.704192e-04   2.073569e-07
 2.966375e+04   2.655594e-04   2.097605e-07
 2.991025e+04   2.612712e-04   1.720591e-07
 3.015675e+04   2.566658e-04   1.340915e-07
 3.040325e+04   2.517642e-04   2.400363e-07
 3.064975e+04   2.482583e-04   2.220275e-07
 3.089625e+04   2.437329e-04   2.697744e-07
 3.114275e+04   2.394794e-04   2.169088e-07
 3.138925e+04   2.356099e-04   2.050544e-07
 3.163575e+04   2.323319e-04   1.776338e-07
 3.188225e+04   2.278607e-04   1.548805e-07
 3.212875e+04   2.244042e-04   2.073917e-07
 3.237525e+04   2.209358e-04   1.795274e-07
 3.262175e+04   2.173783e-04   1.873773e-07
 3.286825e+04   2.138785e-04   1.284548e-07
 3.311475e+04   2.103915e-04   1.438564e-07
 3.336125e+04   2.072316e-04   1.278265e-07
 3.360775e+04   2.040049e-04   1.076104e-07
 3.385425e+04   2.008444e-04   1.773087e-07
 3.410075e+04   1.979999e-04   1.201123e-07
 3.434725e+04   1.946658e-04   1.096927e-07
 3.459375e+04   1.919326e-04   1.163708e-07
 3.484025e+04   1.890173e-04   1.132987e-07
 3.508675e+04   1.862985e-04   8.171761e-08
 3.533325e+04   1.834497e-04   8.404931e-08
 3.557975e+04   1.804855e-04   1.664814e-07
 3.582625e+04   1.782937e-04   1.615796e-07
 3.607275e+04   1.757366e-04   1.243846e-07
 3.631925e+04   1.730240e-04   1.358512e-07
 3.656575e+04   1.704051e-04   1.124026e-07
 3.681225e+04   1.681599e-04   4.536775e-08
 3.705875e+04   1.657511e-04   1.179454e-07
 3.730525e+04   1.634367e-04   5.856883e-08
 3.755175e+04   1.613235e-04   9.102674e-08
 3.779825e+04   1.587845e-04   8.100817e-08
 3.804475e+04   1.566200e-04   3.755561e-08
 3.829125e+04   1.545778e-04   5.838306e-08
 3.853775e+04   1.524624e-04   5.104907e-08
 3.878425e+04   1.493561e-04   1.058402e-06
 3.903075e+04   1.491963e-04   1.415356e-06
 3.927725e+04   1.456305e-04   1.248611e-06
 3.952375e+04   1.386080e-04   4.335725e-06
 3.977025e+04   1.362041e-04   4.102809e-06
 4.001675e+04   4.990726e-05   2.632960e-06
 4.026325e+04   0.000000e+00   0.000000e+00
 4.050975e+04   0.000000e+00   0.000000e+00
 4.075625e+04   0.000000e+00   0.000000e+00
 4.100275e+04   0.000000e+00   0.000000e+00
 4.124925e+04   0.000000e+00   0.000000e+00
 4.149575e+04   0.000000e+00   0.000000e+00
 4.174225e+04   0.000000e+00   0.000000e+00
 4.198875e+04   0.000000e+00   0.000000e+00
 4.223525e+04   0.000000e+00   0.000000e+00
 4.248175e+04   0.000000e+00   0.000000e+00
 4.272825e+04   0.000000e+00   0.000000e+00
 4.297475e+04   0.000000e+00   0.000000e+00
 4.322125e+04   0.000000e+00   0.000000e+00
 4.346775e+04   0.000000e+00   0.000000e+00
 4.371425e+04   0.000000e+00   0.000000e+00
 4.396075e+04   0.000000e+00   0.000000e+00
 4.420725e+04   0.000000e+00   0.000000e+00
 4.445375e+04   0.000000e+00   0.000000e+00
 4.470025e+04   0.000000e+00   0.000000e+00
 4.494675e+04   0.000000e+00   0.000000e+00
 4.519325e+04   0.000000e+00   0.000000e+00
 4.543975e+04   0.000000e+00   0.000000e+00
 4.568625e+04   0.000000e+00   0.000000e+00
 4.593275e+04   0.000000e+00   0.000000e+00
 4.617925e+04   0.000000e+00   0.000000e+00
 4.642575e+04   0.000000e+00   0.000000e+00
 4.667225e+04   0.000000e+00   0.000000e+00
 4.691875e+04   0.000000e+00   0.000000e+00
 4.716525e+04   0.000000e+00   0.000000e+00
 4.741175e+04   0.000000e+00   0.000000e+00
 4.765825e+04   0.000000e+00   0.000000e+00
 4.790475e+04   0.000000e+00   0.000000e+00
 4.815125e+04   0.000000e+00   0.000000e+00
 4.839775e+04   0.000000e+00   0.000000e+00
 4.864425e+04   0.000000e+00   0.000000e+00
 4.889075e+04   0.000000e+00   0.000000e+00
 4.913725e+04   0.000000e+00   0.000000e+00
 4.938375e+04   0.000000e+00   0.000000e+00
 4.963025e+04   0.000000e+00   0.000000e+00
 4.987675e+04   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
