Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.686062e-05   5.357676e-07
 9.500000e+02   2.885101e-01   1.024398e-05
 1.050000e+03   2.359531e-01   9.983233e-06
 1.150000e+03   1.965546e-01   7.634103e-06
 1.250000e+03   1.662525e-01   5.647370e-06
 1.350000e+03   1.424576e-01   8.570034e-06
 1.450000e+03   1.233980e-01   7.634781e-06
 1.550000e+03   1.079630e-01   7.972843e-06
 1.650000e+03   9.520680e-02   5.984925e-06
 1.750000e+03   8.459780e-02   5.694432e-06
 1.850000e+03   7.565696e-02   8.274390e-06
 1.950000e+03   6.807442e-02   6.604173e-06
 2.050000e+03   6.156460e-02   9.300559e-06
 2.150000e+03   5.594631e-02   7.887842e-06
 2.250000e+03   5.106926e-02   8.510792e-06
 2.350000e+03   4.678391e-02   7.302705e-06
 2.450000e+03   4.303216e-02   3.278977e-06
 2.550000e+03   3.971360e-02   5.081574e-06
 2.650000e+03   3.675936e-02   6.118534e-06
 2.750000e+03   3.412056e-02   6.344243e-06
 2.850000e+03   3.175812e-02   4.672823e-06
 2.950000e+03   2.962046e-02   6.550308e-06
 3.050000e+03   2.770503e-02   4.874718e-06
 3.150000e+03   2.596138e-02   4.200649e-06
 3.250000e+03   2.437634e-02   3.567531e-06
 3.350000e+03   2.293382e-02   4.442743e-06
 3.450000e+03   2.161676e-02   5.155972e-06
 3.550000e+03   2.040719e-02   6.238224e-06
 3.650000e+03   1.929523e-02   4.562738e-06
 3.750000e+03   1.827127e-02   3.292039e-06
 3.850000e+03   1.733468e-02   5.360555e-06
 3.950000e+03   1.645474e-02   4.488172e-06
 4.050000e+03   1.566185e-02   7.573839e-06
 4.150000e+03   1.489299e-02   4.092900e-06
 4.250000e+03   1.420218e-02   4.457346e-06
 4.350000e+03   1.355288e-02   4.369693e-06
 4.450000e+03   1.295664e-02   3.584345e-06
 4.550000e+03   1.236748e-02   4.843962e-06
 4.650000e+03   1.184639e-02   4.917946e-06
 4.750000e+03   1.135357e-02   3.848398e-06
 4.850000e+03   1.088122e-02   3.774981e-06
 4.950000e+03   1.044995e-02   4.307548e-06
 5.050000e+03   1.002425e-02   4.329190e-06
 5.150000e+03   9.639100e-03   3.340461e-06
 5.250000e+03   9.282191e-03   5.730900e-06
 5.350000e+03   8.919900e-03   4.662696e-06
 5.450000e+03   8.599060e-03   4.414546e-06
 5.550000e+03   8.292395e-03   3.278859e-06
 5.650000e+03   7.993933e-03   3.630022e-06
 5.750000e+03   7.714712e-03   3.175986e-06
 5.850000e+03   7.457023e-03   3.286613e-06
 5.950000e+03   7.196237e-03   3.696526e-06
