costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   2.185185e+06   2.898778e+05
 9.999980e-01   2.579532e+06   3.581405e+05
 9.999980e-01   2.415170e+06   3.064438e+05
 9.999980e-01   2.390573e+06   3.595743e+05
 9.999980e-01   2.520843e+06   2.582773e+05
 9.999980e-01   2.651533e+06   4.239829e+05
 9.999980e-01   2.324818e+06   3.455052e+05
 9.999980e-01   2.296556e+06   3.787363e+05
 9.999980e-01   2.620840e+06   2.617016e+05
 9.999980e-01   2.223532e+06   2.962308e+05
 9.999980e-01   2.138326e+06   2.875954e+05
 9.999980e-01   2.187068e+06   2.910533e+05
 9.999980e-01   2.150011e+06   2.582111e+05
 9.999980e-01   2.461408e+06   3.407878e+05
 9.999980e-01   2.705703e+06   1.337029e+05
 9.999980e-01   2.607236e+06   3.340090e+05
 9.999980e-01   2.377649e+06   2.370839e+05
 9.999980e-01   2.497036e+06   3.555973e+05
 9.999980e-01   2.940993e+06   2.065885e+04
 9.999980e-01   2.953226e+06   2.809341e+04
 9.999980e-01   3.000131e+06   6.467016e+04
 9.999980e-01   2.953808e+06   1.013056e+04
 9.999980e-01   2.916958e+06   1.446700e+04
 9.999980e-01   2.973953e+06   6.745628e+03
 9.999980e-01   2.968671e+06   1.821927e+04
 9.999981e-01   2.981027e+06   9.482831e+03
 9.999981e-01   2.977166e+06   9.244227e+03
 9.999981e-01   3.012244e+06   1.410223e+04
 9.999981e-01   2.979669e+06   7.201925e+03
 9.999981e-01   2.977515e+06   9.565845e+03
 9.999981e-01   3.022935e+06   1.505165e+04
 9.999981e-01   3.010714e+06   9.840947e+03
 9.999981e-01   3.053878e+06   2.162266e+04
 9.999981e-01   3.016328e+06   1.577190e+04
 9.999981e-01   3.016708e+06   8.611918e+03
 9.999981e-01   3.041847e+06   1.084499e+04
 9.999981e-01   3.058766e+06   9.394250e+03
 9.999981e-01   3.060133e+06   1.819098e+04
 9.999981e-01   3.054927e+06   1.936081e+04
 9.999981e-01   3.059143e+06   2.414140e+04
 9.999981e-01   3.090001e+06   1.893863e+04
 9.999981e-01   3.079426e+06   9.282739e+03
 9.999981e-01   3.076385e+06   9.257856e+03
 9.999981e-01   3.100910e+06   7.887828e+03
 9.999981e-01   3.103362e+06   1.260723e+04
 9.999981e-01   3.111115e+06   1.084735e+04
 9.999981e-01   3.114400e+06   1.429895e+04
 9.999981e-01   3.123816e+06   1.845826e+04
 9.999981e-01   3.137966e+06   1.170214e+04
 9.999981e-01   3.148867e+06   1.034694e+04
 9.999981e-01   3.134805e+06   8.884193e+03
 9.999981e-01   3.149793e+06   1.268016e+04
 9.999981e-01   3.157112e+06   9.729957e+03
 9.999981e-01   3.175434e+06   1.597295e+04
 9.999981e-01   3.162695e+06   2.364642e+04
 9.999981e-01   3.188592e+06   1.860460e+04
 9.999981e-01   3.175353e+06   1.853759e+04
 9.999981e-01   3.193234e+06   1.051188e+04
 9.999981e-01   3.196748e+06   9.943058e+03
 9.999981e-01   3.210794e+06   1.369863e+04
 9.999981e-01   3.227565e+06   9.374280e+03
 9.999981e-01   3.223605e+06   1.154030e+04
 9.999981e-01   3.205322e+06   1.921490e+04
 9.999981e-01   3.259753e+06   1.370189e+04
 9.999981e-01   3.249424e+06   8.785908e+03
 9.999981e-01   3.285685e+06   1.793411e+04
 9.999981e-01   3.231068e+06   1.247486e+04
 9.999981e-01   3.281857e+06   1.281765e+04
