costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   2.630548e+06   1.052396e+05
 9.999980e-01   2.796079e+06   6.516994e+04
 9.999980e-01   2.634790e+06   1.085982e+05
 9.999980e-01   2.696057e+06   8.616842e+04
 9.999980e-01   2.706933e+06   7.629920e+04
 9.999980e-01   2.784534e+06   4.238441e+04
 9.999980e-01   2.823357e+06   2.034330e+04
 9.999980e-01   2.819268e+06   3.913534e+04
 9.999980e-01   2.908188e+06   3.266553e+04
 9.999980e-01   2.873170e+06   1.990835e+04
 9.999980e-01   2.877818e+06   5.952525e+03
 9.999980e-01   2.899806e+06   5.151413e+03
 9.999980e-01   2.885218e+06   4.622792e+03
 9.999980e-01   2.890118e+06   5.313982e+03
 9.999980e-01   2.918083e+06   9.521970e+03
 9.999980e-01   2.910192e+06   7.007542e+03
 9.999980e-01   2.899193e+06   1.484166e+04
 9.999980e-01   2.929139e+06   9.774353e+03
 9.999980e-01   2.923360e+06   9.532916e+03
 9.999980e-01   2.929163e+06   1.035551e+04
 9.999980e-01   2.963434e+06   1.340718e+04
 9.999980e-01   2.940326e+06   1.102355e+04
 9.999980e-01   2.955623e+06   9.582662e+03
 9.999980e-01   2.971987e+06   4.505815e+03
 9.999980e-01   2.958583e+06   8.797189e+03
 9.999981e-01   2.968882e+06   9.013162e+03
 9.999981e-01   2.978857e+06   9.960887e+03
 9.999981e-01   2.996094e+06   9.517079e+03
 9.999981e-01   2.992042e+06   8.066407e+03
 9.999981e-01   3.010243e+06   5.855253e+03
 9.999981e-01   3.006717e+06   1.471093e+04
 9.999981e-01   3.000743e+06   1.374644e+04
 9.999981e-01   3.035523e+06   1.180805e+04
 9.999981e-01   3.030362e+06   9.257193e+03
 9.999981e-01   3.002170e+06   1.096899e+04
 9.999981e-01   3.050968e+06   7.537849e+03
 9.999981e-01   3.062031e+06   8.920851e+03
 9.999981e-01   3.045111e+06   1.487140e+04
 9.999981e-01   3.057577e+06   1.247290e+04
 9.999981e-01   3.066052e+06   9.048911e+03
 9.999981e-01   3.073279e+06   8.966140e+03
 9.999981e-01   3.083415e+06   1.026064e+04
 9.999981e-01   3.097159e+06   1.433588e+04
 9.999981e-01   3.107127e+06   1.009188e+04
 9.999981e-01   3.088361e+06   1.289018e+04
 9.999981e-01   3.104160e+06   1.370799e+04
 9.999981e-01   3.121742e+06   1.730300e+04
 9.999981e-01   3.110106e+06   1.764201e+04
 9.999981e-01   3.125022e+06   1.959346e+04
 9.999981e-01   3.142261e+06   1.878334e+04
 9.999981e-01   3.127887e+06   1.658015e+04
 9.999981e-01   3.171970e+06   8.867010e+03
 9.999981e-01   3.158039e+06   1.264848e+04
 9.999981e-01   3.181221e+06   1.466845e+04
 9.999981e-01   3.141339e+06   1.497622e+04
