costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   2.510291e+06   1.343045e+05
 9.999980e-01   2.571321e+06   1.381273e+05
 9.999980e-01   2.765216e+06   1.241587e+05
 9.999980e-01   2.806278e+06   1.175845e+05
 9.999980e-01   2.692462e+06   7.218676e+04
 9.999980e-01   2.652891e+06   1.500886e+05
 9.999980e-01   2.901639e+06   9.276549e+04
 9.999980e-01   2.517776e+06   1.647933e+05
 9.999980e-01   2.739639e+06   1.753775e+05
 9.999980e-01   2.989208e+06   1.113619e+05
 9.999981e-01   2.998296e+06   4.738064e+04
 9.999981e-01   2.994370e+06   7.927132e+03
 9.999981e-01   3.017033e+06   9.552188e+03
 9.999981e-01   3.024336e+06   5.428392e+03
 9.999981e-01   3.051127e+06   5.062960e+03
 9.999981e-01   3.068626e+06   3.725762e+03
 9.999981e-01   3.074170e+06   3.486706e+03
 9.999981e-01   3.100843e+06   3.391148e+03
 9.999981e-01   3.111078e+06   4.162465e+03
 9.999981e-01   3.137227e+06   3.490932e+03
 9.999981e-01   3.151957e+06   2.188411e+03
 9.999981e-01   3.169994e+06   4.463833e+03
 9.999981e-01   3.179480e+06   5.332172e+03
 9.999981e-01   3.213315e+06   4.234576e+03
 9.999981e-01   3.218278e+06   3.503797e+03
 9.999981e-01   3.248228e+06   5.407711e+03
 9.999981e-01   3.248989e+06   5.453587e+03
 9.999981e-01   3.281552e+06   4.438317e+03
 9.999981e-01   3.298156e+06   4.192011e+03
 9.999981e-01   3.314720e+06   4.448985e+03
 9.999982e-01   3.332492e+06   3.851480e+03
 9.999982e-01   3.360130e+06   4.061050e+03
 9.999982e-01   3.381951e+06   5.392895e+03
 9.999982e-01   3.378261e+06   7.486677e+03
 9.999982e-01   3.425436e+06   8.330243e+03
 9.999982e-01   3.430169e+06   4.350061e+03
 9.999982e-01   3.461427e+06   4.792537e+03
 9.999982e-01   3.463003e+06   4.723143e+03
 9.999982e-01   3.495283e+06   4.167322e+03
 9.999982e-01   3.509530e+06   8.455215e+03
 9.999982e-01   3.539761e+06   9.214470e+03
 9.999982e-01   3.556881e+06   4.319191e+03
 9.999982e-01   3.576532e+06   5.683984e+03
 9.999982e-01   3.594559e+06   5.419337e+03
 9.999982e-01   3.618392e+06   4.566334e+03
 9.999982e-01   3.642074e+06   4.299104e+03
