costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   2.461133e+06   2.238300e+05
 9.999980e-01   2.232149e+06   1.986524e+05
 9.999980e-01   2.333671e+06   2.001637e+05
 9.999980e-01   2.336657e+06   2.010929e+05
 9.999980e-01   2.146214e+06   2.263122e+05
 9.999980e-01   2.273062e+06   1.833708e+05
 9.999980e-01   2.397492e+06   1.671014e+05
 9.999980e-01   2.460911e+06   2.244705e+05
 9.999980e-01   2.452048e+06   1.776096e+05
 9.999980e-01   2.333987e+06   1.725073e+05
 9.999980e-01   2.533815e+06   1.906369e+05
 9.999980e-01   2.368824e+06   2.002780e+05
 9.999980e-01   2.654282e+06   1.652132e+05
 9.999980e-01   2.415312e+06   1.704327e+05
 9.999980e-01   2.359873e+06   1.853931e+05
 9.999980e-01   2.514271e+06   1.705879e+05
 9.999980e-01   2.707121e+06   2.281567e+05
 9.999980e-01   2.797627e+06   8.899785e+04
 9.999980e-01   2.864257e+06   5.039955e+04
 9.999980e-01   2.929199e+06   1.355507e+04
 9.999980e-01   2.942288e+06   9.553244e+03
 9.999980e-01   2.959338e+06   9.681861e+03
 9.999980e-01   2.952432e+06   4.035559e+03
 9.999980e-01   2.964199e+06   2.470466e+03
 9.999980e-01   2.957796e+06   9.084080e+03
 9.999981e-01   2.974218e+06   1.731586e+03
 9.999981e-01   2.981364e+06   4.050816e+03
 9.999981e-01   2.982516e+06   5.847377e+03
 9.999981e-01   2.989254e+06   7.699030e+03
 9.999981e-01   3.007519e+06   1.253220e+04
 9.999981e-01   3.013956e+06   7.717205e+03
 9.999981e-01   2.990142e+06   1.352153e+04
 9.999981e-01   3.014928e+06   6.060845e+03
 9.999981e-01   3.043328e+06   9.385327e+03
 9.999981e-01   3.023043e+06   1.000903e+04
 9.999981e-01   3.050444e+06   1.175962e+04
 9.999981e-01   3.069483e+06   1.136041e+04
 9.999981e-01   3.059200e+06   1.338606e+04
 9.999981e-01   3.055579e+06   1.732460e+04
 9.999981e-01   3.042389e+06   1.392973e+04
 9.999981e-01   3.077852e+06   8.105693e+03
 9.999981e-01   3.097287e+06   9.450444e+03
 9.999981e-01   3.091704e+06   8.200470e+03
 9.999981e-01   3.099175e+06   7.924759e+03
 9.999981e-01   3.080463e+06   1.343931e+04
 9.999981e-01   3.101353e+06   1.000086e+04
 9.999981e-01   3.118866e+06   1.072576e+04
 9.999981e-01   3.136287e+06   1.048664e+04
 9.999981e-01   3.128652e+06   7.593225e+03
 9.999981e-01   3.144057e+06   7.612077e+03
 9.999981e-01   3.147746e+06   6.983798e+03
 9.999981e-01   3.147213e+06   5.703832e+03
 9.999981e-01   3.162478e+06   7.256414e+03
 9.999981e-01   3.166080e+06   3.371043e+03
 9.999981e-01   3.180945e+06   6.154727e+03
 9.999981e-01   3.182989e+06   4.114228e+03
 9.999981e-01   3.181644e+06   6.613052e+03
 9.999981e-01   3.197227e+06   7.932884e+03
 9.999981e-01   3.189393e+06   8.020103e+03
 9.999981e-01   3.225424e+06   9.581100e+03
 9.999981e-01   3.199144e+06   7.788925e+03
 9.999981e-01   3.225596e+06   9.567588e+03
 9.999981e-01   3.250352e+06   6.311222e+03
 9.999981e-01   3.238959e+06   8.488323e+03
 9.999981e-01   3.258946e+06   5.942114e+03
 9.999981e-01   3.223835e+06   1.264943e+04
 9.999981e-01   3.279800e+06   1.073883e+04
 9.999981e-01   3.267583e+06   1.008149e+04
 9.999981e-01   3.277633e+06   6.219457e+03
 9.999981e-01   3.297429e+06   1.031780e+04
 9.999981e-01   3.272320e+06   1.179142e+04
 9.999981e-01   3.303409e+06   5.983752e+03
 9.999981e-01   3.300035e+06   7.748912e+03
 9.999981e-01   3.318157e+06   8.285051e+03
 9.999981e-01   3.322809e+06   1.067064e+04
 9.999982e-01   3.331953e+06   1.347542e+04
 9.999982e-01   3.325038e+06   8.893378e+03
 9.999982e-01   3.357155e+06   9.959596e+03
 9.999982e-01   3.331271e+06   8.053668e+03
 9.999982e-01   3.367582e+06   8.142421e+03
 9.999982e-01   3.359692e+06   1.202791e+04
 9.999982e-01   3.359659e+06   1.269896e+04
 9.999982e-01   3.367829e+06   1.135079e+04
 9.999982e-01   3.422084e+06   1.103771e+04
 9.999982e-01   3.418105e+06   1.011724e+04
 9.999982e-01   3.391424e+06   1.331246e+04
 9.999982e-01   3.407194e+06   1.190665e+04
 9.999982e-01   3.435576e+06   1.252144e+04
 9.999982e-01   3.427398e+06   9.860524e+03
 9.999982e-01   3.418265e+06   1.628891e+04
 9.999982e-01   3.469907e+06   1.269451e+04
 9.999982e-01   3.443630e+06   1.451185e+04
 9.999982e-01   3.453258e+06   1.269681e+04
 9.999982e-01   3.462291e+06   1.233095e+04
 9.999982e-01   3.469666e+06   1.229655e+04
 9.999982e-01   3.500759e+06   8.940519e+03
 9.999982e-01   3.496397e+06   9.024702e+03
 9.999982e-01   3.506429e+06   1.042301e+04
 9.999982e-01   3.515084e+06   1.068276e+04
 9.999982e-01   3.524771e+06   9.677107e+03
 9.999982e-01   3.510409e+06   1.178317e+04
 9.999982e-01   3.532230e+06   9.354218e+03
 9.999982e-01   3.545099e+06   8.128241e+03
 9.999982e-01   3.578989e+06   1.047995e+04
 9.999982e-01   3.543461e+06   9.848468e+03
 9.999982e-01   3.571128e+06   9.981414e+03
 9.999982e-01   3.591526e+06   1.215953e+04
 9.999982e-01   3.587232e+06   9.455574e+03
 9.999982e-01   3.591453e+06   1.028570e+04
 9.999982e-01   3.613419e+06   1.129611e+04
 9.999982e-01   3.614433e+06   1.188314e+04
 9.999982e-01   3.589480e+06   1.013170e+04
 9.999982e-01   3.638461e+06   1.147117e+04
 9.999982e-01   3.654467e+06   1.198020e+04
 9.999982e-01   3.642277e+06   1.344562e+04
 9.999982e-01   3.663509e+06   1.394567e+04
 9.999982e-01   3.655752e+06   1.495858e+04
 9.999982e-01   3.685155e+06   1.470055e+04
 9.999982e-01   3.663031e+06   1.284740e+04
 9.999982e-01   3.732383e+06   1.598725e+04
 9.999982e-01   3.685586e+06   1.391549e+04
 9.999982e-01   3.718989e+06   8.025422e+03
 9.999982e-01   3.728938e+06   1.416022e+04
 9.999982e-01   3.704314e+06   1.348708e+04
 9.999982e-01   3.751818e+06   1.704114e+04
 9.999983e-01   3.731780e+06   1.706612e+04
 9.999983e-01   3.768093e+06   1.658965e+04
 9.999983e-01   3.800412e+06   1.687871e+04
 9.999983e-01   3.766299e+06   1.406239e+04
 9.999983e-01   3.773701e+06   1.472045e+04
 9.999983e-01   3.754433e+06   1.293267e+04
 9.999983e-01   3.823304e+06   8.049948e+03
 9.999983e-01   3.793600e+06   1.064925e+04
 9.999983e-01   3.807648e+06   1.375453e+04
 9.999983e-01   3.814798e+06   1.397056e+04
 9.999983e-01   3.870648e+06   1.560567e+04
 9.999983e-01   3.862834e+06   1.160089e+04
 9.999983e-01   3.858799e+06   1.703100e+04
 9.999983e-01   3.847540e+06   8.845651e+03
 9.999983e-01   3.866314e+06   1.140195e+04
 9.999983e-01   3.893975e+06   1.316343e+04
 9.999983e-01   3.908068e+06   1.326893e+04
 9.999983e-01   3.899841e+06   1.103677e+04
 9.999983e-01   3.938111e+06   1.156785e+04
 9.999983e-01   3.908006e+06   1.421569e+04
 9.999983e-01   3.957164e+06   1.303142e+04
 9.999983e-01   3.931477e+06   1.329625e+04
 9.999983e-01   3.957789e+06   1.189769e+04
 9.999983e-01   3.969397e+06   1.213042e+04
 9.999983e-01   3.962467e+06   6.925922e+03
 9.999983e-01   3.986977e+06   1.743128e+04
 9.999983e-01   3.991039e+06   1.194271e+04
 9.999983e-01   4.003895e+06   1.128609e+04
 9.999983e-01   4.022507e+06   1.204054e+04
 9.999983e-01   4.019984e+06   1.346160e+04
 9.999983e-01   4.041530e+06   1.074610e+04
 9.999983e-01   4.027147e+06   1.234488e+04
 9.999983e-01   4.027818e+06   1.351484e+04
 9.999983e-01   4.069457e+06   1.419139e+04
 9.999983e-01   4.075549e+06   1.583832e+04
 9.999983e-01   4.102145e+06   1.593641e+04
 9.999983e-01   4.086994e+06   1.462043e+04
 9.999983e-01   4.086362e+06   1.126158e+04
 9.999983e-01   4.149191e+06   1.479795e+04
 9.999983e-01   4.126672e+06   1.803803e+04
 9.999983e-01   4.147956e+06   1.256388e+04
 9.999983e-01   4.127374e+06   1.541806e+04
 9.999983e-01   4.167639e+06   1.786256e+04
 9.999983e-01   4.151489e+06   1.306386e+04
 9.999983e-01   4.179501e+06   1.301001e+04
 9.999983e-01   4.169528e+06   1.499547e+04
 9.999983e-01   4.202661e+06   1.456621e+04
 9.999983e-01   4.234270e+06   2.211516e+04
 9.999983e-01   4.240314e+06   1.542919e+04
 9.999983e-01   4.225025e+06   1.496699e+04
 9.999984e-01   4.242508e+06   1.228053e+04
 9.999984e-01   4.246435e+06   1.367009e+04
 9.999984e-01   4.271254e+06   9.667081e+03
 9.999984e-01   4.280103e+06   1.406630e+04
 9.999984e-01   4.283605e+06   1.646591e+04
 9.999984e-01   4.310002e+06   1.912868e+04
 9.999984e-01   4.295066e+06   1.362683e+04
 9.999984e-01   4.361226e+06   1.441702e+04
 9.999984e-01   4.348353e+06   1.480958e+04
 9.999984e-01   4.341643e+06   1.449571e+04
 9.999984e-01   4.379318e+06   1.802919e+04
 9.999984e-01   4.374624e+06   1.202918e+04
 9.999984e-01   4.369629e+06   1.435008e+04
 9.999984e-01   4.382598e+06   1.455237e+04
 9.999984e-01   4.437966e+06   9.394532e+03
 9.999984e-01   4.428898e+06   1.395643e+04
 9.999984e-01   4.383694e+06   1.692281e+04
 9.999984e-01   4.445554e+06   1.870186e+04
 9.999984e-01   4.412225e+06   1.500419e+04
 9.999984e-01   4.499222e+06   2.110378e+04
 9.999984e-01   4.469533e+06   2.091930e+04
 9.999984e-01   4.476536e+06   1.438909e+04
 9.999984e-01   4.510266e+06   1.181601e+04
 9.999984e-01   4.533986e+06   1.564375e+04
 9.999984e-01   4.572015e+06   1.774893e+04
 9.999984e-01   4.511857e+06   1.741054e+04
 9.999984e-01   4.522993e+06   1.928449e+04
 9.999984e-01   4.534598e+06   1.636080e+04
 9.999984e-01   4.584682e+06   1.728960e+04
 9.999984e-01   4.600197e+06   1.759563e+04
 9.999984e-01   4.598242e+06   1.384976e+04
 9.999984e-01   4.583791e+06   1.740774e+04
 9.999984e-01   4.654562e+06   1.575000e+04
 9.999984e-01   4.648887e+06   1.504115e+04
 9.999984e-01   4.687866e+06   1.487192e+04
 9.999984e-01   4.624465e+06   1.840800e+04
 9.999984e-01   4.654785e+06   1.682168e+04
 9.999984e-01   4.686633e+06   1.549792e+04
 9.999984e-01   4.704911e+06   1.366758e+04
 9.999984e-01   4.685087e+06   1.414860e+04
 9.999984e-01   4.714208e+06   1.753765e+04
 9.999984e-01   4.745497e+06   1.681798e+04
 9.999984e-01   4.740514e+06   2.143646e+04
 9.999984e-01   4.725269e+06   2.206809e+04
 9.999984e-01   4.772309e+06   1.323083e+04
 9.999984e-01   4.813617e+06   2.085808e+04
 9.999984e-01   4.790897e+06   1.722600e+04
 9.999984e-01   4.803164e+06   2.300952e+04
 9.999984e-01   4.778509e+06   1.664648e+04
 9.999984e-01   4.872173e+06   1.872811e+04
 9.999985e-01   4.835707e+06   1.675161e+04
 9.999985e-01   4.880791e+06   1.694137e+04
 9.999985e-01   4.899828e+06   1.755569e+04
 9.999985e-01   4.905644e+06   2.382826e+04
 9.999985e-01   4.912333e+06   2.326251e+04
 9.999985e-01   4.902028e+06   1.803076e+04
 9.999985e-01   4.927406e+06   2.036437e+04
 9.999985e-01   4.945954e+06   2.006227e+04
 9.999985e-01   4.944728e+06   2.103333e+04
 9.999985e-01   4.971172e+06   2.075530e+04
 9.999985e-01   4.967452e+06   1.655740e+04
 9.999985e-01   4.958319e+06   1.785522e+04
