th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   0.000000e+00   0.000000e+00
 3.035500e-04   0.000000e+00   0.000000e+00
 3.069700e-04   0.000000e+00   0.000000e+00
 3.103900e-04   0.000000e+00   0.000000e+00
 3.138100e-04   0.000000e+00   0.000000e+00
 3.172300e-04   1.284478e+06   4.856605e+02
 3.206500e-04   1.574933e+06   1.031416e+02
 3.240700e-04   1.525083e+06   1.549979e+02
 3.274900e-04   1.477974e+06   5.842548e+01
 3.309100e-04   1.432309e+06   8.838518e+01
 3.343300e-04   1.388929e+06   1.199639e+02
 3.377500e-04   1.346933e+06   8.218948e+01
 3.411700e-04   1.306816e+06   1.181890e+02
 3.445900e-04   1.268264e+06   7.252449e+01
 3.480100e-04   1.230883e+06   1.307504e+02
 3.514300e-04   1.194938e+06   1.971155e+02
 3.548500e-04   1.160922e+06   1.435000e+02
 3.582700e-04   1.127833e+06   1.424071e+02
 3.616900e-04   1.096229e+06   1.750349e+02
 3.651100e-04   1.065494e+06   2.191530e+02
 3.685300e-04   1.035922e+06   1.775299e+02
 3.719500e-04   1.007733e+06   9.759779e+01
 3.753700e-04   9.802931e+05   1.786526e+02
 3.787900e-04   9.536271e+05   1.927279e+02
 3.822100e-04   9.283996e+05   1.019062e+02
 3.856300e-04   9.039183e+05   1.190086e+02
 3.890500e-04   8.799266e+05   1.181775e+02
 3.924700e-04   8.571436e+05   1.265317e+02
 3.958900e-04   8.349395e+05   9.369094e+01
 3.993100e-04   8.137014e+05   1.060602e+02
 4.027300e-04   7.931097e+05   2.174149e+02
 4.061500e-04   7.731940e+05   1.877418e+02
 4.095700e-04   7.537750e+05   1.443134e+02
 4.129900e-04   7.350660e+05   1.712193e+02
 4.164100e-04   7.172421e+05   1.820877e+02
 4.198300e-04   6.998078e+05   1.251197e+02
 4.232500e-04   6.826690e+05   9.740688e+01
 4.266700e-04   6.664462e+05   7.918257e+01
 4.300900e-04   6.506861e+05   1.162360e+02
 4.335100e-04   6.349594e+05   1.132578e+02
 4.369300e-04   6.205179e+05   8.693326e+01
 4.403500e-04   6.060439e+05   1.240277e+02
 4.437700e-04   5.920275e+05   1.050653e+02
 4.471900e-04   5.784396e+05   1.279470e+02
 4.506100e-04   5.653384e+05   1.786854e+02
 4.540300e-04   5.525800e+05   1.566861e+02
 4.574500e-04   5.399993e+05   1.208527e+02
