th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   0.000000e+00   0.000000e+00
 3.035500e-04   0.000000e+00   0.000000e+00
 3.069700e-04   0.000000e+00   0.000000e+00
 3.103900e-04   0.000000e+00   0.000000e+00
 3.138100e-04   0.000000e+00   0.000000e+00
 3.172300e-04   1.285270e+06   2.521966e+02
 3.206500e-04   1.574737e+06   1.066853e+02
 3.240700e-04   1.525440e+06   1.551023e+02
 3.274900e-04   1.477922e+06   1.631680e+02
 3.309100e-04   1.432504e+06   2.024462e+02
 3.343300e-04   1.388768e+06   1.552247e+02
 3.377500e-04   1.347181e+06   1.452134e+02
 3.411700e-04   1.306660e+06   1.862567e+02
 3.445900e-04   1.268280e+06   1.518173e+02
 3.480100e-04   1.230991e+06   1.970761e+02
 3.514300e-04   1.195306e+06   2.478274e+02
 3.548500e-04   1.160751e+06   2.036813e+02
 3.582700e-04   1.127988e+06   1.320468e+02
 3.616900e-04   1.096178e+06   1.298212e+02
 3.651100e-04   1.065396e+06   1.355076e+02
 3.685300e-04   1.036057e+06   1.545165e+02
 3.719500e-04   1.007503e+06   1.415163e+02
 3.753700e-04   9.800990e+05   1.840735e+02
 3.787900e-04   9.541665e+05   1.553084e+02
 3.822100e-04   9.279940e+05   1.177397e+02
 3.856300e-04   9.040116e+05   1.862259e+02
 3.890500e-04   8.795898e+05   1.489519e+02
 3.924700e-04   8.572432e+05   1.499423e+02
 3.958900e-04   8.350691e+05   1.658780e+02
 3.993100e-04   8.136721e+05   7.623243e+01
 4.027300e-04   7.928099e+05   1.326091e+02
 4.061500e-04   7.730267e+05   1.441559e+02
 4.095700e-04   7.540912e+05   1.360493e+02
 4.129900e-04   7.351278e+05   1.533655e+02
 4.164100e-04   7.173271e+05   1.705861e+02
 4.198300e-04   6.998169e+05   1.297289e+02
 4.232500e-04   6.826869e+05   1.519958e+02
 4.266700e-04   6.662785e+05   1.169046e+02
 4.300900e-04   6.506836e+05   1.231675e+02
 4.335100e-04   6.350711e+05   1.872342e+02
 4.369300e-04   6.204150e+05   1.228564e+02
 4.403500e-04   6.058952e+05   1.110744e+02
 4.437700e-04   5.922064e+05   1.204722e+02
 4.471900e-04   5.781604e+05   1.218089e+02
 4.506100e-04   5.653821e+05   1.392299e+02
 4.540300e-04   5.524251e+05   1.659451e+02
 4.574500e-04   5.403078e+05   1.624079e+02
