th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.348100e-03   3.694424e+03   8.959013e+01
 1.354300e-03   1.962090e+04   1.489441e+01
 1.360500e-03   1.927203e+04   3.555232e+01
 1.366700e-03   1.905681e+04   3.982764e+01
 1.372900e-03   1.878485e+04   3.146883e+01
 1.379100e-03   1.843768e+04   5.122855e+01
 1.385300e-03   1.831751e+04   6.630275e+01
 1.391500e-03   1.804661e+04   5.548974e+01
 1.397700e-03   1.772702e+04   3.535493e+01
 1.403900e-03   1.757528e+04   8.816538e+01
 1.410100e-03   1.721611e+04   8.992245e+01
 1.416300e-03   1.714422e+04   5.315070e+01
 1.422500e-03   1.669154e+04   6.433265e+01
 1.428700e-03   1.659378e+04   1.579350e+01
 1.434900e-03   1.636982e+04   8.524573e+01
 1.441100e-03   1.618114e+04   1.094827e+02
 1.447300e-03   1.581333e+04   1.016073e+02
 1.453500e-03   1.586785e+04   8.502013e+01
 1.459700e-03   1.542698e+04   7.551040e+01
 1.465900e-03   1.523148e+04   3.619326e+01
 1.472100e-03   1.503664e+04   6.983849e+01
 1.478300e-03   1.494665e+04   7.416989e+01
 1.484500e-03   1.468942e+04   8.673754e+01
 1.490700e-03   1.446989e+04   7.851088e+01
 1.496900e-03   1.429165e+04   3.729512e+01
 1.503100e-03   1.413927e+04   5.787741e+01
 1.509300e-03   1.393886e+04   3.599310e+01
 1.515500e-03   1.378239e+04   4.348932e+01
 1.521700e-03   1.361690e+04   1.751171e+01
 1.527900e-03   1.334962e+04   5.921485e+01
 1.534100e-03   1.325321e+04   5.807498e+01
 1.540300e-03   1.312243e+04   6.864804e+01
 1.546500e-03   1.292106e+04   3.101611e+01
 1.552700e-03   1.274103e+04   3.679131e+01
 1.558900e-03   1.250008e+04   5.706613e+01
 1.565100e-03   1.246166e+04   3.802069e+01
 1.571300e-03   1.225860e+04   1.498331e+01
 1.577500e-03   1.213801e+04   1.793005e+01
 1.583700e-03   1.196328e+04   9.733294e+00
 1.589900e-03   1.182085e+04   1.660648e+01
 1.596100e-03   1.165282e+04   1.140184e+01
 1.602300e-03   1.154014e+04   1.922703e+01
 1.608500e-03   1.138299e+04   9.116905e+00
 1.614700e-03   1.126551e+04   6.089120e+00
 1.620900e-03   1.119440e+04   1.394989e+03
 1.627100e-03   1.026341e+04   1.197840e+03
 1.633300e-03   1.802133e+04   7.306877e+03
 1.639500e-03   8.865877e+03   1.499033e+03
 1.645700e-03   8.097238e+03   1.384366e+03
 1.651900e-03   1.517480e+03   2.673255e+02
 inf   0.000000e+00   0.000000e+00
