th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 7.793500e-05   0.000000e+00   0.000000e+00
 9.380500e-05   0.000000e+00   0.000000e+00
 1.096750e-04   0.000000e+00   0.000000e+00
 1.255450e-04   0.000000e+00   0.000000e+00
 1.414150e-04   0.000000e+00   0.000000e+00
 1.572850e-04   0.000000e+00   0.000000e+00
 1.731550e-04   0.000000e+00   0.000000e+00
 1.890250e-04   0.000000e+00   0.000000e+00
 2.048950e-04   0.000000e+00   0.000000e+00
 2.207650e-04   0.000000e+00   0.000000e+00
 2.366350e-04   0.000000e+00   0.000000e+00
 2.525050e-04   0.000000e+00   0.000000e+00
 2.683750e-04   0.000000e+00   0.000000e+00
 2.842450e-04   0.000000e+00   0.000000e+00
 3.001150e-04   0.000000e+00   0.000000e+00
 3.159850e-04   7.911957e+05   8.499748e+00
 3.318550e-04   1.421745e+06   6.583067e+00
 3.477250e-04   1.235215e+06   8.209798e+00
 3.635950e-04   1.079887e+06   8.006969e+00
 3.794650e-04   9.495021e+05   7.828986e+00
 3.953350e-04   8.392304e+05   6.348745e+00
 4.112050e-04   7.453677e+05   4.364026e+00
 4.270750e-04   6.649764e+05   6.276157e+00
 4.429450e-04   5.956831e+05   7.235608e+00
 4.588150e-04   5.356884e+05   5.676807e+00
 4.746850e-04   4.834447e+05   6.326712e+00
 4.905550e-04   4.377677e+05   5.010036e+00
 5.064250e-04   3.976299e+05   4.217444e+00
 5.222950e-04   3.622577e+05   3.981712e+00
 5.381650e-04   3.309239e+05   5.661908e+00
 5.540350e-04   3.030981e+05   5.135275e+00
 5.699050e-04   2.782721e+05   5.715550e+00
 5.857750e-04   2.560918e+05   5.505598e+00
 6.016450e-04   2.361902e+05   3.949979e+00
 6.175150e-04   2.182782e+05   4.079764e+00
 6.333850e-04   2.021292e+05   3.268833e+00
 6.492550e-04   1.875299e+05   4.206307e+00
 6.651250e-04   1.742737e+05   4.952578e+00
 6.809950e-04   1.622414e+05   3.637248e+00
 6.968650e-04   1.512932e+05   4.894829e+00
 7.127350e-04   1.412922e+05   5.200696e+00
 7.286050e-04   1.321431e+05   3.069113e+00
 7.444750e-04   1.237600e+05   3.691601e+00
 7.603450e-04   1.160722e+05   4.069298e+00
 7.762150e-04   1.089959e+05   4.339328e+00
 7.920850e-04   1.024812e+05   3.403298e+00
 8.079550e-04   9.647111e+04   2.714712e+00
