th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   0.000000e+00   0.000000e+00
 3.035500e-04   0.000000e+00   0.000000e+00
 3.069700e-04   0.000000e+00   0.000000e+00
 3.103900e-04   0.000000e+00   0.000000e+00
 3.138100e-04   0.000000e+00   0.000000e+00
 3.172300e-04   1.285079e+06   1.282659e+02
 3.206500e-04   1.574885e+06   1.821500e+02
 3.240700e-04   1.525483e+06   2.317370e+02
 3.274900e-04   1.477873e+06   2.071059e+02
 3.309100e-04   1.432689e+06   1.541110e+02
 3.343300e-04   1.388138e+06   4.711330e+02
 3.377500e-04   1.347464e+06   3.688171e+02
 3.411700e-04   1.306735e+06   2.737420e+02
 3.445900e-04   1.268699e+06   3.605777e+02
 3.480100e-04   1.230350e+06   2.352881e+02
 3.514300e-04   1.195647e+06   3.187061e+02
 3.548500e-04   1.160841e+06   2.358008e+02
 3.582700e-04   1.127995e+06   1.659931e+02
 3.616900e-04   1.095693e+06   2.049224e+02
 3.651100e-04   1.065451e+06   2.372162e+02
 3.685300e-04   1.036099e+06   2.414761e+02
 3.719500e-04   1.007538e+06   5.085676e+02
 3.753700e-04   9.799002e+05   5.291964e+02
 3.787900e-04   9.538096e+05   2.768493e+02
 3.822100e-04   9.281351e+05   3.131730e+02
 3.856300e-04   9.040498e+05   4.075727e+02
 3.890500e-04   8.797915e+05   4.298058e+02
 3.924700e-04   8.574703e+05   3.558362e+02
 3.958900e-04   8.351310e+05   2.771759e+02
 3.993100e-04   8.134858e+05   2.543939e+02
 4.027300e-04   7.932767e+05   3.298394e+02
 4.061500e-04   7.728804e+05   3.313409e+02
 4.095700e-04   7.541850e+05   3.357675e+02
 4.129900e-04   7.348876e+05   1.892978e+02
 4.164100e-04   7.171037e+05   1.995152e+02
 4.198300e-04   6.994757e+05   1.667541e+02
 4.232500e-04   6.827509e+05   1.872793e+02
 4.266700e-04   6.664868e+05   2.021769e+02
 4.300900e-04   6.508421e+05   2.160886e+02
 4.335100e-04   6.343999e+05   3.327306e+02
 4.369300e-04   6.211858e+05   3.606009e+02
 4.403500e-04   6.059289e+05   2.473680e+02
 4.437700e-04   5.918484e+05   3.104343e+02
 4.471900e-04   5.787377e+05   2.489082e+02
 4.506100e-04   5.650678e+05   2.558316e+02
 4.540300e-04   5.523274e+05   2.056266e+02
 4.574500e-04   5.405713e+05   2.596231e+02
