th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.025264e+06   8.466815e+01
 3.035500e-04   1.856866e+06   1.476713e+02
 3.069700e-04   1.795522e+06   1.476637e+02
 3.103900e-04   1.736746e+06   1.186002e+02
 3.138100e-04   1.680116e+06   1.411437e+02
 3.172300e-04   1.626500e+06   1.211362e+02
 3.206500e-04   1.574585e+06   1.780245e+02
 3.240700e-04   1.525303e+06   1.483284e+02
 3.274900e-04   1.478186e+06   1.558880e+02
 3.309100e-04   1.432495e+06   1.318249e+02
 3.343300e-04   1.388733e+06   1.609733e+02
 3.377500e-04   1.346820e+06   2.172095e+02
 3.411700e-04   1.306684e+06   1.139061e+02
 3.445900e-04   1.268158e+06   1.636132e+02
 3.480100e-04   1.231131e+06   2.127326e+02
 3.514300e-04   1.195250e+06   1.345468e+02
 3.548500e-04   1.160950e+06   1.300026e+02
 3.582700e-04   1.127795e+06   1.629173e+02
 3.616900e-04   1.095917e+06   1.871869e+02
 3.651100e-04   1.065820e+06   1.266373e+02
 3.685300e-04   1.035984e+06   1.177337e+02
 3.719500e-04   1.007651e+06   1.493335e+02
 3.753700e-04   9.801396e+05   9.987107e+01
 3.787900e-04   9.537294e+05   9.753955e+01
 3.822100e-04   9.283543e+05   1.444919e+02
 3.856300e-04   9.036604e+05   9.947303e+01
 3.890500e-04   8.799643e+05   1.707700e+02
 3.924700e-04   8.572507e+05   1.296166e+02
 3.958900e-04   8.349255e+05   1.205687e+02
 3.993100e-04   8.136321e+05   1.129360e+02
 4.027300e-04   7.930749e+05   1.211648e+02
 4.061500e-04   7.731386e+05   1.039400e+02
 4.095700e-04   7.537708e+05   1.186674e+02
 4.129900e-04   7.350983e+05   1.515297e+02
 4.164100e-04   7.174096e+05   1.549891e+02
 4.198300e-04   6.996064e+05   1.011191e+02
 4.232500e-04   6.828480e+05   7.025376e+01
 4.266700e-04   6.663922e+05   9.934489e+01
 4.300900e-04   6.505532e+05   1.206290e+02
 4.335100e-04   6.352295e+05   1.162439e+02
 4.369300e-04   6.202795e+05   6.802310e+01
 4.403500e-04   6.060647e+05   1.228514e+02
 4.437700e-04   5.919470e+05   1.297836e+02
 4.471900e-04   5.783410e+05   7.547546e+01
 4.506100e-04   5.653504e+05   1.279908e+02
 4.540300e-04   5.525272e+05   1.179894e+02
 4.574500e-04   5.401428e+05   1.281217e+02
