th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   0.000000e+00   0.000000e+00
 3.035500e-04   0.000000e+00   0.000000e+00
 3.069700e-04   0.000000e+00   0.000000e+00
 3.103900e-04   0.000000e+00   0.000000e+00
 3.138100e-04   0.000000e+00   0.000000e+00
 3.172300e-04   1.285033e+06   1.109586e+02
 3.206500e-04   1.574692e+06   9.077428e+01
 3.240700e-04   1.525401e+06   1.736698e+02
 3.274900e-04   1.477786e+06   1.080089e+02
 3.309100e-04   1.432480e+06   1.994281e+02
 3.343300e-04   1.388788e+06   1.781564e+02
 3.377500e-04   1.346469e+06   2.440703e+02
 3.411700e-04   1.307020e+06   2.099073e+02
 3.445900e-04   1.268148e+06   1.490139e+02
 3.480100e-04   1.230655e+06   1.399210e+02
 3.514300e-04   1.195323e+06   1.555231e+02
 3.548500e-04   1.161016e+06   1.587577e+02
 3.582700e-04   1.127488e+06   2.522720e+02
 3.616900e-04   1.096151e+06   2.129166e+02
 3.651100e-04   1.065485e+06   1.648627e+02
 3.685300e-04   1.035778e+06   1.472118e+02
 3.719500e-04   1.007780e+06   1.426621e+02
 3.753700e-04   9.802733e+05   1.427225e+02
 3.787900e-04   9.539057e+05   1.276430e+02
 3.822100e-04   9.284554e+05   1.767027e+02
 3.856300e-04   9.038378e+05   1.617489e+02
 3.890500e-04   8.796363e+05   1.828467e+02
 3.924700e-04   8.573314e+05   1.570821e+02
 3.958900e-04   8.350370e+05   1.820520e+02
 3.993100e-04   8.134394e+05   1.603232e+02
 4.027300e-04   7.932015e+05   1.592997e+02
 4.061500e-04   7.730104e+05   2.055219e+02
 4.095700e-04   7.537763e+05   2.201424e+02
 4.129900e-04   7.352966e+05   2.181303e+02
 4.164100e-04   7.171806e+05   2.546306e+02
 4.198300e-04   6.996879e+05   2.063951e+02
 4.232500e-04   6.827169e+05   1.804808e+02
 4.266700e-04   6.663617e+05   1.526820e+02
 4.300900e-04   6.502373e+05   1.803512e+02
 4.335100e-04   6.353644e+05   1.570469e+02
 4.369300e-04   6.202181e+05   1.356302e+02
 4.403500e-04   6.058739e+05   1.307962e+02
 4.437700e-04   5.922531e+05   1.150564e+02
 4.471900e-04   5.782323e+05   1.487497e+02
 4.506100e-04   5.653374e+05   1.256525e+02
 4.540300e-04   5.526430e+05   1.293058e+02
 4.574500e-04   5.402136e+05   1.419999e+02
