th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.025435e+06   1.894337e+02
 3.035500e-04   1.856691e+06   1.732561e+02
 3.069700e-04   1.795415e+06   9.615563e+01
 3.103900e-04   1.736584e+06   1.552342e+02
 3.138100e-04   1.680279e+06   1.311933e+02
 3.172300e-04   1.626489e+06   2.309404e+02
 3.206500e-04   1.574676e+06   1.545680e+02
 3.240700e-04   1.525291e+06   1.827071e+02
 3.274900e-04   1.477868e+06   1.827147e+02
 3.309100e-04   1.432391e+06   2.001044e+02
 3.343300e-04   1.388656e+06   1.939811e+02
 3.377500e-04   1.346951e+06   1.817532e+02
 3.411700e-04   1.306839e+06   2.383346e+02
 3.445900e-04   1.268211e+06   1.024271e+02
 3.480100e-04   1.230971e+06   1.528634e+02
 3.514300e-04   1.195083e+06   1.184322e+02
 3.548500e-04   1.161077e+06   1.563959e+02
 3.582700e-04   1.127880e+06   1.618172e+02
 3.616900e-04   1.095801e+06   1.148460e+02
 3.651100e-04   1.065748e+06   1.933206e+02
 3.685300e-04   1.036195e+06   1.733320e+02
 3.719500e-04   1.007469e+06   3.014960e+02
 3.753700e-04   9.803435e+05   1.677997e+02
 3.787900e-04   9.539573e+05   1.720652e+02
 3.822100e-04   9.285860e+05   1.384438e+02
 3.856300e-04   9.035494e+05   1.710090e+02
 3.890500e-04   8.802287e+05   1.177881e+02
 3.924700e-04   8.573886e+05   1.909014e+02
 3.958900e-04   8.345972e+05   1.949585e+02
 3.993100e-04   8.137182e+05   1.363803e+02
 4.027300e-04   7.931883e+05   1.980162e+02
 4.061500e-04   7.730145e+05   1.431234e+02
 4.095700e-04   7.536372e+05   2.054207e+02
 4.129900e-04   7.352886e+05   1.585152e+02
 4.164100e-04   7.172728e+05   1.152438e+02
 4.198300e-04   6.993409e+05   2.064666e+02
 4.232500e-04   6.831386e+05   1.808278e+02
 4.266700e-04   6.662428e+05   1.729966e+02
 4.300900e-04   6.506736e+05   1.489229e+02
 4.335100e-04   6.349964e+05   1.451342e+02
 4.369300e-04   6.206418e+05   1.330243e+02
 4.403500e-04   6.060380e+05   1.301359e+02
 4.437700e-04   5.918305e+05   1.105187e+02
 4.471900e-04   5.785329e+05   1.101162e+02
 4.506100e-04   5.653861e+05   1.602094e+02
 4.540300e-04   5.525413e+05   1.018260e+02
 4.574500e-04   5.404303e+05   1.187076e+02
