th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345775e-03   0.000000e+00   0.000000e+00
 1.347325e-03   0.000000e+00   0.000000e+00
 1.348875e-03   0.000000e+00   0.000000e+00
 1.350425e-03   1.532639e+04   2.114646e+01
 1.351975e-03   1.971493e+04   3.838700e+00
 1.353525e-03   1.964644e+04   2.640240e+00
 1.355075e-03   1.957849e+04   5.200632e+00
 1.356625e-03   1.950118e+04   2.350844e+00
 1.358175e-03   1.944048e+04   4.724353e+00
 1.359725e-03   1.935600e+04   6.294875e+00
 1.361275e-03   1.930011e+04   5.540669e+00
 1.362825e-03   1.923609e+04   1.247711e+01
 1.364375e-03   1.917390e+04   1.457102e+01
 1.365925e-03   1.906968e+04   8.706015e+00
 1.367475e-03   1.903205e+04   4.900703e+00
 1.369025e-03   1.895122e+04   8.361894e+00
 1.370575e-03   1.889387e+04   1.413333e+01
 1.372125e-03   1.881909e+04   1.081419e+01
 1.373675e-03   1.874142e+04   1.111121e+01
 1.375225e-03   1.869871e+04   7.377193e+00
 1.376775e-03   1.863653e+04   1.034517e+01
 1.378325e-03   1.855390e+04   1.056245e+01
 1.379875e-03   1.846621e+04   1.807311e+01
 1.381425e-03   1.843631e+04   1.175528e+01
 1.382975e-03   1.836826e+04   4.401897e+00
 1.384525e-03   1.827724e+04   1.913455e+01
 1.386075e-03   1.825487e+04   1.366205e+01
 1.387625e-03   1.816517e+04   1.293337e+01
 1.389175e-03   1.811052e+04   1.505979e+01
 1.390725e-03   1.802503e+04   1.197608e+01
 1.392275e-03   1.798148e+04   8.522756e+00
 1.393825e-03   1.791139e+04   5.017942e+00
 1.395375e-03   1.786519e+04   6.491184e+00
 1.396925e-03   1.778510e+04   1.013068e+01
 1.398475e-03   1.772809e+04   1.248524e+01
 1.400025e-03   1.764764e+04   1.272002e+01
 1.401575e-03   1.756693e+04   2.660659e+01
 1.403125e-03   1.753729e+04   8.529269e+00
 1.404675e-03   1.748603e+04   3.659851e+00
 1.406225e-03   1.742595e+04   1.266118e+01
 1.407775e-03   1.736255e+04   1.291124e+01
 1.409325e-03   1.731869e+04   1.428549e+01
 1.410875e-03   1.722930e+04   9.823006e+00
 1.412425e-03   1.719234e+04   9.614154e+00
 1.413975e-03   1.712205e+04   9.780046e+00
 1.415525e-03   1.706845e+04   1.234297e+01
 1.417075e-03   1.700417e+04   1.517081e+01
 1.418625e-03   1.696611e+04   1.984141e+01
 1.420175e-03   1.688893e+04   8.263643e+00
 1.421725e-03   1.683213e+04   1.108391e+01
 1.423275e-03   1.676841e+04   7.856169e+00
 1.424825e-03   1.671463e+04   1.475155e+01
 1.426375e-03   1.664419e+04   1.779085e+01
 1.427925e-03   1.660977e+04   1.569662e+01
 1.429475e-03   1.655415e+04   7.968156e+00
 1.431025e-03   1.649022e+04   7.834037e+00
 1.432575e-03   1.642817e+04   1.631048e+01
 1.434125e-03   1.639525e+04   1.752040e+01
 1.435675e-03   1.630087e+04   1.573866e+01
 1.437225e-03   1.630017e+04   1.389799e+01
 1.438775e-03   1.620005e+04   1.292731e+01
 1.440325e-03   1.619981e+04   1.732628e+01
 1.441875e-03   1.608893e+04   1.854570e+01
 1.443425e-03   1.604033e+04   1.262300e+01
 1.444975e-03   1.599759e+04   1.188024e+01
 1.446525e-03   1.593129e+04   1.481515e+01
 1.448075e-03   1.589658e+04   1.549133e+01
 1.449625e-03   1.584469e+04   3.956246e+00
 1.451175e-03   1.578243e+04   8.746487e+00
 1.452725e-03   1.573363e+04   1.133121e+01
 1.454275e-03   1.567442e+04   1.568914e+01
 1.455825e-03   1.561523e+04   1.192108e+01
 1.457375e-03   1.556730e+04   8.838519e+00
 1.458925e-03   1.551540e+04   7.961245e+00
 1.460475e-03   1.548499e+04   1.273411e+01
 1.462025e-03   1.541917e+04   1.264648e+01
 1.463575e-03   1.537421e+04   1.334956e+01
 1.465125e-03   1.527284e+04   2.329812e+01
 1.466675e-03   1.528884e+04   2.146958e+01
 1.468225e-03   1.520830e+04   8.491802e+00
 1.469775e-03   1.514305e+04   8.480147e+00
 1.471325e-03   1.511648e+04   1.256754e+01
 1.472875e-03   1.506915e+04   9.681818e+00
 1.474425e-03   1.504003e+04   1.935131e+01
 1.475975e-03   1.493575e+04   2.141838e+01
 1.477525e-03   1.492628e+04   1.591091e+01
 1.479075e-03   1.486146e+04   8.684113e+00
 1.480625e-03   1.482338e+04   7.055662e+00
 1.482175e-03   1.473821e+04   1.790719e+01
 1.483725e-03   1.472433e+04   9.429188e+00
 1.485275e-03   1.468805e+04   1.255133e+01
 1.486825e-03   1.459210e+04   1.287877e+01
 1.488375e-03   1.459169e+04   1.311616e+01
 1.489925e-03   1.451268e+04   7.445504e+00
 1.491475e-03   1.447269e+04   1.960175e+01
 1.493025e-03   1.442689e+04   1.281452e+01
 1.494575e-03   1.439320e+04   6.885297e+00
 1.496125e-03   1.432715e+04   1.108715e+01
 1.497675e-03   1.429694e+04   1.267155e+01
 1.499225e-03   1.424827e+04   1.731618e+01
 1.500775e-03   1.417731e+04   1.401956e+01
 1.502325e-03   1.416128e+04   1.658185e+01
 1.503875e-03   1.409431e+04   1.472695e+01
 1.505425e-03   1.403956e+04   9.761837e+00
 1.506975e-03   1.402751e+04   1.591703e+01
 1.508525e-03   1.397016e+04   1.136907e+01
 1.510075e-03   1.390864e+04   2.034139e+01
 1.511625e-03   1.387950e+04   1.743756e+01
 1.513175e-03   1.382794e+04   1.900421e+01
 1.514725e-03   1.377347e+04   1.440959e+01
 1.516275e-03   1.375054e+04   1.073854e+01
 1.517825e-03   1.370043e+04   1.769768e+01
 1.519375e-03   1.362069e+04   1.327330e+01
 1.520925e-03   1.360609e+04   1.183914e+01
 1.522475e-03   1.357691e+04   1.262618e+01
 1.524025e-03   1.351701e+04   1.189599e+01
 1.525575e-03   1.347846e+04   1.325791e+01
 1.527125e-03   1.344327e+04   1.284618e+01
 1.528675e-03   1.338517e+04   1.564187e+01
 1.530225e-03   1.335997e+04   1.343694e+01
 1.531775e-03   1.331257e+04   8.675616e+00
 1.533325e-03   1.320516e+04   2.260698e+01
 1.534875e-03   1.324518e+04   9.605640e+00
 1.536425e-03   1.317629e+04   1.304115e+01
 1.537975e-03   1.311165e+04   1.792637e+01
 1.539525e-03   1.310971e+04   1.325651e+01
 1.541075e-03   1.304919e+04   1.372904e+01
 1.542625e-03   1.300530e+04   1.005935e+01
 1.544175e-03   1.297882e+04   1.677827e+01
 1.545725e-03   1.292564e+04   9.829254e+00
 1.547275e-03   1.288742e+04   7.607943e+00
 1.548825e-03   1.288106e+04   1.534930e+01
 1.550375e-03   1.277658e+04   1.174234e+01
 1.551925e-03   1.277886e+04   1.050495e+01
 1.553475e-03   1.271876e+04   7.488977e+00
 1.555025e-03   1.269076e+04   1.461677e+01
 1.556575e-03   1.262683e+04   1.705397e+01
 1.558125e-03   1.260786e+04   6.821305e+00
 1.559675e-03   1.255412e+04   1.123010e+01
 1.561225e-03   1.252854e+04   1.030989e+01
 1.562775e-03   1.248293e+04   6.272815e+00
 1.564325e-03   1.246568e+04   1.613638e+01
 1.565875e-03   1.239550e+04   1.161929e+01
 1.567425e-03   1.236891e+04   8.371610e+00
 1.568975e-03   1.231628e+04   1.169069e+01
 1.570525e-03   1.229476e+04   6.262193e+00
 1.572075e-03   1.224725e+04   4.733415e+00
 1.573625e-03   1.222383e+04   9.044354e+00
 1.575175e-03   1.215960e+04   1.062547e+01
 1.576725e-03   1.214242e+04   1.071472e+01
 1.578275e-03   1.208321e+04   8.747194e+00
 1.579825e-03   1.205946e+04   8.876975e+00
 1.581375e-03   1.203175e+04   1.127166e+01
 1.582925e-03   1.197401e+04   8.099934e+00
 1.584475e-03   1.196092e+04   7.764531e+00
 1.586025e-03   1.191920e+04   7.668638e+00
 1.587575e-03   1.186699e+04   9.776402e+00
 1.589125e-03   1.184347e+04   1.168275e+01
 1.590675e-03   1.180926e+04   3.755535e+00
 1.592225e-03   1.176281e+04   4.391520e+00
 1.593775e-03   1.173085e+04   3.544437e+00
 1.595325e-03   1.168969e+04   5.154374e+00
 1.596875e-03   1.165637e+04   8.621870e+00
 1.598425e-03   1.162544e+04   5.990465e+00
 1.599975e-03   1.157159e+04   7.553543e+00
 1.601525e-03   1.154883e+04   6.172933e+00
 1.603075e-03   1.152209e+04   3.902808e+00
 1.604625e-03   1.147612e+04   5.140308e+00
 1.606175e-03   1.144798e+04   3.964004e+00
 1.607725e-03   1.141108e+04   4.022831e+00
 1.609275e-03   1.136335e+04   3.438656e+00
 1.610825e-03   1.133613e+04   4.421127e+00
 1.612375e-03   1.130219e+04   7.203526e+00
 1.613925e-03   1.127056e+04   4.543060e+00
 1.615475e-03   1.122730e+04   4.853269e+00
 1.617025e-03   1.119785e+04   5.548188e+00
 1.618575e-03   1.115629e+04   3.053205e+00
 1.620125e-03   1.113448e+04   5.092049e+00
 1.621675e-03   1.107440e+04   8.745672e+00
 1.623225e-03   1.107186e+04   9.004622e+00
 1.624775e-03   1.102932e+04   5.926589e+00
 1.626325e-03   1.099701e+04   6.238527e+00
 1.627875e-03   1.095681e+04   4.658323e+00
 1.629425e-03   1.093650e+04   8.424960e+00
 1.630975e-03   1.089843e+04   7.346995e+00
 1.632525e-03   1.085781e+04   5.150540e+00
 1.634075e-03   1.082575e+04   4.720249e+00
 1.635625e-03   1.079464e+04   4.126402e+00
 1.637175e-03   1.076299e+04   5.229444e+00
 1.638725e-03   1.073197e+04   6.374045e+00
 1.640275e-03   1.069731e+04   5.115472e+00
 1.641825e-03   1.067437e+04   2.649664e+00
 1.643375e-03   1.063236e+04   4.427829e+00
 1.644925e-03   1.060930e+04   3.883620e+00
 1.646475e-03   1.020052e+04   3.164994e+02
 1.648025e-03   8.990080e+03   5.923897e+02
 1.649575e-03   8.389599e+03   4.885376e+02
 1.651125e-03   0.000000e+00   0.000000e+00
 1.652675e-03   0.000000e+00   0.000000e+00
 1.654225e-03   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
