th3_cms bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.846896e+04   1.645569e+02
 1.350890e-03   1.999641e+04   4.331100e+02
 1.351510e-03   1.986078e+04   1.620487e+02
 1.352130e-03   1.979191e+04   1.260493e+02
 1.352750e-03   1.956189e+04   1.502429e+02
 1.353370e-03   1.968052e+04   5.608685e+01
 1.353990e-03   1.944759e+04   3.253501e+02
 1.354610e-03   1.954376e+04   8.203620e+01
 1.355230e-03   1.958883e+04   7.665139e+01
 1.355850e-03   1.957501e+04   7.513185e+01
 1.356470e-03   1.945492e+04   6.912075e+01
 1.357090e-03   1.951069e+04   5.122902e+01
 1.357710e-03   1.951806e+04   6.635312e+01
 1.358330e-03   1.949407e+04   6.970558e+01
 1.358950e-03   1.931646e+04   7.618724e+01
 1.359570e-03   1.947746e+04   1.101303e+02
 1.360190e-03   1.915643e+04   7.267867e+01
 1.360810e-03   1.950107e+04   6.045842e+01
 1.361430e-03   1.911745e+04   1.346066e+02
 1.362050e-03   1.927090e+04   8.479238e+01
 1.362670e-03   1.931101e+04   6.604737e+01
 1.363290e-03   1.900437e+04   8.938577e+01
 1.363910e-03   1.931920e+04   5.312958e+01
 1.364530e-03   1.906255e+04   8.628259e+01
 1.365150e-03   1.915001e+04   8.385012e+01
 1.365770e-03   1.909451e+04   1.604416e+02
 1.366390e-03   1.904846e+04   1.470892e+02
 1.367010e-03   1.910581e+04   1.462783e+02
 1.367630e-03   1.900920e+04   1.294771e+02
 1.368250e-03   1.897427e+04   6.784501e+01
 1.368870e-03   1.880786e+04   1.333837e+02
 1.369490e-03   1.909333e+04   1.696495e+02
 1.370110e-03   1.881604e+04   7.746923e+01
 1.370730e-03   1.894076e+04   9.289111e+01
 1.371350e-03   1.886669e+04   1.118080e+02
 1.371970e-03   1.880109e+04   7.710940e+01
 1.372590e-03   1.871761e+04   4.996312e+01
 1.373210e-03   1.880029e+04   9.880129e+01
 1.373830e-03   1.872656e+04   1.623256e+02
 1.374450e-03   1.875163e+04   1.388494e+02
 1.375070e-03   1.889157e+04   1.427249e+02
 1.375690e-03   1.839053e+04   2.077417e+02
 1.376310e-03   1.869130e+04   1.310519e+02
 1.376930e-03   1.861252e+04   1.227474e+02
 1.377550e-03   1.856618e+04   1.681303e+02
 1.378170e-03   1.875389e+04   1.723116e+02
