th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345775e-03   0.000000e+00   0.000000e+00
 1.347325e-03   0.000000e+00   0.000000e+00
 1.348875e-03   0.000000e+00   0.000000e+00
 1.350425e-03   1.528210e+04   2.620745e+01
 1.351975e-03   1.974317e+04   1.530623e+01
 1.353525e-03   1.964069e+04   3.259430e+00
 1.355075e-03   1.956931e+04   5.345184e+00
 1.356625e-03   1.950877e+04   3.699732e+00
 1.358175e-03   1.943010e+04   5.337025e+00
 1.359725e-03   1.936959e+04   3.259125e+00
 1.361275e-03   1.929674e+04   2.311189e+00
 1.362825e-03   1.923115e+04   3.518749e+00
 1.364375e-03   1.915516e+04   5.094122e+00
 1.365925e-03   1.909093e+04   2.845329e+00
 1.367475e-03   1.902630e+04   3.315479e+00
 1.369025e-03   1.897400e+04   1.014984e+01
 1.370575e-03   1.888045e+04   1.075995e+01
 1.372125e-03   1.881999e+04   5.434885e+00
 1.373675e-03   1.875596e+04   6.679303e+00
 1.375225e-03   1.869626e+04   1.181578e+01
 1.376775e-03   1.862169e+04   8.460468e+00
 1.378325e-03   1.856096e+04   7.257151e+00
 1.379875e-03   1.849404e+04   9.412037e+00
 1.381425e-03   1.844800e+04   8.301075e+00
 1.382975e-03   1.835497e+04   7.217775e+00
 1.384525e-03   1.828702e+04   8.799266e+00
 1.386075e-03   1.824211e+04   9.214944e+00
 1.387625e-03   1.815914e+04   1.145414e+01
 1.389175e-03   1.811416e+04   6.628881e+00
 1.390725e-03   1.804274e+04   1.192071e+01
 1.392275e-03   1.798303e+04   1.037016e+01
 1.393825e-03   1.791176e+04   9.265884e+00
 1.395375e-03   1.786234e+04   9.177659e+00
 1.396925e-03   1.777868e+04   8.060277e+00
 1.398475e-03   1.773928e+04   5.254624e+00
 1.400025e-03   1.764985e+04   1.418383e+01
 1.401575e-03   1.763173e+04   1.149460e+01
 1.403125e-03   1.754461e+04   4.366661e+00
 1.404675e-03   1.748955e+04   1.076900e+01
 1.406225e-03   1.741943e+04   9.660487e+00
 1.407775e-03   1.736592e+04   7.594164e+00
 1.409325e-03   1.731306e+04   1.060162e+01
 1.410875e-03   1.725657e+04   1.278841e+01
 1.412425e-03   1.720252e+04   1.112503e+01
 1.413975e-03   1.712023e+04   1.117309e+01
 1.415525e-03   1.704346e+04   1.462326e+01
 1.417075e-03   1.701292e+04   9.921536e+00
 1.418625e-03   1.696196e+04   9.461206e+00
 1.420175e-03   1.688196e+04   1.246500e+01
 1.421725e-03   1.685981e+04   1.206396e+01
 1.423275e-03   1.675255e+04   1.663728e+01
 1.424825e-03   1.672784e+04   1.499607e+01
 1.426375e-03   1.667320e+04   7.193952e+00
 1.427925e-03   1.658196e+04   1.402772e+01
 1.429475e-03   1.656168e+04   8.261622e+00
 1.431025e-03   1.650086e+04   8.330496e+00
 1.432575e-03   1.644786e+04   1.030755e+01
 1.434125e-03   1.635772e+04   9.293389e+00
 1.435675e-03   1.631521e+04   1.466397e+01
 1.437225e-03   1.627622e+04   1.013598e+01
 1.438775e-03   1.621209e+04   4.926988e+00
 1.440325e-03   1.615763e+04   8.320623e+00
 1.441875e-03   1.612029e+04   1.546183e+01
 1.443425e-03   1.604644e+04   1.181975e+01
 1.444975e-03   1.600274e+04   1.112315e+01
 1.446525e-03   1.594219e+04   7.923048e+00
 1.448075e-03   1.590568e+04   1.376706e+01
 1.449625e-03   1.583350e+04   1.028585e+01
 1.451175e-03   1.576162e+04   1.175701e+01
 1.452725e-03   1.575600e+04   1.144937e+01
 1.454275e-03   1.566981e+04   8.654800e+00
 1.455825e-03   1.563153e+04   1.116178e+01
 1.457375e-03   1.557696e+04   8.912752e+00
 1.458925e-03   1.551469e+04   8.653668e+00
 1.460475e-03   1.546943e+04   9.040768e+00
 1.462025e-03   1.543276e+04   9.864091e+00
 1.463575e-03   1.535799e+04   1.026655e+01
 1.465125e-03   1.532229e+04   1.038551e+01
 1.466675e-03   1.526186e+04   7.793416e+00
 1.468225e-03   1.520125e+04   9.292512e+00
 1.469775e-03   1.517385e+04   1.382342e+01
 1.471325e-03   1.512024e+04   1.317307e+01
 1.472875e-03   1.507134e+04   1.462944e+01
 1.474425e-03   1.497709e+04   1.178353e+01
 1.475975e-03   1.497969e+04   1.027021e+01
 1.477525e-03   1.492124e+04   1.221806e+01
 1.479075e-03   1.486673e+04   8.237270e+00
 1.480625e-03   1.480358e+04   9.092914e+00
 1.482175e-03   1.478469e+04   1.152400e+01
 1.483725e-03   1.468176e+04   1.332970e+01
 1.485275e-03   1.468206e+04   1.086038e+01
 1.486825e-03   1.461234e+04   3.079843e+00
 1.488375e-03   1.457664e+04   8.749254e+00
 1.489925e-03   1.452210e+04   1.182449e+01
 1.491475e-03   1.446873e+04   1.393729e+01
 1.493025e-03   1.442238e+04   1.327556e+01
 1.494575e-03   1.437334e+04   1.101306e+01
 1.496125e-03   1.432244e+04   1.018343e+01
 1.497675e-03   1.430075e+04   1.168422e+01
 1.499225e-03   1.424496e+04   8.279281e+00
 1.500775e-03   1.416992e+04   1.144198e+01
 1.502325e-03   1.415130e+04   7.965672e+00
 1.503875e-03   1.410741e+04   8.455544e+00
 1.505425e-03   1.404916e+04   6.746668e+00
 1.506975e-03   1.401476e+04   9.922726e+00
 1.508525e-03   1.395745e+04   8.245374e+00
 1.510075e-03   1.389675e+04   1.253864e+01
 1.511625e-03   1.388504e+04   6.922436e+00
 1.513175e-03   1.384140e+04   9.611395e+00
 1.514725e-03   1.377618e+04   7.021539e+00
 1.516275e-03   1.372775e+04   9.443888e+00
 1.517825e-03   1.370888e+04   1.065849e+01
 1.519375e-03   1.364631e+04   1.179450e+01
 1.520925e-03   1.360648e+04   1.195199e+01
 1.522475e-03   1.356229e+04   6.331615e+00
 1.524025e-03   1.352234e+04   7.941871e+00
 1.525575e-03   1.347152e+04   5.866293e+00
 1.527125e-03   1.342283e+04   8.344672e+00
 1.528675e-03   1.341060e+04   1.202145e+01
 1.530225e-03   1.332796e+04   4.937702e+00
 1.531775e-03   1.330247e+04   1.215914e+01
 1.533325e-03   1.325679e+04   9.477678e+00
 1.534875e-03   1.320694e+04   1.194334e+01
 1.536425e-03   1.318360e+04   8.206441e+00
 1.537975e-03   1.313386e+04   5.583011e+00
 1.539525e-03   1.308138e+04   8.573634e+00
 1.541075e-03   1.307125e+04   8.641110e+00
 1.542625e-03   1.299922e+04   8.356853e+00
 1.544175e-03   1.295825e+04   9.369499e+00
 1.545725e-03   1.294347e+04   9.625516e+00
 1.547275e-03   1.287729e+04   1.245722e+01
 1.548825e-03   1.283551e+04   8.806408e+00
 1.550375e-03   1.281439e+04   8.017658e+00
 1.551925e-03   1.275258e+04   1.032139e+01
 1.553475e-03   1.272724e+04   1.129884e+01
 1.555025e-03   1.267947e+04   1.184874e+01
 1.556575e-03   1.264584e+04   5.536435e+00
 1.558125e-03   1.257897e+04   6.796920e+00
 1.559675e-03   1.256506e+04   1.066331e+01
 1.561225e-03   1.252930e+04   1.129213e+01
 1.562775e-03   1.248439e+04   3.304972e+00
 1.564325e-03   1.244376e+04   4.794160e+00
 1.565875e-03   1.240243e+04   5.321076e+00
 1.567425e-03   1.237825e+04   1.166269e+01
 1.568975e-03   1.231665e+04   6.804569e+00
 1.570525e-03   1.229838e+04   5.898215e+00
 1.572075e-03   1.224004e+04   6.248749e+00
 1.573625e-03   1.221397e+04   7.360217e+00
 1.575175e-03   1.216787e+04   1.263012e+01
 1.576725e-03   1.213496e+04   1.338699e+01
 1.578275e-03   1.210517e+04   5.355283e+00
 1.579825e-03   1.205327e+04   1.139258e+01
 1.581375e-03   1.200277e+04   1.005189e+01
 1.582925e-03   1.201419e+04   1.070916e+01
 1.584475e-03   1.195194e+04   8.276433e+00
 1.586025e-03   1.191499e+04   1.050580e+01
 1.587575e-03   1.186338e+04   1.032189e+01
 1.589125e-03   1.183838e+04   8.010271e+00
 1.590675e-03   1.180133e+04   6.038375e+00
 1.592225e-03   1.175576e+04   8.160908e+00
 1.593775e-03   1.174349e+04   1.121401e+01
 1.595325e-03   1.168173e+04   9.873950e+00
 1.596875e-03   1.166731e+04   5.214020e+00
 1.598425e-03   1.161475e+04   8.440103e+00
 1.599975e-03   1.158530e+04   7.118509e+00
 1.601525e-03   1.154467e+04   9.707293e+00
 1.603075e-03   1.150323e+04   1.024343e+01
 1.604625e-03   1.149926e+04   1.486502e+01
 1.606175e-03   1.144662e+04   9.055020e+00
 1.607725e-03   1.139837e+04   1.491422e+01
 1.609275e-03   1.137601e+04   6.990781e+00
 1.610825e-03   1.133329e+04   6.912497e+00
 1.612375e-03   1.129340e+04   5.591473e+00
 1.613925e-03   1.126372e+04   6.926208e+00
 1.615475e-03   1.125728e+04   5.927760e+00
 1.617025e-03   1.118250e+04   5.783306e+00
 1.618575e-03   1.117284e+04   3.735000e+00
 1.620125e-03   1.111977e+04   5.853112e+00
 1.621675e-03   1.109843e+04   4.223221e+00
 1.623225e-03   1.106322e+04   3.612813e+00
 1.624775e-03   1.102458e+04   2.222518e+00
 1.626325e-03   1.099389e+04   1.838448e+00
 1.627875e-03   1.095997e+04   2.989937e+00
 1.629425e-03   1.093218e+04   2.167552e+00
 1.630975e-03   1.089329e+04   2.474672e+00
 1.632525e-03   1.086206e+04   2.344926e+00
 1.634075e-03   1.083309e+04   2.055527e+00
 1.635625e-03   1.079558e+04   2.262442e+00
 1.637175e-03   1.076621e+04   3.072148e+00
 1.638725e-03   1.073772e+04   1.121270e+01
 1.640275e-03   1.070158e+04   1.631936e+01
 1.641825e-03   1.065577e+04   9.225235e+00
 1.643375e-03   1.062416e+04   1.200882e+01
 1.644925e-03   1.062208e+04   1.632311e+01
 1.646475e-03   1.044262e+04   2.132248e+02
 1.648025e-03   1.055287e+04   3.857185e+02
 1.649575e-03   7.396054e+03   4.142682e+02
 1.651125e-03   0.000000e+00   0.000000e+00
 1.652675e-03   0.000000e+00   0.000000e+00
 1.654225e-03   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
