th3_cms bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.857207e+04   1.196419e+02
 1.350890e-03   1.972235e+04   5.798802e+01
 1.351510e-03   1.991619e+04   1.527227e+02
 1.352130e-03   1.980076e+04   7.080640e+01
 1.352750e-03   1.967735e+04   2.905410e+01
 1.353370e-03   1.962172e+04   2.135270e+01
 1.353990e-03   1.962760e+04   3.442202e+01
 1.354610e-03   1.964584e+04   3.397061e+01
 1.355230e-03   1.944611e+04   8.816796e+01
 1.355850e-03   1.944246e+04   6.922389e+01
 1.356470e-03   1.948611e+04   6.988780e+01
 1.357090e-03   1.952084e+04   5.521792e+01
 1.357710e-03   1.926276e+04   7.817847e+01
 1.358330e-03   1.948127e+04   1.349283e+02
 1.358950e-03   1.933755e+04   6.840094e+01
 1.359570e-03   1.936447e+04   8.452691e+01
 1.360190e-03   1.937753e+04   6.999615e+01
 1.360810e-03   1.933285e+04   6.248995e+01
 1.361430e-03   1.930923e+04   6.695506e+01
 1.362050e-03   1.938732e+04   7.665954e+01
 1.362670e-03   1.935822e+04   1.048397e+02
 1.363290e-03   1.913171e+04   9.607926e+01
 1.363910e-03   1.908260e+04   1.311368e+02
 1.364530e-03   1.906988e+04   5.210307e+01
 1.365150e-03   1.910034e+04   5.276838e+01
 1.365770e-03   1.903491e+04   9.731525e+01
 1.366390e-03   1.902853e+04   6.229900e+01
 1.367010e-03   1.921116e+04   1.081223e+02
 1.367630e-03   1.897546e+04   4.726826e+01
 1.368250e-03   1.899912e+04   5.427191e+01
 1.368870e-03   1.905320e+04   8.380479e+01
 1.369490e-03   1.886306e+04   1.272267e+02
 1.370110e-03   1.895134e+04   8.403022e+01
 1.370730e-03   1.883747e+04   7.977546e+01
 1.371350e-03   1.899447e+04   9.311751e+01
 1.371970e-03   1.870752e+04   9.521463e+01
 1.372590e-03   1.888447e+04   8.397593e+01
 1.373210e-03   1.864883e+04   8.683601e+01
 1.373830e-03   1.878242e+04   1.015276e+02
 1.374450e-03   1.880026e+04   9.214505e+01
 1.375070e-03   1.869313e+04   8.131863e+01
 1.375690e-03   1.861669e+04   1.229022e+02
 1.376310e-03   1.868472e+04   8.081983e+01
 1.376930e-03   1.866058e+04   9.696636e+01
 1.377550e-03   1.869699e+04   3.712536e+01
 1.378170e-03   1.856234e+04   1.576289e+02
