th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   1.671373e+04   1.758199e+03
 1.350890e-03   2.077571e+04   1.953801e+03
 1.351510e-03   1.851060e+04   1.853874e+03
 1.352130e-03   2.492677e+04   5.000068e+03
 1.352750e-03   1.763909e+04   1.885363e+03
 1.353370e-03   2.093221e+04   1.549791e+03
 1.353990e-03   2.158866e+04   1.678326e+03
 1.354610e-03   1.786964e+04   1.886233e+03
 1.355230e-03   1.761435e+04   1.783035e+03
 1.355850e-03   1.776476e+04   1.896394e+03
 1.356470e-03   2.091806e+04   8.680743e+02
 1.357090e-03   1.723211e+04   1.939400e+03
 1.357710e-03   2.375707e+04   4.188370e+03
 1.358330e-03   1.937794e+04   6.939438e+02
 1.358950e-03   2.044615e+04   9.863850e+02
 1.359570e-03   1.865082e+04   4.345168e+02
 1.360190e-03   1.903220e+04   3.175405e+02
 1.360810e-03   2.027839e+04   8.592276e+02
 1.361430e-03   1.773693e+04   1.127127e+03
 1.362050e-03   2.048899e+04   6.373732e+02
 1.362670e-03   1.894773e+04   4.099516e+02
 1.363290e-03   1.863080e+04   2.405369e+02
 1.363910e-03   1.958710e+04   2.178370e+02
 1.364530e-03   1.942998e+04   7.304286e+02
 1.365150e-03   1.971737e+04   4.850167e+02
 1.365770e-03   1.837964e+04   8.356422e+02
 1.366390e-03   1.892356e+04   1.276744e+02
 1.367010e-03   1.894769e+04   2.820358e+02
 1.367630e-03   1.973941e+04   2.669259e+02
 1.368250e-03   1.874002e+04   3.785587e+02
 1.368870e-03   1.776466e+04   7.074812e+02
 1.369490e-03   1.979948e+04   5.679219e+02
 1.370110e-03   1.832330e+04   4.798771e+02
 1.370730e-03   1.920986e+04   2.471219e+02
 1.371350e-03   1.938530e+04   2.554766e+02
 1.371970e-03   1.882344e+04   7.917604e+02
 1.372590e-03   1.896518e+04   1.980059e+02
 1.373210e-03   1.882829e+04   1.636090e+02
 1.373830e-03   1.818995e+04   5.139926e+02
 1.374450e-03   1.890726e+04   2.530307e+02
 1.375070e-03   1.911151e+04   6.082211e+02
 1.375690e-03   1.837555e+04   5.156667e+02
 1.376310e-03   1.819781e+04   7.506933e+02
 1.376930e-03   1.900327e+04   5.930746e+02
 1.377550e-03   1.867629e+04   3.856561e+02
 1.378170e-03   1.859037e+04   2.625711e+02
