th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   0.000000e+00   0.000000e+00
 3.035500e-04   0.000000e+00   0.000000e+00
 3.069700e-04   0.000000e+00   0.000000e+00
 3.103900e-04   0.000000e+00   0.000000e+00
 3.138100e-04   0.000000e+00   0.000000e+00
 3.172300e-04   1.285010e+06   3.765421e+01
 3.206500e-04   1.574786e+06   2.140960e+01
 3.240700e-04   1.525347e+06   3.121508e+01
 3.274900e-04   1.477868e+06   2.867944e+01
 3.309100e-04   1.432424e+06   4.619600e+01
 3.343300e-04   1.388819e+06   2.564585e+01
 3.377500e-04   1.347001e+06   4.338139e+01
 3.411700e-04   1.306653e+06   4.042827e+01
 3.445900e-04   1.268082e+06   6.333522e+01
 3.480100e-04   1.230983e+06   3.563631e+01
 3.514300e-04   1.195217e+06   4.742546e+01
 3.548500e-04   1.160856e+06   3.549115e+01
 3.582700e-04   1.127900e+06   3.373558e+01
 3.616900e-04   1.096140e+06   5.304413e+01
 3.651100e-04   1.065530e+06   4.185597e+01
 3.685300e-04   1.035952e+06   4.210027e+01
 3.719500e-04   1.007529e+06   4.086145e+01
 3.753700e-04   9.802486e+05   4.586882e+01
 3.787900e-04   9.537640e+05   4.182038e+01
 3.822100e-04   9.283219e+05   3.769208e+01
 3.856300e-04   9.037630e+05   4.597699e+01
 3.890500e-04   8.800118e+05   4.007744e+01
 3.924700e-04   8.571596e+05   4.526339e+01
 3.958900e-04   8.351028e+05   4.368452e+01
 3.993100e-04   8.137370e+05   3.613276e+01
 4.027300e-04   7.930229e+05   3.249134e+01
 4.061500e-04   7.731359e+05   3.194960e+01
 4.095700e-04   7.539333e+05   4.977533e+01
 4.129900e-04   7.351771e+05   4.905184e+01
 4.164100e-04   7.171954e+05   5.052232e+01
 4.198300e-04   6.997398e+05   3.231769e+01
 4.232500e-04   6.827440e+05   3.914332e+01
 4.266700e-04   6.664456e+05   3.079098e+01
 4.300900e-04   6.506063e+05   5.868819e+01
 4.335100e-04   6.352408e+05   5.305929e+01
 4.369300e-04   6.204027e+05   4.351675e+01
 4.403500e-04   6.059200e+05   4.193891e+01
 4.437700e-04   5.919865e+05   2.589968e+01
 4.471900e-04   5.784415e+05   2.341259e+01
 4.506100e-04   5.653128e+05   3.172309e+01
 4.540300e-04   5.525366e+05   4.860745e+01
 4.574500e-04   5.401980e+05   3.669955e+01
