Emu_lab bin centers    value    Error 
-inf   3.328438e-01   3.887418e-03
 9.500600e+04   2.467880e-05   2.733345e-06
 9.501800e+04   3.248064e-05   9.218275e-06
 9.503000e+04   2.022394e-05   1.173528e-06
 9.504200e+04   2.292947e-05   1.685751e-06
 9.505400e+04   1.886243e-05   1.189079e-06
 9.506600e+04   1.959773e-05   1.682708e-06
 9.507800e+04   1.988675e-05   1.485602e-06
 9.509000e+04   2.112328e-05   1.454701e-06
 9.510200e+04   2.318688e-05   1.913531e-06
 9.511400e+04   2.933484e-05   3.612142e-06
 9.512600e+04   2.139800e-05   1.670809e-06
 9.513800e+04   2.620023e-05   2.863441e-06
 9.515000e+04   2.826286e-05   3.714442e-06
 9.516200e+04   2.065569e-05   1.147778e-06
 9.517400e+04   2.422770e-05   2.190524e-06
 9.518600e+04   3.024267e-05   7.282438e-06
 9.519800e+04   2.369212e-05   2.331617e-06
 9.521000e+04   2.229956e-05   2.747641e-06
 9.522200e+04   1.965574e-05   1.526019e-06
 9.523400e+04   2.133831e-05   1.491887e-06
 9.524600e+04   2.196365e-05   1.701284e-06
 9.525800e+04   2.729296e-05   2.174194e-06
 9.527000e+04   2.578505e-05   1.710807e-06
 9.528200e+04   2.451858e-05   2.161232e-06
 9.529400e+04   2.265230e-05   1.990696e-06
 9.530600e+04   2.360756e-05   1.983393e-06
 9.531800e+04   2.375184e-05   1.836740e-06
 9.533000e+04   2.410419e-05   2.689346e-06
 9.534200e+04   2.598516e-05   2.809495e-06
 9.535400e+04   2.480698e-05   2.219258e-06
 9.536600e+04   2.491453e-05   2.560310e-06
 9.537800e+04   2.670444e-05   1.125685e-06
 9.539000e+04   2.590180e-05   2.105796e-06
 9.540200e+04   2.194178e-05   9.687093e-07
 9.541400e+04   2.344819e-05   8.324192e-07
 9.542600e+04   2.387392e-05   1.380800e-06
 9.543800e+04   3.336240e-05   8.998603e-06
 9.545000e+04   2.512240e-05   3.602761e-06
 9.546200e+04   2.556523e-05   1.618259e-06
 9.547400e+04   2.346932e-05   1.684751e-06
 9.548600e+04   2.669941e-05   1.972525e-06
 9.549800e+04   2.530898e-05   1.714532e-06
 9.551000e+04   2.583620e-05   2.549674e-06
 9.552200e+04   2.239138e-05   1.305437e-06
 9.553400e+04   2.290888e-05   1.510545e-06
 9.554600e+04   2.505910e-05   1.314193e-06
 9.555800e+04   2.218185e-05   1.452737e-06
 9.557000e+04   2.571754e-05   1.855290e-06
 9.558200e+04   2.277623e-05   2.076641e-06
 9.559400e+04   2.503169e-05   1.692617e-06
 9.560600e+04   2.555772e-05   2.140352e-06
 9.561800e+04   2.518412e-05   2.582227e-06
 9.563000e+04   2.559382e-05   2.591498e-06
 9.564200e+04   4.176346e-05   1.203769e-05
 9.565400e+04   2.565943e-05   1.600946e-06
 9.566600e+04   3.081926e-05   3.338315e-06
 9.567800e+04   4.556478e-05   9.139519e-06
 9.569000e+04   3.092247e-05   6.321032e-06
 9.570200e+04   2.812774e-05   1.692282e-06
 9.571400e+04   3.010932e-05   2.404060e-06
 9.572600e+04   2.490571e-05   2.201495e-06
 9.573800e+04   2.558988e-05   3.222131e-06
 9.575000e+04   2.595688e-05   2.551418e-06
 9.576200e+04   2.593243e-05   1.878824e-06
 9.577400e+04   2.568452e-05   2.406636e-06
 9.578600e+04   2.484134e-05   1.925503e-06
 9.579800e+04   2.732024e-05   2.114009e-06
 9.581000e+04   2.920338e-05   2.611087e-06
 9.582200e+04   2.535406e-05   1.063199e-06
 9.583400e+04   2.802062e-05   1.627040e-06
 9.584600e+04   3.039806e-05   5.268572e-06
 9.585800e+04   2.235667e-05   2.109839e-06
 9.587000e+04   3.073374e-05   4.817030e-06
 9.588200e+04   2.925222e-05   6.158061e-06
 9.589400e+04   3.048934e-05   5.459572e-06
 9.590600e+04   2.637058e-05   1.458440e-06
 9.591800e+04   3.224617e-05   4.455994e-06
 9.593000e+04   2.510133e-05   1.807425e-06
 9.594200e+04   2.370656e-05   1.880218e-06
 9.595400e+04   3.248770e-05   3.522904e-06
 9.596600e+04   2.722557e-05   1.753196e-06
 9.597800e+04   2.669159e-05   2.615361e-06
 9.599000e+04   2.858071e-05   1.648015e-06
 9.600200e+04   3.191758e-05   3.294573e-06
 9.601400e+04   2.502111e-05   1.241686e-06
 9.602600e+04   2.932512e-05   1.864379e-06
 9.603800e+04   3.156221e-05   2.664806e-06
 9.605000e+04   3.752396e-05   1.195952e-05
 9.606200e+04   2.954686e-05   1.529203e-06
 9.607400e+04   3.273399e-05   2.794941e-06
 9.608600e+04   2.689509e-05   2.472350e-06
 9.609800e+04   2.711109e-05   1.693030e-06
 9.611000e+04   2.736097e-05   2.611469e-06
 9.612200e+04   2.711687e-05   1.741653e-06
 9.613400e+04   2.897246e-05   1.409345e-06
 9.614600e+04   2.926334e-05   2.460446e-06
 9.615800e+04   2.456998e-05   1.033717e-06
 9.617000e+04   3.131510e-05   3.201925e-06
 9.618200e+04   3.013728e-05   2.682748e-06
 9.619400e+04   2.892529e-05   1.850680e-06
 9.620600e+04   2.942209e-05   2.864371e-06
 9.621800e+04   3.075082e-05   2.486112e-06
 9.623000e+04   3.088452e-05   3.522329e-06
 9.624200e+04   2.768920e-05   2.624771e-06
 9.625400e+04   3.759510e-05   8.730915e-06
 9.626600e+04   3.250140e-05   3.708324e-06
 9.627800e+04   2.812380e-05   2.600288e-06
 9.629000e+04   2.963003e-05   2.936901e-06
 9.630200e+04   2.939805e-05   3.059293e-06
 9.631400e+04   2.753940e-05   2.344234e-06
 9.632600e+04   3.299241e-05   3.021545e-06
 9.633800e+04   2.820667e-05   1.840183e-06
 9.635000e+04   2.871300e-05   2.385930e-06
 9.636200e+04   2.845773e-05   2.914151e-06
 9.637400e+04   3.519633e-05   3.395768e-06
 9.638600e+04   3.353617e-05   4.807562e-06
 9.639800e+04   2.692062e-05   1.887033e-06
 9.641000e+04   3.222865e-05   4.310236e-06
 9.642200e+04   2.818739e-05   1.894526e-06
 9.643400e+04   3.195732e-05   3.973128e-06
 9.644600e+04   4.718148e-05   2.015656e-05
