Emu_lab bin centers    value    Error 
-inf   3.373951e-01   2.338374e-04
 9.500600e+04   2.450071e-05   5.874317e-07
 9.501800e+04   2.553931e-05   6.392146e-07
 9.503000e+04   2.483249e-05   6.908792e-07
 9.504200e+04   2.576516e-05   6.065247e-07
 9.505400e+04   2.404318e-05   4.359134e-07
 9.506600e+04   2.483640e-05   6.328838e-07
 9.507800e+04   2.589805e-05   1.016861e-06
 9.509000e+04   2.531174e-05   9.176207e-07
 9.510200e+04   2.502993e-05   4.592303e-07
 9.511400e+04   2.489458e-05   5.774735e-07
 9.512600e+04   2.542384e-05   6.204200e-07
 9.513800e+04   2.513675e-05   3.794544e-07
 9.515000e+04   2.673159e-05   5.024534e-07
 9.516200e+04   2.673359e-05   7.653963e-07
 9.517400e+04   2.541132e-05   5.122364e-07
 9.518600e+04   2.678663e-05   6.835401e-07
 9.519800e+04   2.442832e-05   4.306801e-07
 9.521000e+04   2.565190e-05   5.199740e-07
 9.522200e+04   2.569828e-05   6.439427e-07
 9.523400e+04   2.608231e-05   7.338591e-07
 9.524600e+04   2.556389e-05   3.337241e-07
 9.525800e+04   2.526874e-05   4.964617e-07
 9.527000e+04   2.652266e-05   5.386842e-07
 9.528200e+04   2.660658e-05   8.961581e-07
 9.529400e+04   2.669391e-05   5.972218e-07
 9.530600e+04   2.615250e-05   5.142821e-07
 9.531800e+04   2.611510e-05   5.216447e-07
 9.533000e+04   2.510090e-05   6.128549e-07
 9.534200e+04   2.561790e-05   4.703642e-07
 9.535400e+04   2.596060e-05   4.320350e-07
 9.536600e+04   2.666886e-05   6.986819e-07
 9.537800e+04   2.535310e-05   5.229409e-07
 9.539000e+04   2.706099e-05   7.988635e-07
 9.540200e+04   2.722666e-05   3.926375e-07
 9.541400e+04   2.585188e-05   4.595302e-07
 9.542600e+04   2.617340e-05   5.869815e-07
 9.543800e+04   2.586875e-05   4.778244e-07
 9.545000e+04   2.632835e-05   5.410103e-07
 9.546200e+04   2.647626e-05   7.644449e-07
 9.547400e+04   2.670308e-05   5.751715e-07
 9.548600e+04   2.617473e-05   4.578415e-07
 9.549800e+04   2.772073e-05   7.650827e-07
 9.551000e+04   2.693654e-05   7.298547e-07
 9.552200e+04   2.688369e-05   5.710715e-07
 9.553400e+04   2.841644e-05   9.504636e-07
 9.554600e+04   2.810729e-05   5.285243e-07
 9.555800e+04   2.646020e-05   3.092123e-07
 9.557000e+04   2.834827e-05   1.045392e-06
 9.558200e+04   2.723925e-05   7.427571e-07
 9.559400e+04   2.823558e-05   9.004281e-07
 9.560600e+04   2.812940e-05   7.963906e-07
 9.561800e+04   2.725781e-05   5.510865e-07
 9.563000e+04   2.659713e-05   5.676043e-07
 9.564200e+04   2.817706e-05   6.566096e-07
 9.565400e+04   2.846684e-05   7.621140e-07
 9.566600e+04   2.817967e-05   6.954594e-07
 9.567800e+04   2.742864e-05   5.586546e-07
 9.569000e+04   2.836367e-05   9.901694e-07
 9.570200e+04   2.741067e-05   3.932579e-07
 9.571400e+04   2.806391e-05   5.607768e-07
 9.572600e+04   2.719880e-05   3.707224e-07
 9.573800e+04   2.894302e-05   8.471714e-07
 9.575000e+04   2.840989e-05   4.725617e-07
 9.576200e+04   2.808923e-05   5.268940e-07
 9.577400e+04   2.846560e-05   4.347303e-07
 9.578600e+04   2.840191e-05   6.680277e-07
 9.579800e+04   2.823599e-05   6.136509e-07
 9.581000e+04   2.866719e-05   6.547232e-07
 9.582200e+04   2.839685e-05   5.722263e-07
