Emu_lab bin centers    value    Error 
-inf   3.269353e-01   1.103244e-03
 9.500600e+04   2.274818e-05   4.339772e-07
 9.501800e+04   2.222609e-05   3.554438e-07
 9.503000e+04   2.258683e-05   3.863561e-07
 9.504200e+04   2.339625e-05   4.118761e-07
 9.505400e+04   2.283488e-05   5.949459e-07
 9.506600e+04   2.304996e-05   4.054219e-07
 9.507800e+04   2.301189e-05   4.484219e-07
 9.509000e+04   2.334269e-05   4.479114e-07
 9.510200e+04   2.320454e-05   4.149762e-07
 9.511400e+04   2.354336e-05   4.365034e-07
 9.512600e+04   2.325873e-05   3.518755e-07
 9.513800e+04   2.275233e-05   4.347641e-07
 9.515000e+04   2.310602e-05   3.684329e-07
 9.516200e+04   2.431346e-05   4.195756e-07
 9.517400e+04   2.361283e-05   3.288206e-07
 9.518600e+04   2.286428e-05   3.626660e-07
 9.519800e+04   2.368199e-05   4.186284e-07
 9.521000e+04   2.421602e-05   3.634546e-07
 9.522200e+04   2.358624e-05   3.284897e-07
 9.523400e+04   2.348376e-05   5.091060e-07
 9.524600e+04   2.409140e-05   4.760257e-07
 9.525800e+04   2.311027e-05   3.715648e-07
 9.527000e+04   2.440817e-05   4.567586e-07
 9.528200e+04   2.421913e-05   3.437522e-07
 9.529400e+04   2.361672e-05   4.039112e-07
 9.530600e+04   2.423488e-05   4.200643e-07
 9.531800e+04   2.409864e-05   5.180401e-07
 9.533000e+04   2.322891e-05   4.402114e-07
 9.534200e+04   2.480597e-05   3.964832e-07
 9.535400e+04   2.440062e-05   3.338876e-07
 9.536600e+04   2.399194e-05   3.723227e-07
 9.537800e+04   2.420161e-05   3.795425e-07
 9.539000e+04   2.444426e-05   4.117288e-07
 9.540200e+04   2.507137e-05   4.164556e-07
 9.541400e+04   2.413385e-05   2.917151e-07
 9.542600e+04   2.496156e-05   3.524455e-07
 9.543800e+04   2.399627e-05   5.129611e-07
 9.545000e+04   2.489155e-05   6.820722e-07
 9.546200e+04   2.479425e-05   4.141937e-07
 9.547400e+04   2.467281e-05   3.643440e-07
 9.548600e+04   2.457817e-05   4.605993e-07
 9.549800e+04   2.568706e-05   5.062211e-07
 9.551000e+04   2.437415e-05   4.025358e-07
 9.552200e+04   2.424503e-05   4.247348e-07
 9.553400e+04   2.524468e-05   3.643438e-07
 9.554600e+04   2.499505e-05   4.270583e-07
 9.555800e+04   2.487550e-05   3.316846e-07
 9.557000e+04   2.493613e-05   3.563327e-07
 9.558200e+04   2.541644e-05   4.023183e-07
 9.559400e+04   2.502390e-05   3.017766e-07
 9.560600e+04   2.625336e-05   4.887842e-07
 9.561800e+04   2.594599e-05   5.285538e-07
