Emu_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.010000e+02   8.158264e-14   2.026130e-14
 3.030000e+02   1.663738e-11   8.980028e-13
 5.050000e+02   7.258692e-11   1.483319e-12
 7.070000e+02   1.751166e-10   2.601838e-12
 9.090000e+02   3.391437e-10   4.918712e-12
 1.111000e+03   5.657439e-10   9.236928e-12
 1.313000e+03   8.864104e-10   1.762624e-11
 1.515000e+03   1.208706e-09   1.452911e-11
 1.717000e+03   1.656323e-09   2.221086e-11
 1.919000e+03   2.148005e-09   2.704073e-11
 2.121000e+03   2.770925e-09   3.799975e-11
 2.323000e+03   3.410267e-09   3.999616e-11
 2.525000e+03   4.187959e-09   6.130208e-11
 2.727000e+03   5.060419e-09   5.864522e-11
 2.929000e+03   5.889761e-09   5.891668e-11
 3.131000e+03   6.993801e-09   8.920854e-11
 3.333000e+03   8.115227e-09   1.099088e-10
 3.535000e+03   9.228701e-09   9.661072e-11
 3.737000e+03   1.065893e-08   1.307902e-10
 3.939000e+03   1.189072e-08   1.243340e-10
 4.141000e+03   1.345268e-08   2.005809e-10
 4.343000e+03   1.526119e-08   1.765801e-10
 4.545000e+03   1.643263e-08   2.539632e-10
 4.747000e+03   1.893262e-08   2.486679e-10
 4.949000e+03   2.130410e-08   3.241141e-10
 5.151000e+03   2.280315e-08   4.117407e-10
 5.353000e+03   2.534482e-08   4.007295e-10
 5.555000e+03   2.655282e-08   3.904604e-10
 5.757000e+03   2.921075e-08   3.899337e-10
 5.959000e+03   3.209665e-08   5.139948e-10
 6.161000e+03   3.569382e-08   6.121102e-10
 6.363000e+03   3.738561e-08   5.971657e-10
 6.565000e+03   4.157988e-08   6.541214e-10
 6.767000e+03   4.454327e-08   6.970193e-10
 6.969000e+03   4.768388e-08   8.020388e-10
 7.171000e+03   5.045848e-08   7.854066e-10
 7.373000e+03   5.412202e-08   9.002310e-10
 7.575000e+03   5.868701e-08   8.689959e-10
 7.777000e+03   6.088914e-08   9.576315e-10
 7.979000e+03   6.557322e-08   1.244294e-09
 8.181000e+03   6.935692e-08   1.271999e-09
 8.383000e+03   7.278818e-08   1.129688e-09
 8.585000e+03   7.928140e-08   1.539577e-09
 8.787000e+03   8.185257e-08   1.354047e-09
 8.989000e+03   8.774036e-08   1.621801e-09
 9.191000e+03   9.184660e-08   1.493062e-09
 9.393000e+03   9.900222e-08   1.653775e-09
 9.595000e+03   9.800177e-08   1.552886e-09
 9.797000e+03   1.093655e-07   2.167115e-09
 9.999000e+03   1.150621e-07   1.959117e-09
 1.020100e+04   1.145673e-07   1.914445e-09
 1.040300e+04   1.233956e-07   2.358698e-09
 1.060500e+04   1.342530e-07   3.232152e-09
 1.080700e+04   1.313841e-07   2.189437e-09
 1.100900e+04   1.417526e-07   3.155894e-09
 1.121100e+04   1.499791e-07   3.205724e-09
 1.141300e+04   1.533863e-07   2.486925e-09
 1.161500e+04   1.597716e-07   3.012173e-09
 1.181700e+04   1.690265e-07   2.670499e-09
 1.201900e+04   1.729817e-07   4.106393e-09
 1.222100e+04   1.794979e-07   3.714069e-09
 1.242300e+04   2.035785e-07   4.320934e-09
 1.262500e+04   1.949201e-07   3.871828e-09
 1.282700e+04   2.097602e-07   5.366883e-09
 1.302900e+04   2.118340e-07   4.070359e-09
 1.323100e+04   2.205058e-07   4.767254e-09
 1.343300e+04   2.372699e-07   6.301780e-09
 1.363500e+04   2.294090e-07   4.238819e-09
 1.383700e+04   2.401891e-07   4.637570e-09
 1.403900e+04   2.668574e-07   6.076922e-09
 1.424100e+04   2.637971e-07   6.785110e-09
 1.444300e+04   2.874242e-07   5.732044e-09
 1.464500e+04   2.696254e-07   6.209285e-09
 1.484700e+04   2.953094e-07   6.717521e-09
 1.504900e+04   2.926338e-07   6.154346e-09
 1.525100e+04   3.126864e-07   8.742586e-09
 1.545300e+04   3.228895e-07   6.607469e-09
 1.565500e+04   3.264752e-07   7.044316e-09
 1.585700e+04   3.345642e-07   8.207186e-09
 1.605900e+04   3.646955e-07   8.773540e-09
 1.626100e+04   3.664308e-07   8.659910e-09
 1.646300e+04   3.833995e-07   8.160427e-09
 1.666500e+04   3.711416e-07   7.197703e-09
 1.686700e+04   3.765809e-07   8.043167e-09
 1.706900e+04   4.117355e-07   1.070377e-08
 1.727100e+04   4.193696e-07   1.057566e-08
 1.747300e+04   4.323555e-07   1.033803e-08
 1.767500e+04   4.513834e-07   1.055028e-08
 1.787700e+04   4.678852e-07   1.128916e-08
 1.807900e+04   5.031875e-07   1.467921e-08
 1.828100e+04   4.862627e-07   1.086722e-08
 1.848300e+04   5.099648e-07   1.348830e-08
 1.868500e+04   4.931832e-07   1.167314e-08
 1.888700e+04   5.012843e-07   1.037654e-08
 1.908900e+04   4.989112e-07   8.624140e-09
 1.929100e+04   5.529223e-07   1.270884e-08
 1.949300e+04   6.090765e-07   1.729357e-08
 1.969500e+04   5.732471e-07   1.546940e-08
 1.989700e+04   5.983516e-07   1.354721e-08
 2.009900e+04   6.114770e-07   1.289608e-08
 2.030100e+04   6.286175e-07   1.544830e-08
 2.050300e+04   6.291534e-07   1.424402e-08
 2.070500e+04   6.511909e-07   1.824831e-08
 2.090700e+04   6.718003e-07   1.596184e-08
 2.110900e+04   6.830842e-07   1.430958e-08
 2.131100e+04   6.791849e-07   1.460957e-08
 2.151300e+04   7.222456e-07   1.988218e-08
 2.171500e+04   6.983465e-07   1.484379e-08
 2.191700e+04   7.497210e-07   1.703981e-08
 2.211900e+04   7.637948e-07   1.897625e-08
 2.232100e+04   7.713430e-07   1.976680e-08
 2.252300e+04   8.067433e-07   1.991455e-08
 2.272500e+04   8.027724e-07   1.959802e-08
 2.292700e+04   8.332934e-07   1.889774e-08
 2.312900e+04   8.160447e-07   1.876399e-08
 2.333100e+04   8.863433e-07   2.100507e-08
 2.353300e+04   8.700498e-07   1.749470e-08
 2.373500e+04   8.812904e-07   1.479403e-08
 2.393700e+04   9.100728e-07   1.981248e-08
 2.413900e+04   9.580773e-07   2.383054e-08
 2.434100e+04   9.804677e-07   2.240749e-08
 2.454300e+04   9.821467e-07   1.898824e-08
 2.474500e+04   1.013975e-06   2.563628e-08
 2.494700e+04   9.834115e-07   1.907813e-08
 2.514900e+04   1.016027e-06   2.007015e-08
 2.535100e+04   1.033833e-06   2.045096e-08
 2.555300e+04   1.085588e-06   2.719708e-08
 2.575500e+04   1.125898e-06   2.051480e-08
 2.595700e+04   1.161193e-06   2.358991e-08
 2.615900e+04   1.148596e-06   2.410668e-08
 2.636100e+04   1.135819e-06   1.975310e-08
 2.656300e+04   1.127359e-06   1.778013e-08
 2.676500e+04   1.173345e-06   2.002795e-08
 2.696700e+04   1.231432e-06   2.277745e-08
 2.716900e+04   1.185726e-06   1.956719e-08
 2.737100e+04   1.207921e-06   1.919528e-08
 2.757300e+04   1.258035e-06   2.123802e-08
 2.777500e+04   1.260865e-06   1.836334e-08
 2.797700e+04   1.269305e-06   1.838295e-08
 2.817900e+04   1.341869e-06   2.039495e-08
 2.838100e+04   1.321998e-06   2.246744e-08
 2.858300e+04   1.379347e-06   2.473661e-08
 2.878500e+04   1.414103e-06   2.427209e-08
 2.898700e+04   1.413510e-06   2.271853e-08
 2.918900e+04   1.372498e-06   2.043099e-08
 2.939100e+04   1.457524e-06   2.238027e-08
 2.959300e+04   1.470028e-06   2.410379e-08
 2.979500e+04   1.512419e-06   2.701062e-08
 2.999700e+04   1.534300e-06   2.731552e-08
 3.019900e+04   1.522933e-06   2.393291e-08
 3.040100e+04   1.546535e-06   2.610646e-08
 3.060300e+04   1.571108e-06   2.704210e-08
 3.080500e+04   1.596156e-06   2.208838e-08
 3.100700e+04   1.634508e-06   2.690243e-08
 3.120900e+04   1.621501e-06   2.451852e-08
 3.141100e+04   1.693231e-06   2.863578e-08
 3.161300e+04   1.678422e-06   2.824409e-08
 3.181500e+04   1.691290e-06   2.695438e-08
 3.201700e+04   1.713402e-06   2.422502e-08
 3.221900e+04   1.801981e-06   3.091391e-08
 3.242100e+04   1.802128e-06   2.474822e-08
 3.262300e+04   1.808363e-06   2.718398e-08
 3.282500e+04   1.906498e-06   3.417713e-08
 3.302700e+04   1.825962e-06   2.351881e-08
 3.322900e+04   1.903719e-06   2.676101e-08
 3.343100e+04   1.833422e-06   2.205672e-08
 3.363300e+04   1.932318e-06   2.563267e-08
 3.383500e+04   1.898746e-06   2.479653e-08
 3.403700e+04   2.009435e-06   2.849042e-08
 3.423900e+04   2.015802e-06   2.696798e-08
 3.444100e+04   2.084922e-06   3.186407e-08
 3.464300e+04   2.022060e-06   2.514856e-08
 3.484500e+04   2.067044e-06   2.675263e-08
 3.504700e+04   2.095026e-06   2.608676e-08
 3.524900e+04   2.062136e-06   2.458284e-08
 3.545100e+04   2.135329e-06   2.569839e-08
 3.565300e+04   2.170829e-06   2.925942e-08
 3.585500e+04   2.200983e-06   2.976873e-08
 3.605700e+04   2.201584e-06   2.602600e-08
 3.625900e+04   2.264816e-06   3.156855e-08
 3.646100e+04   2.278078e-06   2.657137e-08
 3.666300e+04   2.310897e-06   2.831385e-08
 3.686500e+04   2.371440e-06   3.053429e-08
 3.706700e+04   2.279113e-06   2.884086e-08
 3.726900e+04   2.381929e-06   3.328695e-08
 3.747100e+04   2.400642e-06   2.825633e-08
 3.767300e+04   2.442289e-06   3.246570e-08
 3.787500e+04   2.482082e-06   3.044208e-08
 3.807700e+04   2.407832e-06   2.864360e-08
 3.827900e+04   2.517221e-06   2.593038e-08
 3.848100e+04   2.562443e-06   2.989744e-08
 3.868300e+04   2.574393e-06   3.172603e-08
 3.888500e+04   2.539439e-06   2.838189e-08
 3.908700e+04   2.582239e-06   3.099707e-08
 3.928900e+04   2.614701e-06   3.209105e-08
 3.949100e+04   2.694890e-06   2.827559e-08
 3.969300e+04   2.690388e-06   3.094760e-08
 3.989500e+04   2.719598e-06   2.838477e-08
 4.009700e+04   2.715932e-06   2.737944e-08
 4.029900e+04   2.811551e-06   3.195598e-08
 4.050100e+04   2.766683e-06   2.663746e-08
 4.070300e+04   2.827354e-06   3.081771e-08
 4.090500e+04   2.805878e-06   2.900399e-08
 4.110700e+04   2.891833e-06   3.219521e-08
 4.130900e+04   2.956263e-06   3.320542e-08
 4.151100e+04   2.871706e-06   3.020627e-08
 4.171300e+04   2.978156e-06   3.076120e-08
 4.191500e+04   2.975430e-06   3.920427e-08
 4.211700e+04   3.029096e-06   3.246804e-08
 4.231900e+04   3.052422e-06   3.249582e-08
 4.252100e+04   3.087386e-06   3.777670e-08
 4.272300e+04   3.104172e-06   3.533586e-08
 4.292500e+04   3.109534e-06   3.518122e-08
 4.312700e+04   3.180597e-06   2.971560e-08
 4.332900e+04   3.235966e-06   3.270613e-08
 4.353100e+04   3.204906e-06   3.695976e-08
 4.373300e+04   3.269711e-06   3.313468e-08
 4.393500e+04   3.297658e-06   3.528127e-08
 4.413700e+04   3.357898e-06   4.062691e-08
 4.433900e+04   3.275745e-06   3.066532e-08
 4.454100e+04   3.350367e-06   3.305720e-08
 4.474300e+04   3.396013e-06   3.754019e-08
 4.494500e+04   3.363752e-06   3.370680e-08
 4.514700e+04   3.454946e-06   3.084740e-08
 4.534900e+04   3.543404e-06   3.860553e-08
 4.555100e+04   3.508249e-06   3.932935e-08
 4.575300e+04   3.543415e-06   3.077052e-08
 4.595500e+04   3.504930e-06   3.164955e-08
 4.615700e+04   3.549318e-06   3.230137e-08
 4.635900e+04   3.644366e-06   3.806694e-08
 4.656100e+04   3.625212e-06   3.388407e-08
 4.676300e+04   3.690262e-06   3.834727e-08
 4.696500e+04   3.758089e-06   4.217819e-08
 4.716700e+04   3.743564e-06   3.402771e-08
 4.736900e+04   3.775727e-06   3.648155e-08
 4.757100e+04   3.783998e-06   3.795881e-08
 4.777300e+04   3.861259e-06   3.696129e-08
 4.797500e+04   3.897444e-06   3.605246e-08
 4.817700e+04   3.924924e-06   3.690561e-08
 4.837900e+04   3.976746e-06   3.856878e-08
 4.858100e+04   3.932343e-06   4.120487e-08
 4.878300e+04   4.019885e-06   3.788642e-08
 4.898500e+04   4.056692e-06   3.677511e-08
 4.918700e+04   4.027936e-06   3.219031e-08
 4.938900e+04   4.065123e-06   3.424809e-08
 4.959100e+04   4.177525e-06   4.542709e-08
 4.979300e+04   4.150616e-06   3.642874e-08
 4.999500e+04   4.206073e-06   3.809800e-08
 5.019700e+04   4.265585e-06   3.678949e-08
 5.039900e+04   4.252811e-06   3.017190e-08
 5.060100e+04   4.349767e-06   4.190975e-08
 5.080300e+04   4.306937e-06   4.320466e-08
 5.100500e+04   4.368350e-06   3.443276e-08
 5.120700e+04   4.496739e-06   4.188935e-08
 5.140900e+04   4.559524e-06   4.240515e-08
 5.161100e+04   4.436829e-06   4.073392e-08
 5.181300e+04   4.509148e-06   3.771479e-08
 5.201500e+04   4.431371e-06   3.384325e-08
 5.221700e+04   4.536201e-06   3.356157e-08
 5.241900e+04   4.638561e-06   3.945728e-08
 5.262100e+04   4.656766e-06   3.702494e-08
 5.282300e+04   4.790540e-06   4.195400e-08
 5.302500e+04   4.695617e-06   3.569467e-08
 5.322700e+04   4.826038e-06   4.373780e-08
 5.342900e+04   4.776477e-06   4.147833e-08
 5.363100e+04   4.811000e-06   4.553153e-08
