Emu_lab bin centers    value    Error 
-inf   3.267596e-03   1.195495e-03
 9.500600e+04   1.348843e-08   1.257182e-08
 9.501800e+04   0.000000e+00   0.000000e+00
 9.503000e+04   0.000000e+00   0.000000e+00
 9.504200e+04   1.655231e-08   1.450449e-08
 9.505400e+04   7.839837e-08   6.006901e-08
 9.506600e+04   8.057124e-09   6.647363e-09
 9.507800e+04   6.800744e-08   4.765743e-08
 9.509000e+04   4.361058e-08   3.273321e-08
 9.510200e+04   4.476631e-08   3.139445e-08
 9.511400e+04   1.121725e-08   1.017481e-08
 9.512600e+04   0.000000e+00   0.000000e+00
 9.513800e+04   1.516880e-07   9.593263e-08
 9.515000e+04   1.464852e-10   1.460050e-10
 9.516200e+04   8.251541e-08   5.313420e-08
 9.517400e+04   0.000000e+00   0.000000e+00
 9.518600e+04   2.550876e-08   1.500831e-08
 9.519800e+04   4.787169e-08   2.932236e-08
 9.521000e+04   1.093682e-07   5.677235e-08
 9.522200e+04   3.327249e-08   2.394567e-08
 9.523400e+04   8.960343e-10   8.695444e-10
 9.524600e+04   2.863108e-08   1.765855e-08
 9.525800e+04   0.000000e+00   0.000000e+00
 9.527000e+04   1.088073e-08   8.669107e-09
 9.528200e+04   0.000000e+00   0.000000e+00
 9.529400e+04   6.005902e-09   5.761645e-09
 9.530600e+04   3.165395e-08   2.258548e-08
 9.531800e+04   5.840932e-08   3.350446e-08
 9.533000e+04   6.871841e-09   6.473338e-09
 9.534200e+04   4.240709e-08   2.114632e-08
 9.535400e+04   8.687627e-09   7.342618e-09
 9.536600e+04   7.572939e-08   4.188347e-08
 9.537800e+04   3.266932e-08   2.719043e-08
 9.539000e+04   3.418727e-08   2.413046e-08
 9.540200e+04   0.000000e+00   0.000000e+00
 9.541400e+04   1.709670e-07   1.040422e-07
 9.542600e+04   1.397357e-08   1.030116e-08
 9.543800e+04   0.000000e+00   0.000000e+00
 9.545000e+04   8.339934e-08   5.689906e-08
 9.546200e+04   7.095932e-09   6.820938e-09
 9.547400e+04   0.000000e+00   0.000000e+00
 9.548600e+04   5.691520e-08   4.421936e-08
 9.549800e+04   9.972399e-09   5.979006e-09
 9.551000e+04   0.000000e+00   0.000000e+00
 9.552200e+04   0.000000e+00   0.000000e+00
 9.553400e+04   0.000000e+00   0.000000e+00
 9.554600e+04   0.000000e+00   0.000000e+00
 9.555800e+04   1.126446e-07   6.247962e-08
 9.557000e+04   3.400693e-08   2.015336e-08
 9.558200e+04   2.848847e-08   2.073181e-08
 9.559400e+04   1.042937e-07   7.680780e-08
 9.560600e+04   2.553937e-08   1.998663e-08
 9.561800e+04   3.748568e-08   2.375102e-08
 9.563000e+04   8.325746e-08   5.887697e-08
 9.564200e+04   6.244429e-08   4.653644e-08
 9.565400e+04   1.344980e-08   1.239958e-08
 9.566600e+04   1.206908e-08   8.345582e-09
 9.567800e+04   9.354702e-09   7.072209e-09
 9.569000e+04   5.289283e-08   3.448122e-08
 9.570200e+04   5.289188e-08   4.299378e-08
 9.571400e+04   1.325125e-07   9.357557e-08
 9.572600e+04   0.000000e+00   0.000000e+00
 9.573800e+04   1.243809e-07   6.588670e-08
 9.575000e+04   1.748021e-10   1.745027e-10
 9.576200e+04   0.000000e+00   0.000000e+00
 9.577400e+04   0.000000e+00   0.000000e+00
 9.578600e+04   1.119616e-08   7.672440e-09
 9.579800e+04   0.000000e+00   0.000000e+00
 9.581000e+04   0.000000e+00   0.000000e+00
 9.582200e+04   0.000000e+00   0.000000e+00
 9.583400e+04   0.000000e+00   0.000000e+00
 9.584600e+04   3.892627e-08   2.352026e-08
 9.585800e+04   9.335678e-09   8.728662e-09
 9.587000e+04   7.800450e-08   4.979417e-08
 9.588200e+04   1.123456e-08   1.031096e-08
 9.589400e+04   2.329350e-07   1.192950e-07
 9.590600e+04   6.718554e-08   5.536294e-08
 9.591800e+04   1.831711e-07   1.122020e-07
 9.593000e+04   4.600836e-08   3.472262e-08
 9.594200e+04   1.890420e-08   1.229088e-08
 9.595400e+04   8.544775e-09   5.127863e-09
 9.596600e+04   2.065106e-08   1.764990e-08
 9.597800e+04   2.791250e-09   2.184312e-09
 9.599000e+04   8.456703e-10   8.355300e-10
 9.600200e+04   0.000000e+00   0.000000e+00
 9.601400e+04   1.634842e-07   1.039612e-07
 9.602600e+04   2.950265e-08   2.440196e-08
 9.603800e+04   2.287612e-08   2.007845e-08
 9.605000e+04   9.904104e-08   5.980698e-08
 9.606200e+04   4.837675e-08   3.331050e-08
 9.607400e+04   2.400738e-08   2.154826e-08
 9.608600e+04   8.385920e-08   4.877624e-08
 9.609800e+04   9.110460e-08   6.035452e-08
 9.611000e+04   3.985479e-07   2.732560e-07
 9.612200e+04   7.853459e-08   5.729159e-08
 9.613400e+04   1.700377e-08   1.390300e-08
 9.614600e+04   1.102947e-07   7.483180e-08
 9.615800e+04   9.319744e-08   6.595834e-08
 9.617000e+04   4.760230e-08   2.451150e-08
 9.618200e+04   1.985021e-08   1.806463e-08
 9.619400e+04   1.981218e-08   1.661636e-08
 9.620600e+04   1.532613e-07   1.196095e-07
 9.621800e+04   7.767211e-08   6.022084e-08
 9.623000e+04   6.721801e-08   5.176274e-08
 9.624200e+04   6.533391e-08   4.761739e-08
 9.625400e+04   1.989987e-07   1.276815e-07
 9.626600e+04   8.406098e-08   6.611674e-08
 9.627800e+04   2.856694e-08   2.075788e-08
 9.629000e+04   4.612630e-08   3.909997e-08
 9.630200e+04   4.404303e-08   2.853950e-08
 9.631400e+04   1.011572e-08   9.301913e-09
 9.632600e+04   4.747551e-08   4.195890e-08
 9.633800e+04   3.456006e-09   3.301033e-09
 9.635000e+04   2.860354e-07   1.898625e-07
 9.636200e+04   9.905647e-08   6.108920e-08
 9.637400e+04   4.823203e-08   2.749213e-08
 9.638600e+04   8.705668e-08   5.916185e-08
 9.639800e+04   5.499441e-08   3.432619e-08
 9.641000e+04   1.697050e-07   1.061942e-07
 9.642200e+04   1.764529e-07   1.312638e-07
 9.643400e+04   3.918800e-08   3.079199e-08
 9.644600e+04   1.590765e-07   1.002976e-07
 9.645800e+04   7.845599e-10   7.501512e-10
 9.647000e+04   2.005562e-10   2.002278e-10
 9.648200e+04   6.781164e-09   6.392195e-09
 9.649400e+04   4.249141e-08   3.511683e-08
 9.650600e+04   6.633491e-08   3.973475e-08
 9.651800e+04   4.352995e-08   2.907559e-08
 9.653000e+04   4.440861e-08   3.073610e-08
 9.654200e+04   2.963742e-08   2.399743e-08
 9.655400e+04   9.560457e-09   8.808386e-09
 9.656600e+04   5.882103e-08   4.015468e-08
 9.657800e+04   2.453234e-10   2.446004e-10
 9.659000e+04   1.193368e-07   7.279240e-08
 9.660200e+04   1.447441e-07   8.513033e-08
 9.661400e+04   7.407275e-08   5.250866e-08
 9.662600e+04   5.020831e-08   3.925425e-08
 9.663800e+04   1.675977e-08   1.348272e-08
 9.665000e+04   1.310726e-07   7.388594e-08
 9.666200e+04   6.231991e-08   4.978811e-08
 9.667400e+04   2.037509e-08   1.405081e-08
 9.668600e+04   2.648128e-08   1.688876e-08
 9.669800e+04   1.484853e-07   8.170148e-08
 9.671000e+04   6.900803e-08   4.459783e-08
 9.672200e+04   9.628608e-09   9.256659e-09
 9.673400e+04   4.813313e-08   3.123490e-08
 9.674600e+04   8.571334e-08   5.551793e-08
 9.675800e+04   2.317009e-09   2.286063e-09
 9.677000e+04   1.234123e-08   1.135346e-08
 9.678200e+04   3.132092e-08   2.909314e-08
 9.679400e+04   9.521606e-08   5.970124e-08
 9.680600e+04   5.720889e-08   3.183934e-08
 9.681800e+04   7.324459e-08   5.151417e-08
 9.683000e+04   8.342999e-08   6.854521e-08
 9.684200e+04   1.043328e-07   6.258697e-08
 9.685400e+04   3.726922e-09   3.372730e-09
 9.686600e+04   9.428124e-08   6.362817e-08
 9.687800e+04   1.087049e-07   7.581953e-08
 9.689000e+04   1.630403e-07   9.829295e-08
 9.690200e+04   3.757621e-08   2.655585e-08
 9.691400e+04   6.390431e-08   3.812282e-08
 9.692600e+04   1.910100e-07   9.533490e-08
 9.693800e+04   1.106279e-08   8.765269e-09
 9.695000e+04   6.105596e-10   6.084693e-10
 9.696200e+04   1.137999e-07   6.968225e-08
 9.697400e+04   2.241056e-07   1.247792e-07
 9.698600e+04   6.626538e-08   4.654801e-08
 9.699800e+04   2.366674e-07   1.508864e-07
 9.701000e+04   2.151958e-07   1.563657e-07
 9.702200e+04   9.679582e-08   6.707902e-08
 9.703400e+04   2.509828e-07   1.436358e-07
 9.704600e+04   3.470211e-08   2.687687e-08
 9.705800e+04   6.240505e-08   4.361766e-08
 9.707000e+04   8.801634e-08   5.591410e-08
 9.708200e+04   6.257423e-08   4.590301e-08
 9.709400e+04   1.116432e-07   7.076410e-08
 9.710600e+04   9.802798e-08   7.188082e-08
 9.711800e+04   8.678239e-08   6.110209e-08
 9.713000e+04   0.000000e+00   0.000000e+00
 9.714200e+04   7.446831e-08   5.189196e-08
 9.715400e+04   5.913918e-08   5.055246e-08
 9.716600e+04   1.681407e-07   9.450145e-08
 9.717800e+04   2.644634e-08   2.384708e-08
 9.719000e+04   8.969998e-08   7.448991e-08
 9.720200e+04   1.477252e-08   1.298062e-08
 9.721400e+04   4.769007e-08   2.966610e-08
 9.722600e+04   2.342404e-08   2.071443e-08
 9.723800e+04   1.608807e-07   9.944561e-08
 9.725000e+04   6.474958e-08   5.765335e-08
 9.726200e+04   3.252897e-08   2.269233e-08
 9.727400e+04   3.223144e-08   2.734744e-08
 9.728600e+04   2.867490e-08   1.981243e-08
 9.729800e+04   9.812656e-08   6.374048e-08
 9.731000e+04   5.263771e-08   4.030498e-08
 9.732200e+04   3.202210e-07   2.203978e-07
 9.733400e+04   2.839931e-08   2.136125e-08
 9.734600e+04   9.635189e-08   6.105258e-08
 9.735800e+04   5.440502e-08   4.359871e-08
 9.737000e+04   1.182017e-07   7.492360e-08
 9.738200e+04   3.308642e-07   1.810882e-07
 9.739400e+04   1.031074e-07   7.206909e-08
 9.740600e+04   1.195487e-07   6.833664e-08
 9.741800e+04   7.967518e-08   5.058775e-08
 9.743000e+04   3.899783e-07   2.328905e-07
 9.744200e+04   3.237675e-07   1.875457e-07
 9.745400e+04   1.014540e-07   7.028545e-08
 9.746600e+04   3.964368e-08   2.824478e-08
 9.747800e+04   1.025034e-07   7.055219e-08
 9.749000e+04   1.153962e-08   1.083613e-08
 9.750200e+04   1.835610e-07   1.212089e-07
 9.751400e+04   2.708942e-07   1.889697e-07
 9.752600e+04   3.192860e-07   1.736910e-07
 9.753800e+04   2.096955e-07   1.668084e-07
 9.755000e+04   2.553596e-08   2.366371e-08
 9.756200e+04   1.478664e-07   9.655090e-08
 9.757400e+04   4.048617e-08   3.002903e-08
 9.758600e+04   1.334261e-07   8.383283e-08
 9.759800e+04   1.304486e-07   8.747307e-08
 9.761000e+04   1.562909e-07   9.819547e-08
 9.762200e+04   1.427811e-07   7.921314e-08
 9.763400e+04   2.733882e-07   1.750673e-07
 9.764600e+04   1.553728e-07   9.860009e-08
 9.765800e+04   2.418667e-07   1.390551e-07
 9.767000e+04   3.141910e-08   2.577777e-08
 9.768200e+04   8.861638e-08   4.604005e-08
 9.769400e+04   3.163180e-08   2.932211e-08
 9.770600e+04   9.383337e-07   5.213805e-07
 9.771800e+04   9.194470e-08   7.068350e-08
 9.773000e+04   1.396307e-07   7.472824e-08
 9.774200e+04   1.380451e-07   8.367180e-08
 9.775400e+04   9.408608e-08   6.266491e-08
 9.776600e+04   1.427089e-07   9.593520e-08
 9.777800e+04   4.973056e-07   3.034737e-07
 9.779000e+04   1.178535e-07   9.151870e-08
 9.780200e+04   2.707440e-07   1.986341e-07
 9.781400e+04   1.112376e-07   7.173087e-08
 9.782600e+04   7.561814e-08   6.255448e-08
 9.783800e+04   3.099270e-07   2.138433e-07
 9.785000e+04   1.871285e-07   1.293826e-07
 9.786200e+04   2.521679e-07   1.643900e-07
 9.787400e+04   3.269036e-07   2.680887e-07
 9.788600e+04   2.009047e-07   1.312640e-07
 9.789800e+04   8.323243e-08   6.052124e-08
 9.791000e+04   1.477314e-07   8.059923e-08
 9.792200e+04   2.191873e-07   1.209661e-07
 9.793400e+04   1.497724e-07   1.051244e-07
 9.794600e+04   1.567161e-07   9.136046e-08
 9.795800e+04   1.027228e-07   7.418950e-08
 9.797000e+04   2.800915e-07   1.676153e-07
 9.798200e+04   1.515080e-07   1.016272e-07
 9.799400e+04   2.863782e-07   1.737392e-07
 9.800600e+04   2.229957e-07   1.282175e-07
 9.801800e+04   1.542565e-07   9.072545e-08
 9.803000e+04   2.183602e-07   1.456208e-07
 9.804200e+04   3.889976e-07   2.267332e-07
 9.805400e+04   2.318235e-07   1.860684e-07
 9.806600e+04   4.202710e-08   3.438669e-08
 9.807800e+04   1.499250e-07   1.165124e-07
 9.809000e+04   2.731924e-07   1.438519e-07
 9.810200e+04   1.593323e-07   1.057250e-07
 9.811400e+04   9.517805e-08   7.022580e-08
 9.812600e+04   1.943596e-07   1.196462e-07
 9.813800e+04   1.450577e-07   1.081654e-07
 9.815000e+04   3.355813e-07   1.892159e-07
 9.816200e+04   3.046807e-07   2.002859e-07
 9.817400e+04   7.519839e-08   5.431243e-08
 9.818600e+04   1.980731e-07   1.326278e-07
 9.819800e+04   3.516973e-07   1.727559e-07
 9.821000e+04   4.001252e-07   2.291956e-07
 9.822200e+04   3.009118e-07   1.536609e-07
 9.823400e+04   7.965828e-08   6.613130e-08
 9.824600e+04   1.073139e-07   8.273733e-08
 9.825800e+04   2.876603e-08   2.336625e-08
 9.827000e+04   8.202824e-08   6.272001e-08
 9.828200e+04   3.165069e-07   2.168726e-07
 9.829400e+04   2.725566e-07   1.800439e-07
 9.830600e+04   8.754254e-08   4.994477e-08
 9.831800e+04   1.224705e-07   8.752987e-08
 9.833000e+04   1.493338e-07   1.277203e-07
 9.834200e+04   2.126403e-07   1.592009e-07
 9.835400e+04   3.520567e-07   1.998394e-07
 9.836600e+04   7.658952e-08   6.261594e-08
 9.837800e+04   6.393292e-07   4.129840e-07
 9.839000e+04   1.134283e-07   8.192020e-08
 9.840200e+04   6.767292e-07   4.853705e-07
 9.841400e+04   3.676939e-07   2.157665e-07
 9.842600e+04   8.706765e-07   4.787097e-07
 9.843800e+04   2.294581e-07   1.487266e-07
 9.845000e+04   3.895573e-08   3.493113e-08
 9.846200e+04   1.700210e-07   1.351220e-07
 9.847400e+04   3.047225e-07   1.984407e-07
 9.848600e+04   5.644363e-08   4.992287e-08
 9.849800e+04   6.609925e-07   3.526933e-07
 9.851000e+04   3.135246e-07   1.910148e-07
 9.852200e+04   1.025686e-07   8.432016e-08
 9.853400e+04   8.865177e-08   8.072751e-08
 9.854600e+04   2.770549e-07   2.018289e-07
 9.855800e+04   1.941492e-07   1.006286e-07
 9.857000e+04   3.694205e-07   2.162776e-07
 9.858200e+04   3.411972e-07   2.249354e-07
 9.859400e+04   1.082255e-07   7.270383e-08
 9.860600e+04   2.464337e-07   1.891277e-07
 9.861800e+04   1.529524e-06   8.583436e-07
 9.863000e+04   1.349127e-06   7.173020e-07
 9.864200e+04   1.331413e-07   1.112091e-07
 9.865400e+04   1.697414e-07   1.347200e-07
 9.866600e+04   2.854854e-07   1.845140e-07
 9.867800e+04   1.053999e-07   7.969498e-08
 9.869000e+04   2.715115e-07   1.951158e-07
 9.870200e+04   2.962604e-07   2.084144e-07
 9.871400e+04   1.011121e-06   5.915603e-07
 9.872600e+04   1.013152e-06   5.483154e-07
 9.873800e+04   4.880044e-07   2.792634e-07
 9.875000e+04   6.834373e-08   5.843415e-08
 9.876200e+04   2.409938e-07   1.654635e-07
 9.877400e+04   7.769932e-07   4.396452e-07
 9.878600e+04   1.575449e-07   1.233724e-07
 9.879800e+04   5.452121e-07   3.275883e-07
 9.881000e+04   6.766294e-08   6.324893e-08
 9.882200e+04   3.410495e-07   2.256701e-07
 9.883400e+04   9.472921e-08   7.330474e-08
 9.884600e+04   3.912984e-07   2.503984e-07
 9.885800e+04   3.376719e-07   2.334833e-07
 9.887000e+04   1.405550e-07   1.127744e-07
 9.888200e+04   9.925480e-07   4.840545e-07
 9.889400e+04   1.989673e-06   1.069461e-06
 9.890600e+04   4.830883e-07   2.555422e-07
 9.891800e+04   2.878087e-07   1.701903e-07
 9.893000e+04   9.206794e-07   5.468649e-07
 9.894200e+04   2.100338e-07   1.384448e-07
 9.895400e+04   5.503476e-07   3.283610e-07
 9.896600e+04   1.713331e-07   1.373209e-07
 9.897800e+04   1.820757e-07   1.508462e-07
 9.899000e+04   3.433166e-07   2.030320e-07
 9.900200e+04   0.000000e+00   0.000000e+00
 9.901400e+04   0.000000e+00   0.000000e+00
 9.902600e+04   0.000000e+00   0.000000e+00
 9.903800e+04   0.000000e+00   0.000000e+00
 9.905000e+04   0.000000e+00   0.000000e+00
 9.906200e+04   0.000000e+00   0.000000e+00
 9.907400e+04   0.000000e+00   0.000000e+00
 9.908600e+04   0.000000e+00   0.000000e+00
 9.909800e+04   0.000000e+00   0.000000e+00
 9.911000e+04   0.000000e+00   0.000000e+00
 9.912200e+04   0.000000e+00   0.000000e+00
 9.913400e+04   0.000000e+00   0.000000e+00
 9.914600e+04   0.000000e+00   0.000000e+00
 9.915800e+04   0.000000e+00   0.000000e+00
 9.917000e+04   0.000000e+00   0.000000e+00
 9.918200e+04   0.000000e+00   0.000000e+00
 9.919400e+04   0.000000e+00   0.000000e+00
 9.920600e+04   0.000000e+00   0.000000e+00
 9.921800e+04   0.000000e+00   0.000000e+00
 9.923000e+04   0.000000e+00   0.000000e+00
 9.924200e+04   0.000000e+00   0.000000e+00
 9.925400e+04   0.000000e+00   0.000000e+00
 9.926600e+04   0.000000e+00   0.000000e+00
 9.927800e+04   0.000000e+00   0.000000e+00
 9.929000e+04   0.000000e+00   0.000000e+00
 9.930200e+04   0.000000e+00   0.000000e+00
 9.931400e+04   0.000000e+00   0.000000e+00
 9.932600e+04   0.000000e+00   0.000000e+00
 9.933800e+04   0.000000e+00   0.000000e+00
 9.935000e+04   0.000000e+00   0.000000e+00
 9.936200e+04   0.000000e+00   0.000000e+00
 9.937400e+04   0.000000e+00   0.000000e+00
 9.938600e+04   0.000000e+00   0.000000e+00
 9.939800e+04   0.000000e+00   0.000000e+00
 9.941000e+04   0.000000e+00   0.000000e+00
 9.942200e+04   0.000000e+00   0.000000e+00
 9.943400e+04   0.000000e+00   0.000000e+00
 9.944600e+04   0.000000e+00   0.000000e+00
 9.945800e+04   0.000000e+00   0.000000e+00
 9.947000e+04   0.000000e+00   0.000000e+00
 9.948200e+04   0.000000e+00   0.000000e+00
 9.949400e+04   0.000000e+00   0.000000e+00
 9.950600e+04   0.000000e+00   0.000000e+00
 9.951800e+04   0.000000e+00   0.000000e+00
 9.953000e+04   0.000000e+00   0.000000e+00
 9.954200e+04   0.000000e+00   0.000000e+00
 9.955400e+04   0.000000e+00   0.000000e+00
 9.956600e+04   0.000000e+00   0.000000e+00
 9.957800e+04   0.000000e+00   0.000000e+00
 9.959000e+04   0.000000e+00   0.000000e+00
 9.960200e+04   0.000000e+00   0.000000e+00
 9.961400e+04   0.000000e+00   0.000000e+00
 9.962600e+04   0.000000e+00   0.000000e+00
 9.963800e+04   0.000000e+00   0.000000e+00
 9.965000e+04   0.000000e+00   0.000000e+00
