Emu_lab bin centers    value    Error 
-inf   1.572887e-03   1.268479e-03
 9.500600e+04   0.000000e+00   0.000000e+00
 9.501800e+04   0.000000e+00   0.000000e+00
 9.503000e+04   0.000000e+00   0.000000e+00
 9.504200e+04   2.157812e-07   2.157812e-07
 9.505400e+04   0.000000e+00   0.000000e+00
 9.506600e+04   0.000000e+00   0.000000e+00
 9.507800e+04   0.000000e+00   0.000000e+00
 9.509000e+04   0.000000e+00   0.000000e+00
 9.510200e+04   0.000000e+00   0.000000e+00
 9.511400e+04   0.000000e+00   0.000000e+00
 9.512600e+04   0.000000e+00   0.000000e+00
 9.513800e+04   0.000000e+00   0.000000e+00
 9.515000e+04   2.914206e-06   2.914206e-06
 9.516200e+04   0.000000e+00   0.000000e+00
 9.517400e+04   0.000000e+00   0.000000e+00
 9.518600e+04   0.000000e+00   0.000000e+00
 9.519800e+04   0.000000e+00   0.000000e+00
 9.521000e+04   1.893991e-05   1.893991e-05
 9.522200e+04   0.000000e+00   0.000000e+00
 9.523400e+04   0.000000e+00   0.000000e+00
 9.524600e+04   0.000000e+00   0.000000e+00
 9.525800e+04   0.000000e+00   0.000000e+00
 9.527000e+04   0.000000e+00   0.000000e+00
 9.528200e+04   0.000000e+00   0.000000e+00
 9.529400e+04   1.211662e-07   1.211662e-07
 9.530600e+04   0.000000e+00   0.000000e+00
 9.531800e+04   0.000000e+00   0.000000e+00
 9.533000e+04   0.000000e+00   0.000000e+00
 9.534200e+04   0.000000e+00   0.000000e+00
 9.535400e+04   0.000000e+00   0.000000e+00
 9.536600e+04   0.000000e+00   0.000000e+00
 9.537800e+04   0.000000e+00   0.000000e+00
 9.539000e+04   0.000000e+00   0.000000e+00
 9.540200e+04   0.000000e+00   0.000000e+00
 9.541400e+04   0.000000e+00   0.000000e+00
 9.542600e+04   0.000000e+00   0.000000e+00
 9.543800e+04   0.000000e+00   0.000000e+00
 9.545000e+04   0.000000e+00   0.000000e+00
 9.546200e+04   0.000000e+00   0.000000e+00
 9.547400e+04   0.000000e+00   0.000000e+00
 9.548600e+04   0.000000e+00   0.000000e+00
 9.549800e+04   0.000000e+00   0.000000e+00
 9.551000e+04   0.000000e+00   0.000000e+00
 9.552200e+04   0.000000e+00   0.000000e+00
 9.553400e+04   0.000000e+00   0.000000e+00
 9.554600e+04   0.000000e+00   0.000000e+00
 9.555800e+04   0.000000e+00   0.000000e+00
 9.557000e+04   0.000000e+00   0.000000e+00
 9.558200e+04   0.000000e+00   0.000000e+00
 9.559400e+04   0.000000e+00   0.000000e+00
 9.560600e+04   0.000000e+00   0.000000e+00
 9.561800e+04   0.000000e+00   0.000000e+00
 9.563000e+04   0.000000e+00   0.000000e+00
 9.564200e+04   0.000000e+00   0.000000e+00
 9.565400e+04   0.000000e+00   0.000000e+00
 9.566600e+04   0.000000e+00   0.000000e+00
 9.567800e+04   0.000000e+00   0.000000e+00
 9.569000e+04   0.000000e+00   0.000000e+00
 9.570200e+04   0.000000e+00   0.000000e+00
 9.571400e+04   0.000000e+00   0.000000e+00
 9.572600e+04   0.000000e+00   0.000000e+00
 9.573800e+04   0.000000e+00   0.000000e+00
 9.575000e+04   0.000000e+00   0.000000e+00
 9.576200e+04   0.000000e+00   0.000000e+00
 9.577400e+04   0.000000e+00   0.000000e+00
 9.578600e+04   0.000000e+00   0.000000e+00
 9.579800e+04   0.000000e+00   0.000000e+00
 9.581000e+04   0.000000e+00   0.000000e+00
 9.582200e+04   0.000000e+00   0.000000e+00
 9.583400e+04   0.000000e+00   0.000000e+00
