Emu_lab bin centers    value    Error 
-inf   7.575426e-03   3.250085e-03
 9.500600e+04   6.876219e-09   6.876219e-09
 9.501800e+04   8.046939e-07   5.392882e-07
 9.503000e+04   0.000000e+00   0.000000e+00
 9.504200e+04   0.000000e+00   0.000000e+00
 9.505400e+04   3.911916e-07   3.911916e-07
 9.506600e+04   0.000000e+00   0.000000e+00
 9.507800e+04   0.000000e+00   0.000000e+00
 9.509000e+04   0.000000e+00   0.000000e+00
 9.510200e+04   0.000000e+00   0.000000e+00
 9.511400e+04   0.000000e+00   0.000000e+00
 9.512600e+04   0.000000e+00   0.000000e+00
 9.513800e+04   8.323149e-08   8.323149e-08
 9.515000e+04   1.863347e-06   1.566065e-06
 9.516200e+04   0.000000e+00   0.000000e+00
 9.517400e+04   0.000000e+00   0.000000e+00
 9.518600e+04   0.000000e+00   0.000000e+00
 9.519800e+04   6.564517e-06   6.564517e-06
 9.521000e+04   2.727216e-06   2.021105e-06
 9.522200e+04   0.000000e+00   0.000000e+00
 9.523400e+04   1.480715e-07   1.480715e-07
 9.524600e+04   0.000000e+00   0.000000e+00
 9.525800e+04   0.000000e+00   0.000000e+00
 9.527000e+04   0.000000e+00   0.000000e+00
 9.528200e+04   0.000000e+00   0.000000e+00
 9.529400e+04   0.000000e+00   0.000000e+00
 9.530600e+04   0.000000e+00   0.000000e+00
 9.531800e+04   0.000000e+00   0.000000e+00
 9.533000e+04   0.000000e+00   0.000000e+00
 9.534200e+04   0.000000e+00   0.000000e+00
 9.535400e+04   2.763457e-08   2.763457e-08
 9.536600e+04   0.000000e+00   0.000000e+00
 9.537800e+04   2.279801e-09   2.279801e-09
 9.539000e+04   0.000000e+00   0.000000e+00
 9.540200e+04   1.580273e-06   1.580273e-06
 9.541400e+04   1.685657e-07   1.685657e-07
 9.542600e+04   0.000000e+00   0.000000e+00
 9.543800e+04   0.000000e+00   0.000000e+00
 9.545000e+04   0.000000e+00   0.000000e+00
 9.546200e+04   7.121663e-08   7.121663e-08
 9.547400e+04   0.000000e+00   0.000000e+00
 9.548600e+04   1.604884e-07   1.604884e-07
 9.549800e+04   1.160180e-06   1.117024e-06
 9.551000e+04   7.966202e-08   7.966202e-08
 9.552200e+04   0.000000e+00   0.000000e+00
 9.553400e+04   2.876755e-06   2.876755e-06
 9.554600e+04   0.000000e+00   0.000000e+00
 9.555800e+04   0.000000e+00   0.000000e+00
 9.557000e+04   8.631531e-07   8.631531e-07
 9.558200e+04   9.766556e-07   9.494322e-07
 9.559400e+04   3.443236e-06   3.443236e-06
 9.560600e+04   9.386523e-07   9.386523e-07
 9.561800e+04   7.567792e-07   7.567792e-07
 9.563000e+04   2.320700e-07   2.320700e-07
 9.564200e+04   5.747511e-06   5.386754e-06
 9.565400e+04   0.000000e+00   0.000000e+00
 9.566600e+04   2.719134e-07   2.719134e-07
 9.567800e+04   3.590803e-07   3.590803e-07
 9.569000e+04   0.000000e+00   0.000000e+00
 9.570200e+04   0.000000e+00   0.000000e+00
 9.571400e+04   2.096972e-07   2.096972e-07
 9.572600e+04   1.528447e-07   1.200020e-07
 9.573800e+04   0.000000e+00   0.000000e+00
 9.575000e+04   1.830534e-06   1.793868e-06
 9.576200e+04   0.000000e+00   0.000000e+00
 9.577400e+04   2.225473e-07   2.225473e-07
 9.578600e+04   0.000000e+00   0.000000e+00
 9.579800e+04   1.824570e-06   1.824570e-06
 9.581000e+04   0.000000e+00   0.000000e+00
 9.582200e+04   1.363768e-06   9.743051e-07
 9.583400e+04   0.000000e+00   0.000000e+00
 9.584600e+04   3.317088e-07   3.317088e-07
 9.585800e+04   7.311495e-07   6.689557e-07
 9.587000e+04   2.024216e-08   2.024216e-08
 9.588200e+04   1.953694e-06   1.953694e-06
 9.589400e+04   7.348313e-09   7.348313e-09
 9.590600e+04   1.632140e-08   1.632140e-08
 9.591800e+04   8.710993e-08   8.710993e-08
 9.593000e+04   1.234768e-08   1.234768e-08
 9.594200e+04   9.767831e-07   9.767831e-07
 9.595400e+04   2.078758e-06   2.078758e-06
 9.596600e+04   0.000000e+00   0.000000e+00
 9.597800e+04   0.000000e+00   0.000000e+00
 9.599000e+04   0.000000e+00   0.000000e+00
 9.600200e+04   0.000000e+00   0.000000e+00
 9.601400e+04   0.000000e+00   0.000000e+00
 9.602600e+04   7.435587e-07   7.435587e-07
 9.603800e+04   8.104632e-08   8.104632e-08
 9.605000e+04   1.720949e-07   1.720949e-07
 9.606200e+04   1.539570e-07   1.539570e-07
 9.607400e+04   0.000000e+00   0.000000e+00
 9.608600e+04   1.371770e-08   1.371770e-08
 9.609800e+04   0.000000e+00   0.000000e+00
 9.611000e+04   0.000000e+00   0.000000e+00
 9.612200e+04   0.000000e+00   0.000000e+00
 9.613400e+04   1.805566e-08   1.805566e-08
 9.614600e+04   1.928082e-07   1.928082e-07
 9.615800e+04   0.000000e+00   0.000000e+00
 9.617000e+04   4.442883e-07   4.442883e-07
 9.618200e+04   0.000000e+00   0.000000e+00
 9.619400e+04   6.373153e-08   6.373153e-08
 9.620600e+04   1.641133e-07   1.641133e-07
 9.621800e+04   7.754589e-09   7.754589e-09
 9.623000e+04   0.000000e+00   0.000000e+00
 9.624200e+04   6.998866e-07   5.836359e-07
 9.625400e+04   1.347455e-07   1.347455e-07
 9.626600e+04   0.000000e+00   0.000000e+00
