Emu_lab bin centers    value    Error 
-inf   4.061962e-03   1.760366e-03
 9.500600e+04   0.000000e+00   0.000000e+00
 9.501800e+04   5.532393e-07   2.881710e-07
 9.503000e+04   3.172383e-09   3.113355e-09
 9.504200e+04   5.180108e-07   2.957276e-07
 9.505400e+04   2.066668e-07   1.296382e-07
 9.506600e+04   3.770291e-07   2.153490e-07
 9.507800e+04   6.248583e-10   6.234904e-10
 9.509000e+04   0.000000e+00   0.000000e+00
 9.510200e+04   2.266865e-08   2.047393e-08
 9.511400e+04   3.909990e-08   2.598762e-08
 9.512600e+04   5.868831e-08   5.054034e-08
 9.513800e+04   3.234579e-07   1.611509e-07
 9.515000e+04   1.522215e-08   1.177331e-08
 9.516200e+04   8.804613e-09   8.325032e-09
 9.517400e+04   1.161080e-08   7.694045e-09
 9.518600e+04   1.308340e-07   8.410785e-08
 9.519800e+04   5.720963e-07   3.241495e-07
 9.521000e+04   4.013251e-07   1.937293e-07
 9.522200e+04   6.717871e-08   5.466008e-08
 9.523400e+04   2.036414e-08   1.366711e-08
 9.524600e+04   1.849310e-07   1.225731e-07
 9.525800e+04   6.879616e-08   3.866080e-08
 9.527000e+04   5.993426e-09   4.501313e-09
 9.528200e+04   3.730406e-07   2.042528e-07
 9.529400e+04   1.643573e-07   1.231885e-07
 9.530600e+04   5.138184e-07   2.677687e-07
 9.531800e+04   1.542075e-07   8.422164e-08
 9.533000e+04   9.527739e-08   6.362331e-08
 9.534200e+04   2.944112e-07   1.678355e-07
 9.535400e+04   4.511392e-07   2.339041e-07
 9.536600e+04   7.774644e-08   5.380435e-08
 9.537800e+04   1.749183e-07   1.260584e-07
 9.539000e+04   6.639072e-07   3.410848e-07
 9.540200e+04   9.785381e-08   7.101360e-08
 9.541400e+04   1.412206e-08   1.268514e-08
 9.542600e+04   8.912449e-08   6.434455e-08
 9.543800e+04   3.080007e-07   1.778156e-07
 9.545000e+04   8.071672e-08   6.060381e-08
 9.546200e+04   1.566053e-07   1.296568e-07
 9.547400e+04   1.008257e-07   6.873658e-08
 9.548600e+04   2.838895e-08   1.900019e-08
 9.549800e+04   1.497727e-07   1.174454e-07
 9.551000e+04   1.055812e-07   7.549790e-08
 9.552200e+04   5.977341e-08   3.600513e-08
 9.553400e+04   6.307720e-07   3.745726e-07
 9.554600e+04   3.886191e-08   3.285942e-08
 9.555800e+04   4.781936e-07   3.320679e-07
 9.557000e+04   4.504647e-07   2.939297e-07
 9.558200e+04   3.113670e-07   1.532340e-07
 9.559400e+04   3.825201e-08   3.064191e-08
 9.560600e+04   4.085576e-08   3.388067e-08
 9.561800e+04   3.910107e-07   2.492482e-07
 9.563000e+04   4.774263e-07   2.505654e-07
 9.564200e+04   5.935575e-07   3.255554e-07
 9.565400e+04   5.020333e-08   3.216473e-08
 9.566600e+04   3.894040e-07   1.785827e-07
 9.567800e+04   2.003439e-10   1.996765e-10
 9.569000e+04   5.378683e-07   3.014869e-07
