Emu_lab bin centers    value    Error 
-inf   3.200199e-01   1.011690e-03
 9.500600e+04   2.217166e-05   3.641004e-07
 9.501800e+04   2.211284e-05   2.900902e-07
 9.503000e+04   2.269811e-05   3.433409e-07
 9.504200e+04   2.209099e-05   3.080205e-07
 9.505400e+04   2.215810e-05   4.559422e-07
 9.506600e+04   2.307131e-05   4.426999e-07
 9.507800e+04   2.272468e-05   3.252499e-07
 9.509000e+04   2.233542e-05   4.392246e-07
 9.510200e+04   2.222158e-05   2.949925e-07
 9.511400e+04   2.190701e-05   2.856210e-07
 9.512600e+04   2.216748e-05   3.349739e-07
 9.513800e+04   2.227247e-05   2.973834e-07
 9.515000e+04   2.259453e-05   4.368742e-07
 9.516200e+04   2.250465e-05   3.055731e-07
 9.517400e+04   2.224968e-05   2.983017e-07
 9.518600e+04   2.299909e-05   2.659739e-07
 9.519800e+04   2.317501e-05   3.419737e-07
 9.521000e+04   2.311147e-05   4.395479e-07
 9.522200e+04   2.305413e-05   2.960259e-07
 9.523400e+04   2.358673e-05   3.561997e-07
 9.524600e+04   2.322674e-05   2.237260e-07
 9.525800e+04   2.317441e-05   3.083358e-07
 9.527000e+04   2.311395e-05   2.957254e-07
 9.528200e+04   2.286597e-05   5.507349e-07
 9.529400e+04   2.272060e-05   2.598813e-07
 9.530600e+04   2.323567e-05   2.980801e-07
 9.531800e+04   2.358321e-05   3.342112e-07
 9.533000e+04   2.311451e-05   3.854443e-07
 9.534200e+04   2.342656e-05   3.260572e-07
 9.535400e+04   2.300835e-05   4.211066e-07
 9.536600e+04   2.423708e-05   3.743607e-07
 9.537800e+04   2.364225e-05   3.291190e-07
 9.539000e+04   2.293940e-05   3.394859e-07
 9.540200e+04   2.348478e-05   4.591046e-07
 9.541400e+04   2.383631e-05   4.392499e-07
 9.542600e+04   2.378449e-05   3.012099e-07
 9.543800e+04   2.442644e-05   3.888892e-07
 9.545000e+04   2.361087e-05   2.922735e-07
 9.546200e+04   2.424497e-05   3.312556e-07
 9.547400e+04   2.389511e-05   2.915278e-07
 9.548600e+04   2.430674e-05   4.228068e-07
 9.549800e+04   2.470206e-05   4.408597e-07
 9.551000e+04   2.416604e-05   4.732009e-07
 9.552200e+04   2.386933e-05   4.114563e-07
 9.553400e+04   2.427953e-05   3.628127e-07
 9.554600e+04   2.446177e-05   3.456729e-07
 9.555800e+04   2.538399e-05   5.228864e-07
 9.557000e+04   2.427421e-05   3.917055e-07
 9.558200e+04   2.486926e-05   4.714505e-07
 9.559400e+04   2.503065e-05   5.755556e-07
 9.560600e+04   2.505547e-05   3.990287e-07
 9.561800e+04   2.549133e-05   3.546517e-07
 9.563000e+04   2.454022e-05   3.191282e-07
 9.564200e+04   2.524320e-05   4.764336e-07
 9.565400e+04   2.500530e-05   4.315602e-07
 9.566600e+04   2.458345e-05   4.685163e-07
 9.567800e+04   2.495202e-05   2.836360e-07
 9.569000e+04   2.452456e-05   3.509391e-07
 9.570200e+04   2.457772e-05   3.477729e-07
 9.571400e+04   2.598560e-05   4.779794e-07
 9.572600e+04   2.534343e-05   4.163793e-07
 9.573800e+04   2.529295e-05   3.518347e-07
 9.575000e+04   2.550377e-05   4.931375e-07
 9.576200e+04   2.646427e-05   5.966304e-07
 9.577400e+04   2.490202e-05   3.610173e-07
 9.578600e+04   2.495291e-05   4.048024e-07
 9.579800e+04   2.601883e-05   3.765779e-07
 9.581000e+04   2.605452e-05   4.105447e-07
 9.582200e+04   2.501113e-05   2.911729e-07
 9.583400e+04   2.680497e-05   3.871250e-07
 9.584600e+04   2.610290e-05   4.268712e-07
 9.585800e+04   2.686327e-05   4.398087e-07
 9.587000e+04   2.570845e-05   2.847039e-07
 9.588200e+04   2.642156e-05   3.520912e-07
 9.589400e+04   2.636611e-05   4.267403e-07
 9.590600e+04   2.700749e-05   5.806005e-07
 9.591800e+04   2.630273e-05   4.906436e-07
 9.593000e+04   2.684937e-05   4.375268e-07
 9.594200e+04   2.646026e-05   3.931801e-07
 9.595400e+04   2.617869e-05   2.902068e-07
 9.596600e+04   2.640403e-05   3.214141e-07
 9.597800e+04   2.560557e-05   2.586751e-07
 9.599000e+04   2.688214e-05   3.935467e-07
 9.600200e+04   2.733102e-05   4.319948e-07
 9.601400e+04   2.757238e-05   4.512999e-07
 9.602600e+04   2.633114e-05   3.365641e-07
 9.603800e+04   2.632150e-05   4.278686e-07
 9.605000e+04   2.719178e-05   3.727798e-07
 9.606200e+04   2.785886e-05   5.580736e-07
 9.607400e+04   2.779230e-05   3.790274e-07
 9.608600e+04   2.752087e-05   3.703650e-07
 9.609800e+04   2.733732e-05   4.028132e-07
 9.611000e+04   2.733529e-05   4.224695e-07
 9.612200e+04   2.669863e-05   4.212292e-07
 9.613400e+04   2.772030e-05   3.143314e-07
 9.614600e+04   2.760192e-05   3.996371e-07
 9.615800e+04   2.679689e-05   3.643200e-07
 9.617000e+04   2.782293e-05   3.728540e-07
 9.618200e+04   2.831289e-05   4.661419e-07
 9.619400e+04   2.760960e-05   4.766370e-07
 9.620600e+04   2.780651e-05   4.673391e-07
 9.621800e+04   2.865032e-05   4.715550e-07
 9.623000e+04   2.860558e-05   4.433720e-07
 9.624200e+04   2.845295e-05   4.069522e-07
 9.625400e+04   2.919709e-05   6.400448e-07
 9.626600e+04   2.831224e-05   3.527592e-07
 9.627800e+04   2.962793e-05   5.183886e-07
 9.629000e+04   2.942134e-05   4.393855e-07
 9.630200e+04   2.812448e-05   6.646378e-07
 9.631400e+04   2.989587e-05   4.112951e-07
 9.632600e+04   2.919685e-05   3.163112e-07
 9.633800e+04   2.890989e-05   3.838754e-07
 9.635000e+04   2.944509e-05   4.584367e-07
 9.636200e+04   2.985367e-05   3.989235e-07
 9.637400e+04   3.018001e-05   3.669242e-07
 9.638600e+04   2.988517e-05   4.993127e-07
 9.639800e+04   2.965391e-05   4.375793e-07
 9.641000e+04   2.987392e-05   3.479201e-07
 9.642200e+04   2.886935e-05   4.606418e-07
 9.643400e+04   3.076407e-05   4.647045e-07
 9.644600e+04   3.056781e-05   4.796267e-07
 9.645800e+04   2.936960e-05   5.071598e-07
 9.647000e+04   3.035059e-05   4.807795e-07
 9.648200e+04   2.983792e-05   6.622013e-07
 9.649400e+04   3.039706e-05   4.002266e-07
 9.650600e+04   3.109556e-05   4.321886e-07
 9.651800e+04   3.120788e-05   3.807111e-07
 9.653000e+04   3.162536e-05   4.809011e-07
 9.654200e+04   3.058057e-05   3.852743e-07
 9.655400e+04   3.084492e-05   3.745450e-07
 9.656600e+04   3.153325e-05   4.223249e-07
 9.657800e+04   3.119507e-05   5.433573e-07
 9.659000e+04   3.072910e-05   3.706885e-07
 9.660200e+04   3.127037e-05   3.909759e-07
 9.661400e+04   3.146803e-05   3.287386e-07
 9.662600e+04   3.140746e-05   4.035300e-07
 9.663800e+04   3.219648e-05   4.888001e-07
 9.665000e+04   3.183800e-05   3.715842e-07
 9.666200e+04   3.127138e-05   3.868494e-07
 9.667400e+04   3.248822e-05   4.505903e-07
 9.668600e+04   3.265642e-05   6.461938e-07
 9.669800e+04   3.219983e-05   4.787724e-07
 9.671000e+04   3.273762e-05   5.057672e-07
 9.672200e+04   3.215283e-05   5.212526e-07
 9.673400e+04   3.296806e-05   5.796769e-07
 9.674600e+04   3.354711e-05   6.076015e-07
 9.675800e+04   3.444940e-05   5.138233e-07
 9.677000e+04   3.272253e-05   3.496467e-07
 9.678200e+04   3.351036e-05   4.882018e-07
 9.679400e+04   3.342266e-05   5.096211e-07
 9.680600e+04   3.324587e-05   4.908802e-07
 9.681800e+04   3.412047e-05   4.929000e-07
 9.683000e+04   3.390902e-05   4.588962e-07
 9.684200e+04   3.451842e-05   4.782314e-07
 9.685400e+04   3.475153e-05   4.986455e-07
 9.686600e+04   3.350311e-05   5.359417e-07
 9.687800e+04   3.425635e-05   4.752225e-07
 9.689000e+04   3.473321e-05   6.808681e-07
 9.690200e+04   3.453171e-05   5.820742e-07
 9.691400e+04   3.481072e-05   4.233822e-07
 9.692600e+04   3.459348e-05   3.096011e-07
 9.693800e+04   3.524204e-05   5.349143e-07
 9.695000e+04   3.395289e-05   4.565183e-07
 9.696200e+04   3.458533e-05   3.695600e-07
 9.697400e+04   3.563947e-05   4.131040e-07
 9.698600e+04   3.594786e-05   4.556019e-07
 9.699800e+04   3.520063e-05   5.307630e-07
 9.701000e+04   3.517359e-05   5.331030e-07
 9.702200e+04   3.517233e-05   5.391057e-07
 9.703400e+04   3.491122e-05   4.012849e-07
