Emu_lab bin centers    value    Error 
-inf   3.371837e-01   3.011435e-04
 9.500600e+04   2.480390e-05   3.170418e-07
 9.501800e+04   2.505305e-05   3.327644e-07
 9.503000e+04   2.607942e-05   4.586385e-07
 9.504200e+04   2.476678e-05   3.119838e-07
 9.505400e+04   2.514835e-05   2.814989e-07
 9.506600e+04   2.531747e-05   2.765796e-07
 9.507800e+04   2.509366e-05   2.961995e-07
 9.509000e+04   2.541939e-05   3.460530e-07
 9.510200e+04   2.487435e-05   2.279460e-07
 9.511400e+04   2.522069e-05   3.297121e-07
 9.512600e+04   2.532557e-05   3.325738e-07
 9.513800e+04   2.504182e-05   3.323501e-07
 9.515000e+04   2.520786e-05   3.310982e-07
 9.516200e+04   2.527955e-05   2.355585e-07
 9.517400e+04   2.638373e-05   3.610682e-07
 9.518600e+04   2.540389e-05   2.992578e-07
 9.519800e+04   2.630956e-05   4.166685e-07
 9.521000e+04   2.630196e-05   3.569625e-07
 9.522200e+04   2.559214e-05   3.878743e-07
 9.523400e+04   2.588575e-05   3.440197e-07
 9.524600e+04   2.663729e-05   4.121232e-07
 9.525800e+04   2.714006e-05   5.799205e-07
 9.527000e+04   2.566501e-05   3.110097e-07
 9.528200e+04   2.614146e-05   2.888684e-07
 9.529400e+04   2.656976e-05   3.573352e-07
 9.530600e+04   2.677732e-05   3.813722e-07
 9.531800e+04   2.597587e-05   3.220597e-07
 9.533000e+04   2.628454e-05   3.066784e-07
 9.534200e+04   2.764519e-05   4.204792e-07
 9.535400e+04   2.656835e-05   3.396927e-07
 9.536600e+04   2.653735e-05   3.654241e-07
 9.537800e+04   2.666328e-05   4.434167e-07
 9.539000e+04   2.635889e-05   4.177886e-07
 9.540200e+04   2.630028e-05   4.490605e-07
 9.541400e+04   2.681016e-05   3.836690e-07
 9.542600e+04   2.703448e-05   3.866774e-07
 9.543800e+04   2.668955e-05   3.839708e-07
 9.545000e+04   2.673901e-05   3.012502e-07
 9.546200e+04   2.672040e-05   3.759412e-07
 9.547400e+04   2.676082e-05   3.537227e-07
 9.548600e+04   2.705477e-05   3.207408e-07
 9.549800e+04   2.596490e-05   3.538424e-07
 9.551000e+04   2.740357e-05   4.117621e-07
 9.552200e+04   2.723713e-05   3.995870e-07
 9.553400e+04   2.719400e-05   4.004247e-07
 9.554600e+04   2.690930e-05   3.487403e-07
 9.555800e+04   2.809539e-05   2.473366e-07
 9.557000e+04   2.775706e-05   3.086886e-07
 9.558200e+04   2.725983e-05   4.086887e-07
 9.559400e+04   2.832168e-05   4.673027e-07
 9.560600e+04   2.789556e-05   3.286910e-07
 9.561800e+04   2.710193e-05   3.951083e-07
 9.563000e+04   2.697235e-05   3.715052e-07
 9.564200e+04   2.733894e-05   3.117090e-07
 9.565400e+04   2.773456e-05   3.578022e-07
 9.566600e+04   2.879742e-05   4.963731e-07
 9.567800e+04   2.780239e-05   3.174549e-07
 9.569000e+04   2.806073e-05   3.451963e-07
 9.570200e+04   2.845349e-05   3.921197e-07
 9.571400e+04   2.879892e-05   3.882987e-07
 9.572600e+04   2.886910e-05   3.462438e-07
 9.573800e+04   2.815905e-05   4.371208e-07
 9.575000e+04   2.762643e-05   1.950614e-07
 9.576200e+04   2.810272e-05   3.194831e-07
 9.577400e+04   2.803743e-05   3.149347e-07
 9.578600e+04   2.801006e-05   3.836553e-07
 9.579800e+04   2.872188e-05   3.983335e-07
 9.581000e+04   2.887612e-05   3.688401e-07
 9.582200e+04   2.913491e-05   4.288965e-07
 9.583400e+04   2.926148e-05   3.466579e-07
 9.584600e+04   2.860226e-05   3.385719e-07
 9.585800e+04   2.903058e-05   4.293977e-07
 9.587000e+04   2.914009e-05   3.532939e-07
 9.588200e+04   2.888527e-05   2.999911e-07
 9.589400e+04   2.983350e-05   3.718858e-07
 9.590600e+04   2.910603e-05   3.185891e-07
 9.591800e+04   2.939743e-05   3.885352e-07
 9.593000e+04   2.943432e-05   4.117668e-07
 9.594200e+04   2.904608e-05   4.694623e-07
 9.595400e+04   3.051474e-05   4.727047e-07
 9.596600e+04   3.012713e-05   3.996070e-07
 9.597800e+04   2.993038e-05   4.321698e-07
 9.599000e+04   3.000957e-05   3.995421e-07
 9.600200e+04   3.037341e-05   4.478187e-07
 9.601400e+04   2.990981e-05   5.024439e-07
 9.602600e+04   2.940560e-05   4.297751e-07
 9.603800e+04   3.016808e-05   3.125811e-07
 9.605000e+04   2.946078e-05   5.011120e-07
 9.606200e+04   2.969026e-05   4.910387e-07
 9.607400e+04   2.997682e-05   3.089087e-07
 9.608600e+04   3.093419e-05   5.141558e-07
 9.609800e+04   2.971267e-05   3.701575e-07
 9.611000e+04   3.107327e-05   4.401131e-07
 9.612200e+04   3.082568e-05   4.618733e-07
 9.613400e+04   3.121898e-05   3.921219e-07
 9.614600e+04   3.102107e-05   4.703060e-07
 9.615800e+04   2.994459e-05   4.755733e-07
 9.617000e+04   3.154115e-05   3.954424e-07
 9.618200e+04   3.120698e-05   4.038284e-07
 9.619400e+04   3.161742e-05   4.440607e-07
 9.620600e+04   3.103706e-05   3.677375e-07
 9.621800e+04   3.180632e-05   3.267262e-07
 9.623000e+04   3.153820e-05   3.503288e-07
 9.624200e+04   3.091278e-05   4.560772e-07
 9.625400e+04   3.165000e-05   3.769739e-07
 9.626600e+04   3.220364e-05   5.395163e-07
 9.627800e+04   3.171489e-05   4.442531e-07
 9.629000e+04   3.171865e-05   3.931144e-07
 9.630200e+04   3.192280e-05   3.964970e-07
 9.631400e+04   3.238398e-05   4.529322e-07
 9.632600e+04   3.199901e-05   3.740888e-07
 9.633800e+04   3.202144e-05   2.929226e-07
 9.635000e+04   3.210205e-05   4.745050e-07
 9.636200e+04   3.287991e-05   4.653600e-07
 9.637400e+04   3.298493e-05   3.987484e-07
 9.638600e+04   3.298310e-05   4.676819e-07
 9.639800e+04   3.260605e-05   4.594420e-07
 9.641000e+04   3.228761e-05   3.759951e-07
 9.642200e+04   3.273196e-05   5.931394e-07
 9.643400e+04   3.312396e-05   4.630628e-07
 9.644600e+04   3.334461e-05   4.869214e-07
 9.645800e+04   3.339498e-05   2.387381e-07
 9.647000e+04   3.366501e-05   3.746274e-07
 9.648200e+04   3.295568e-05   4.071454e-07
 9.649400e+04   3.406380e-05   4.122025e-07
 9.650600e+04   3.371941e-05   3.349844e-07
 9.651800e+04   3.407719e-05   4.052645e-07
 9.653000e+04   3.423603e-05   4.634206e-07
 9.654200e+04   3.435246e-05   4.751047e-07
 9.655400e+04   3.470494e-05   4.087370e-07
 9.656600e+04   3.492397e-05   4.271921e-07
 9.657800e+04   3.347258e-05   3.174878e-07
 9.659000e+04   3.434608e-05   3.301986e-07
 9.660200e+04   3.416377e-05   3.702929e-07
 9.661400e+04   3.548636e-05   6.090469e-07
 9.662600e+04   3.555218e-05   4.258716e-07
 9.663800e+04   3.457307e-05   5.926670e-07
 9.665000e+04   3.545163e-05   6.905967e-07
 9.666200e+04   3.494971e-05   4.305757e-07
 9.667400e+04   3.572158e-05   5.074321e-07
 9.668600e+04   3.539925e-05   4.613741e-07
 9.669800e+04   3.528747e-05   4.737030e-07
 9.671000e+04   3.562395e-05   4.656386e-07
 9.672200e+04   3.684952e-05   5.591099e-07
 9.673400e+04   3.524635e-05   3.834045e-07
 9.674600e+04   3.552787e-05   4.065017e-07
 9.675800e+04   3.590767e-05   6.106995e-07
 9.677000e+04   3.550931e-05   5.383906e-07
