Emu_cms_lab bin centers    value    Error 
-inf   3.286773e+00   2.484665e-04
 9.501500e+04   0.000000e+00   0.000000e+00
 9.504500e+04   0.000000e+00   0.000000e+00
 9.507500e+04   0.000000e+00   0.000000e+00
 9.510500e+04   0.000000e+00   0.000000e+00
 9.513500e+04   0.000000e+00   0.000000e+00
 9.516500e+04   0.000000e+00   0.000000e+00
 9.519500e+04   0.000000e+00   0.000000e+00
 9.522500e+04   0.000000e+00   0.000000e+00
 9.525500e+04   0.000000e+00   0.000000e+00
 9.528500e+04   0.000000e+00   0.000000e+00
 9.531500e+04   0.000000e+00   0.000000e+00
 9.534500e+04   0.000000e+00   0.000000e+00
 9.537500e+04   0.000000e+00   0.000000e+00
 9.540500e+04   0.000000e+00   0.000000e+00
 9.543500e+04   0.000000e+00   0.000000e+00
 9.546500e+04   0.000000e+00   0.000000e+00
 9.549500e+04   0.000000e+00   0.000000e+00
 9.552500e+04   0.000000e+00   0.000000e+00
 9.555500e+04   0.000000e+00   0.000000e+00
 9.558500e+04   0.000000e+00   0.000000e+00
 9.561500e+04   0.000000e+00   0.000000e+00
 9.564500e+04   0.000000e+00   0.000000e+00
 9.567500e+04   0.000000e+00   0.000000e+00
 9.570500e+04   0.000000e+00   0.000000e+00
 9.573500e+04   0.000000e+00   0.000000e+00
 9.576500e+04   0.000000e+00   0.000000e+00
 9.579500e+04   0.000000e+00   0.000000e+00
 9.582500e+04   0.000000e+00   0.000000e+00
 9.585500e+04   0.000000e+00   0.000000e+00
 9.588500e+04   0.000000e+00   0.000000e+00
 9.591500e+04   0.000000e+00   0.000000e+00
 9.594500e+04   0.000000e+00   0.000000e+00
 9.597500e+04   0.000000e+00   0.000000e+00
 9.600500e+04   0.000000e+00   0.000000e+00
 9.603500e+04   0.000000e+00   0.000000e+00
 9.606500e+04   0.000000e+00   0.000000e+00
 9.609500e+04   0.000000e+00   0.000000e+00
 9.612500e+04   0.000000e+00   0.000000e+00
 9.615500e+04   0.000000e+00   0.000000e+00
 9.618500e+04   0.000000e+00   0.000000e+00
 9.621500e+04   0.000000e+00   0.000000e+00
 9.624500e+04   0.000000e+00   0.000000e+00
 9.627500e+04   0.000000e+00   0.000000e+00
 9.630500e+04   0.000000e+00   0.000000e+00
 9.633500e+04   0.000000e+00   0.000000e+00
 9.636500e+04   0.000000e+00   0.000000e+00
 9.639500e+04   0.000000e+00   0.000000e+00
 9.642500e+04   0.000000e+00   0.000000e+00
 9.645500e+04   0.000000e+00   0.000000e+00
 9.648500e+04   0.000000e+00   0.000000e+00
 9.651500e+04   0.000000e+00   0.000000e+00
 9.654500e+04   0.000000e+00   0.000000e+00
 9.657500e+04   0.000000e+00   0.000000e+00
 9.660500e+04   0.000000e+00   0.000000e+00
 9.663500e+04   0.000000e+00   0.000000e+00
 9.666500e+04   0.000000e+00   0.000000e+00
 9.669500e+04   0.000000e+00   0.000000e+00
 9.672500e+04   0.000000e+00   0.000000e+00
 9.675500e+04   0.000000e+00   0.000000e+00
 9.678500e+04   0.000000e+00   0.000000e+00
 9.681500e+04   0.000000e+00   0.000000e+00
 9.684500e+04   0.000000e+00   0.000000e+00
 9.687500e+04   0.000000e+00   0.000000e+00
 9.690500e+04   0.000000e+00   0.000000e+00
 9.693500e+04   0.000000e+00   0.000000e+00
 9.696500e+04   0.000000e+00   0.000000e+00
 9.699500e+04   0.000000e+00   0.000000e+00
 9.702500e+04   0.000000e+00   0.000000e+00
 9.705500e+04   0.000000e+00   0.000000e+00
 9.708500e+04   0.000000e+00   0.000000e+00
 9.711500e+04   0.000000e+00   0.000000e+00
 9.714500e+04   0.000000e+00   0.000000e+00
 9.717500e+04   0.000000e+00   0.000000e+00
 9.720500e+04   0.000000e+00   0.000000e+00
 9.723500e+04   0.000000e+00   0.000000e+00
 9.726500e+04   0.000000e+00   0.000000e+00
 9.729500e+04   0.000000e+00   0.000000e+00
 9.732500e+04   0.000000e+00   0.000000e+00
 9.735500e+04   0.000000e+00   0.000000e+00
 9.738500e+04   0.000000e+00   0.000000e+00
 9.741500e+04   0.000000e+00   0.000000e+00
 9.744500e+04   0.000000e+00   0.000000e+00
 9.747500e+04   0.000000e+00   0.000000e+00
 9.750500e+04   0.000000e+00   0.000000e+00
 9.753500e+04   0.000000e+00   0.000000e+00
 9.756500e+04   0.000000e+00   0.000000e+00
 9.759500e+04   0.000000e+00   0.000000e+00
 9.762500e+04   0.000000e+00   0.000000e+00
 9.765500e+04   0.000000e+00   0.000000e+00
 9.768500e+04   0.000000e+00   0.000000e+00
 9.771500e+04   0.000000e+00   0.000000e+00
 9.774500e+04   0.000000e+00   0.000000e+00
 9.777500e+04   0.000000e+00   0.000000e+00
 9.780500e+04   0.000000e+00   0.000000e+00
 9.783500e+04   0.000000e+00   0.000000e+00
 9.786500e+04   0.000000e+00   0.000000e+00
 9.789500e+04   0.000000e+00   0.000000e+00
 9.792500e+04   0.000000e+00   0.000000e+00
 9.795500e+04   0.000000e+00   0.000000e+00
 9.798500e+04   0.000000e+00   0.000000e+00
 9.801500e+04   0.000000e+00   0.000000e+00
 9.804500e+04   0.000000e+00   0.000000e+00
 9.807500e+04   0.000000e+00   0.000000e+00
 9.810500e+04   0.000000e+00   0.000000e+00
 9.813500e+04   0.000000e+00   0.000000e+00
 9.816500e+04   0.000000e+00   0.000000e+00
 9.819500e+04   0.000000e+00   0.000000e+00
 9.822500e+04   0.000000e+00   0.000000e+00
 9.825500e+04   0.000000e+00   0.000000e+00
 9.828500e+04   0.000000e+00   0.000000e+00
 9.831500e+04   0.000000e+00   0.000000e+00
 9.834500e+04   0.000000e+00   0.000000e+00
 9.837500e+04   0.000000e+00   0.000000e+00
 9.840500e+04   0.000000e+00   0.000000e+00
 9.843500e+04   0.000000e+00   0.000000e+00
 9.846500e+04   0.000000e+00   0.000000e+00
 9.849500e+04   0.000000e+00   0.000000e+00
 9.852500e+04   0.000000e+00   0.000000e+00
 9.855500e+04   0.000000e+00   0.000000e+00
 9.858500e+04   0.000000e+00   0.000000e+00
 9.861500e+04   0.000000e+00   0.000000e+00
 9.864500e+04   0.000000e+00   0.000000e+00
 9.867500e+04   0.000000e+00   0.000000e+00
 9.870500e+04   0.000000e+00   0.000000e+00
 9.873500e+04   0.000000e+00   0.000000e+00
 9.876500e+04   0.000000e+00   0.000000e+00
 9.879500e+04   0.000000e+00   0.000000e+00
 9.882500e+04   0.000000e+00   0.000000e+00
 9.885500e+04   0.000000e+00   0.000000e+00
 9.888500e+04   0.000000e+00   0.000000e+00
 9.891500e+04   0.000000e+00   0.000000e+00
 9.894500e+04   0.000000e+00   0.000000e+00
 9.897500e+04   0.000000e+00   0.000000e+00
 9.900500e+04   0.000000e+00   0.000000e+00
 9.903500e+04   0.000000e+00   0.000000e+00
 9.906500e+04   0.000000e+00   0.000000e+00
 9.909500e+04   0.000000e+00   0.000000e+00
 9.912500e+04   0.000000e+00   0.000000e+00
 9.915500e+04   0.000000e+00   0.000000e+00
 9.918500e+04   0.000000e+00   0.000000e+00
 9.921500e+04   0.000000e+00   0.000000e+00
 9.924500e+04   0.000000e+00   0.000000e+00
 9.927500e+04   0.000000e+00   0.000000e+00
 9.930500e+04   0.000000e+00   0.000000e+00
 9.933500e+04   0.000000e+00   0.000000e+00
 9.936500e+04   0.000000e+00   0.000000e+00
 9.939500e+04   0.000000e+00   0.000000e+00
 9.942500e+04   0.000000e+00   0.000000e+00
 9.945500e+04   0.000000e+00   0.000000e+00
 9.948500e+04   0.000000e+00   0.000000e+00
 9.951500e+04   0.000000e+00   0.000000e+00
 9.954500e+04   0.000000e+00   0.000000e+00
 9.957500e+04   0.000000e+00   0.000000e+00
 9.960500e+04   0.000000e+00   0.000000e+00
 9.963500e+04   0.000000e+00   0.000000e+00
 9.966500e+04   0.000000e+00   0.000000e+00
 9.969500e+04   0.000000e+00   0.000000e+00
 9.972500e+04   0.000000e+00   0.000000e+00
 9.975500e+04   0.000000e+00   0.000000e+00
 9.978500e+04   0.000000e+00   0.000000e+00
 9.981500e+04   0.000000e+00   0.000000e+00
 9.984500e+04   0.000000e+00   0.000000e+00
 9.987500e+04   0.000000e+00   0.000000e+00
 9.990500e+04   0.000000e+00   0.000000e+00
 9.993500e+04   0.000000e+00   0.000000e+00
 9.996500e+04   0.000000e+00   0.000000e+00
 9.999500e+04   0.000000e+00   0.000000e+00
 1.000250e+05   0.000000e+00   0.000000e+00
 1.000550e+05   0.000000e+00   0.000000e+00
 1.000850e+05   0.000000e+00   0.000000e+00
 1.001150e+05   0.000000e+00   0.000000e+00
 1.001450e+05   0.000000e+00   0.000000e+00
 1.001750e+05   0.000000e+00   0.000000e+00
 1.002050e+05   0.000000e+00   0.000000e+00
 1.002350e+05   0.000000e+00   0.000000e+00
 1.002650e+05   0.000000e+00   0.000000e+00
 1.002950e+05   0.000000e+00   0.000000e+00
 1.003250e+05   0.000000e+00   0.000000e+00
 1.003550e+05   0.000000e+00   0.000000e+00
 1.003850e+05   0.000000e+00   0.000000e+00
 1.004150e+05   0.000000e+00   0.000000e+00
 1.004450e+05   0.000000e+00   0.000000e+00
 1.004750e+05   0.000000e+00   0.000000e+00
 1.005050e+05   0.000000e+00   0.000000e+00
 1.005350e+05   0.000000e+00   0.000000e+00
 1.005650e+05   0.000000e+00   0.000000e+00
 1.005950e+05   0.000000e+00   0.000000e+00
 1.006250e+05   0.000000e+00   0.000000e+00
 1.006550e+05   0.000000e+00   0.000000e+00
 1.006850e+05   0.000000e+00   0.000000e+00
 1.007150e+05   0.000000e+00   0.000000e+00
 1.007450e+05   0.000000e+00   0.000000e+00
 1.007750e+05   0.000000e+00   0.000000e+00
 1.008050e+05   0.000000e+00   0.000000e+00
 1.008350e+05   0.000000e+00   0.000000e+00
 1.008650e+05   0.000000e+00   0.000000e+00
 1.008950e+05   0.000000e+00   0.000000e+00
 1.009250e+05   0.000000e+00   0.000000e+00
 1.009550e+05   0.000000e+00   0.000000e+00
 1.009850e+05   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
