Eph_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.010000e+02   2.997136e-03   2.261721e-03
 3.030000e+02   2.983705e-08   2.983705e-08
 5.050000e+02   0.000000e+00   0.000000e+00
 7.070000e+02   0.000000e+00   0.000000e+00
 9.090000e+02   0.000000e+00   0.000000e+00
 1.111000e+03   0.000000e+00   0.000000e+00
 1.313000e+03   0.000000e+00   0.000000e+00
 1.515000e+03   0.000000e+00   0.000000e+00
 1.717000e+03   0.000000e+00   0.000000e+00
 1.919000e+03   0.000000e+00   0.000000e+00
 2.121000e+03   0.000000e+00   0.000000e+00
 2.323000e+03   0.000000e+00   0.000000e+00
 2.525000e+03   0.000000e+00   0.000000e+00
 2.727000e+03   0.000000e+00   0.000000e+00
 2.929000e+03   0.000000e+00   0.000000e+00
 3.131000e+03   0.000000e+00   0.000000e+00
 3.333000e+03   1.968459e-03   1.968459e-03
 3.535000e+03   0.000000e+00   0.000000e+00
 3.737000e+03   0.000000e+00   0.000000e+00
 3.939000e+03   0.000000e+00   0.000000e+00
 4.141000e+03   0.000000e+00   0.000000e+00
 4.343000e+03   0.000000e+00   0.000000e+00
 4.545000e+03   0.000000e+00   0.000000e+00
 4.747000e+03   0.000000e+00   0.000000e+00
 4.949000e+03   0.000000e+00   0.000000e+00
 5.151000e+03   0.000000e+00   0.000000e+00
 5.353000e+03   3.175244e-18   3.166859e-18
 5.555000e+03   3.362145e-20   3.362145e-20
 5.757000e+03   1.950561e-19   1.524842e-19
 5.959000e+03   2.912562e-19   1.663705e-19
 6.161000e+03   3.186586e-20   2.127977e-20
 6.363000e+03   2.088776e-17   1.457315e-17
 6.565000e+03   6.654673e-18   5.873965e-18
 6.767000e+03   6.012073e-17   5.998918e-17
 6.969000e+03   5.797383e-17   5.781385e-17
 7.171000e+03   7.420855e-19   5.040031e-19
 7.373000e+03   1.452017e-19   1.251943e-19
 7.575000e+03   1.732678e-19   1.053494e-19
 7.777000e+03   3.752362e-19   3.082716e-19
 7.979000e+03   2.403639e-19   1.648171e-19
 8.181000e+03   8.869201e-18   7.957941e-18
 8.383000e+03   2.046552e-19   1.692404e-19
 8.585000e+03   2.534900e-19   2.383667e-19
 8.787000e+03   3.620436e-19   2.415177e-19
 8.989000e+03   3.438784e-19   3.114712e-19
 9.191000e+03   3.754771e-19   2.597603e-19
 9.393000e+03   4.734978e-20   4.419352e-20
 9.595000e+03   6.637686e-16   6.633513e-16
 9.797000e+03   6.483550e-19   5.703262e-19
 9.999000e+03   4.082388e-19   2.628864e-19
 1.020100e+04   6.001925e-19   4.375956e-19
 1.040300e+04   1.151630e-19   7.731010e-20
 1.060500e+04   5.975762e-19   4.613776e-19
 1.080700e+04   5.918928e-19   4.409996e-19
 1.100900e+04   3.924063e-19   2.642471e-19
 1.121100e+04   7.511643e-19   6.272618e-19
 1.141300e+04   2.337836e-19   1.787917e-19
 1.161500e+04   4.184399e-19   2.886273e-19
 1.181700e+04   1.132520e-19   9.451337e-20
 1.201900e+04   6.028017e-19   4.034420e-19
 1.222100e+04   5.515633e-19   4.257309e-19
 1.242300e+04   9.495101e-20   6.402812e-20
 1.262500e+04   1.956920e-18   1.569067e-18
 1.282700e+04   1.090233e-18   7.509571e-19
 1.302900e+04   3.249081e-19   3.197276e-19
 1.323100e+04   2.005832e-19   2.005832e-19
 1.343300e+04   2.324063e-18   1.667613e-18
 1.363500e+04   6.324547e-19   5.434281e-19
 1.383700e+04   1.623279e-19   1.623279e-19
 1.403900e+04   5.763747e-19   5.063788e-19
 1.424100e+04   7.034604e-16   6.992360e-16
 1.444300e+04   3.181577e-20   3.181577e-20
 1.464500e+04   3.661062e-19   1.908147e-19
 1.484700e+04   1.358058e-16   1.342617e-16
 1.504900e+04   3.059255e-16   3.047325e-16
 1.525100e+04   1.703940e-16   1.693671e-16
 1.545300e+04   2.552358e-16   2.506138e-16
 1.565500e+04   1.430206e-16   1.356154e-16
 1.585700e+04   8.521991e-16   5.804876e-16
 1.605900e+04   4.158820e-16   3.825709e-16
 1.626100e+04   1.165145e-15   1.156146e-15
 1.646300e+04   1.303212e-15   1.259720e-15
 1.666500e+04   6.482630e-16   5.749775e-16
 1.686700e+04   2.461010e-16   2.225554e-16
 1.706900e+04   4.290337e-16   4.130333e-16
 1.727100e+04   1.441952e-15   1.251344e-15
 1.747300e+04   1.626822e-15   1.611791e-15
 1.767500e+04   2.365741e-14   2.357784e-14
 1.787700e+04   1.094918e-15   9.865928e-16
 1.807900e+04   7.468880e-14   7.427287e-14
 1.828100e+04   9.954318e-16   8.994971e-16
 1.848300e+04   6.061366e-16   5.833378e-16
 1.868500e+04   1.580980e-15   1.555433e-15
 1.888700e+04   2.500308e-16   2.319170e-16
 1.908900e+04   2.642105e-15   2.516656e-15
 1.929100e+04   2.257129e-16   1.962782e-16
 1.949300e+04   4.269502e-16   3.389881e-16
 1.969500e+04   6.943790e-15   6.862404e-15
 1.989700e+04   3.152621e-15   3.056786e-15
 2.009900e+04   1.115703e-14   1.111527e-14
 2.030100e+04   1.781549e-15   1.734815e-15
 2.050300e+04   6.021337e-16   4.523375e-16
 2.070500e+04   2.660454e-14   2.630242e-14
 2.090700e+04   5.266738e-16   4.391396e-16
 2.110900e+04   7.550836e-16   5.103796e-16
 2.131100e+04   2.130297e-15   2.066945e-15
 2.151300e+04   1.371065e-14   1.367109e-14
 2.171500e+04   2.280368e-15   2.214284e-15
 2.191700e+04   1.503159e-15   1.481982e-15
 2.211900e+04   7.090194e-15   4.886430e-15
 2.232100e+04   1.124056e-15   7.941766e-16
 2.252300e+04   2.232154e-14   2.190879e-14
 2.272500e+04   2.795846e-15   2.568537e-15
 2.292700e+04   2.022081e-15   1.958991e-15
 2.312900e+04   9.952280e-15   9.804524e-15
 2.333100e+04   5.469722e-14   5.438776e-14
 2.353300e+04   1.890429e-15   1.694415e-15
 2.373500e+04   1.740405e-15   1.602123e-15
 2.393700e+04   1.804147e-14   1.782477e-14
 2.413900e+04   6.403143e-15   6.220768e-15
 2.434100e+04   5.238115e-15   4.987642e-15
 2.454300e+04   5.502861e-15   4.989986e-15
