Eph_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.010000e+02   7.440414e-03   7.232831e-06
 3.030000e+02   1.078851e-04   4.187896e-06
 5.050000e+02   6.056134e-05   2.963109e-06
 7.070000e+02   4.555848e-05   9.648328e-07
 9.090000e+02   3.243021e-05   1.379720e-06
 1.111000e+03   2.717523e-05   6.232765e-07
 1.313000e+03   2.216726e-05   6.202360e-07
 1.515000e+03   2.109984e-05   4.795449e-07
 1.717000e+03   1.835573e-05   7.159420e-07
 1.919000e+03   1.656104e-05   2.389553e-07
 2.121000e+03   1.449328e-05   4.561932e-07
 2.323000e+03   1.308640e-05   4.287260e-07
 2.525000e+03   1.223174e-05   3.085894e-07
 2.727000e+03   1.140078e-05   5.567116e-07
 2.929000e+03   1.035644e-05   3.518899e-07
 3.131000e+03   9.655914e-06   4.572677e-07
 3.333000e+03   9.151666e-06   3.993884e-07
 3.535000e+03   9.566830e-06   3.211106e-07
 3.737000e+03   8.959670e-06   1.510375e-07
 3.939000e+03   8.390515e-06   2.039728e-07
 4.141000e+03   8.469848e-06   3.596523e-07
 4.343000e+03   8.297515e-06   2.675631e-07
 4.545000e+03   7.714341e-06   2.600080e-07
 4.747000e+03   7.577875e-06   3.150150e-07
 4.949000e+03   7.160952e-06   2.849525e-07
 5.151000e+03   7.114838e-06   1.759575e-07
 5.353000e+03   7.148793e-06   1.613279e-07
 5.555000e+03   6.780609e-06   1.805252e-07
 5.757000e+03   6.743142e-06   2.515570e-07
 5.959000e+03   6.758199e-06   2.217490e-07
 6.161000e+03   6.988956e-06   2.563793e-07
 6.363000e+03   6.329454e-06   1.767391e-07
 6.565000e+03   6.601824e-06   2.480882e-07
 6.767000e+03   6.369405e-06   2.522023e-07
 6.969000e+03   6.366426e-06   1.520833e-07
 7.171000e+03   6.440364e-06   1.565769e-07
 7.373000e+03   6.172915e-06   1.513642e-07
 7.575000e+03   6.601366e-06   1.950146e-07
 7.777000e+03   6.162163e-06   1.718808e-07
 7.979000e+03   5.994337e-06   1.010870e-07
 8.181000e+03   5.834134e-06   1.266557e-07
 8.383000e+03   6.010174e-06   1.373410e-07
 8.585000e+03   5.755145e-06   1.894759e-07
 8.787000e+03   6.059420e-06   1.845408e-07
 8.989000e+03   6.030204e-06   1.806117e-07
 9.191000e+03   5.623972e-06   1.507130e-07
 9.393000e+03   5.805788e-06   2.517243e-07
 9.595000e+03   5.949481e-06   1.599886e-07
 9.797000e+03   5.705333e-06   1.665814e-07
 9.999000e+03   5.795102e-06   2.068052e-07
 1.020100e+04   5.509346e-06   1.592893e-07
 1.040300e+04   5.836333e-06   1.660405e-07
 1.060500e+04   6.170811e-06   1.497741e-07
 1.080700e+04   5.392690e-06   1.154437e-07
 1.100900e+04   6.133579e-06   2.200075e-07
 1.121100e+04   5.688814e-06   1.465343e-07
 1.141300e+04   5.707679e-06   1.300088e-07
 1.161500e+04   5.990810e-06   2.047425e-07
 1.181700e+04   5.962754e-06   2.164368e-07
 1.201900e+04   6.525747e-06   2.886765e-07
 1.222100e+04   5.686575e-06   1.319989e-07
 1.242300e+04   5.736396e-06   1.529361e-07
 1.262500e+04   6.070715e-06   1.597386e-07
 1.282700e+04   5.565694e-06   1.051167e-07
 1.302900e+04   6.100770e-06   1.853504e-07
 1.323100e+04   5.547484e-06   1.510094e-07
 1.343300e+04   6.136301e-06   2.394595e-07
 1.363500e+04   5.574122e-06   1.487190e-07
 1.383700e+04   5.870085e-06   1.320996e-07
 1.403900e+04   5.766369e-06   1.217536e-07
 1.424100e+04   5.594554e-06   1.583721e-07
 1.444300e+04   6.014329e-06   2.083033e-07
 1.464500e+04   5.575229e-06   1.594794e-07
 1.484700e+04   6.129480e-06   2.273325e-07
 1.504900e+04   5.965335e-06   2.200833e-07
 1.525100e+04   5.753060e-06   1.503357e-07
 1.545300e+04   6.050975e-06   2.387297e-07
 1.565500e+04   5.874849e-06   1.749329e-07
 1.585700e+04   5.653961e-06   1.130404e-07
 1.605900e+04   5.972093e-06   1.989751e-07
 1.626100e+04   5.870386e-06   1.285889e-07
 1.646300e+04   5.818538e-06   1.378766e-07
 1.666500e+04   5.859471e-06   2.028087e-07
 1.686700e+04   5.864038e-06   1.432216e-07
 1.706900e+04   6.124010e-06   1.876588e-07
 1.727100e+04   6.027000e-06   1.859318e-07
 1.747300e+04   6.184326e-06   1.626961e-07
 1.767500e+04   5.787042e-06   1.342973e-07
 1.787700e+04   6.306854e-06   1.867860e-07
 1.807900e+04   5.812279e-06   1.077693e-07
 1.828100e+04   6.146477e-06   1.543135e-07
 1.848300e+04   5.972605e-06   2.166235e-07
 1.868500e+04   6.362564e-06   1.668226e-07
 1.888700e+04   6.421941e-06   1.668252e-07
 1.908900e+04   6.011999e-06   1.026774e-07
 1.929100e+04   6.117666e-06   1.742346e-07
 1.949300e+04   6.166294e-06   1.553632e-07
 1.969500e+04   6.042387e-06   1.621616e-07
 1.989700e+04   6.066580e-06   1.285319e-07
 2.009900e+04   6.189673e-06   1.588273e-07
 2.030100e+04   6.324187e-06   1.837807e-07
 2.050300e+04   6.202602e-06   2.120893e-07
 2.070500e+04   6.445250e-06   1.607767e-07
 2.090700e+04   6.072531e-06   1.622006e-07
 2.110900e+04   6.362240e-06   1.589276e-07
 2.131100e+04   6.599734e-06   1.804033e-07
 2.151300e+04   7.010199e-06   1.408717e-07
 2.171500e+04   6.509644e-06   1.487082e-07
 2.191700e+04   6.865761e-06   9.743684e-08
 2.211900e+04   7.119099e-06   2.247755e-07
 2.232100e+04   7.059792e-06   2.108004e-07
 2.252300e+04   6.938917e-06   1.681630e-07
 2.272500e+04   6.953616e-06   2.181049e-07
 2.292700e+04   6.857214e-06   1.657170e-07
 2.312900e+04   7.169005e-06   1.627327e-07
 2.333100e+04   7.219414e-06   1.390885e-07
 2.353300e+04   7.356501e-06   1.544646e-07
 2.373500e+04   7.695287e-06   1.518108e-07
 2.393700e+04   7.785504e-06   2.033527e-07
 2.413900e+04   7.948544e-06   1.583259e-07
 2.434100e+04   7.764246e-06   1.725803e-07
 2.454300e+04   8.095772e-06   1.638697e-07
 2.474500e+04   7.906970e-06   1.521740e-07
 2.494700e+04   8.301209e-06   2.354192e-07
 2.514900e+04   8.378229e-06   2.545296e-07
 2.535100e+04   8.368965e-06   1.399901e-07
 2.555300e+04   8.710255e-06   2.853924e-07
 2.575500e+04   8.403321e-06   2.712861e-07
 2.595700e+04   7.920864e-06   1.498016e-07
 2.615900e+04   7.902018e-06   1.199546e-07
 2.636100e+04   8.049565e-06   2.609152e-07
 2.656300e+04   7.317146e-06   1.227380e-07
 2.676500e+04   7.725977e-06   1.629772e-07
 2.696700e+04   7.006522e-06   1.138126e-07
 2.716900e+04   7.531426e-06   1.956336e-07
 2.737100e+04   7.082825e-06   1.187953e-07
 2.757300e+04   6.807644e-06   1.786077e-07
