Eph_lab bin centers    value    Error 
-inf   1.324655e-02   1.151436e-02
 1.059500e+03   1.415403e-06   1.281585e-06
 3.078500e+03   3.570179e-07   3.041196e-07
 5.097500e+03   4.395406e-07   3.924307e-07
 7.116500e+03   6.010420e-07   4.245439e-07
 9.135500e+03   5.309965e-08   3.540835e-08
 1.115450e+04   4.720854e-07   4.580753e-07
 1.317350e+04   7.249830e-08   5.272435e-08
 1.519250e+04   5.516533e-08   3.928897e-08
 1.721150e+04   6.839509e-08   5.044754e-08
 1.923050e+04   4.692983e-08   3.372982e-08
 2.124950e+04   1.279830e-07   8.591445e-08
 2.326850e+04   5.105988e-08   3.639559e-08
 2.528750e+04   6.067488e-08   5.008036e-08
 2.730650e+04   3.506594e-08   2.537652e-08
 2.932550e+04   2.384044e-08   2.204112e-08
 3.134450e+04   0.000000e+00   0.000000e+00
 3.336350e+04   0.000000e+00   0.000000e+00
 3.538250e+04   0.000000e+00   0.000000e+00
 3.740150e+04   0.000000e+00   0.000000e+00
 3.942050e+04   0.000000e+00   0.000000e+00
 4.143950e+04   0.000000e+00   0.000000e+00
 4.345850e+04   0.000000e+00   0.000000e+00
 4.547750e+04   0.000000e+00   0.000000e+00
 4.749650e+04   0.000000e+00   0.000000e+00
 4.951550e+04   0.000000e+00   0.000000e+00
 5.153450e+04   0.000000e+00   0.000000e+00
 5.355350e+04   0.000000e+00   0.000000e+00
 5.557250e+04   0.000000e+00   0.000000e+00
 5.759150e+04   0.000000e+00   0.000000e+00
 5.961050e+04   0.000000e+00   0.000000e+00
 6.162950e+04   0.000000e+00   0.000000e+00
 6.364850e+04   0.000000e+00   0.000000e+00
 6.566750e+04   0.000000e+00   0.000000e+00
 6.768650e+04   0.000000e+00   0.000000e+00
 6.970550e+04   0.000000e+00   0.000000e+00
 7.172450e+04   0.000000e+00   0.000000e+00
 7.374350e+04   0.000000e+00   0.000000e+00
 7.576250e+04   0.000000e+00   0.000000e+00
 7.778150e+04   0.000000e+00   0.000000e+00
 7.980050e+04   0.000000e+00   0.000000e+00
 8.181950e+04   0.000000e+00   0.000000e+00
 8.383850e+04   0.000000e+00   0.000000e+00
 8.585750e+04   0.000000e+00   0.000000e+00
 8.787650e+04   0.000000e+00   0.000000e+00
 8.989550e+04   0.000000e+00   0.000000e+00
 9.191450e+04   0.000000e+00   0.000000e+00
 9.393350e+04   0.000000e+00   0.000000e+00
 9.595250e+04   0.000000e+00   0.000000e+00
 9.797150e+04   0.000000e+00   0.000000e+00
 9.999050e+04   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
