Eph_lab bin centers    value    Error 
-inf   2.030995e+00   2.313334e-03
 1.509500e+02   8.869000e-04   7.041840e-06
 3.528500e+02   3.187504e-04   1.562795e-06
 5.547500e+02   1.986855e-04   1.588179e-06
 7.566500e+02   1.434615e-04   8.139112e-07
 9.585500e+02   1.144064e-04   5.413307e-07
 1.160450e+03   9.258693e-05   5.712317e-07
 1.362350e+03   7.945029e-05   7.332294e-07
 1.564250e+03   6.872678e-05   4.280721e-07
 1.766150e+03   6.217452e-05   5.129793e-07
 1.968050e+03   5.494062e-05   3.118198e-07
 2.169950e+03   4.972902e-05   3.145631e-07
 2.371850e+03   4.583316e-05   2.848872e-07
 2.573750e+03   4.185921e-05   2.364747e-07
 2.775650e+03   4.008480e-05   1.618573e-07
 2.977550e+03   3.586305e-05   3.817720e-07
 3.179450e+03   3.365978e-05   1.124449e-07
 3.381350e+03   3.189912e-05   1.754163e-07
 3.583250e+03   3.004980e-05   1.241819e-07
 3.785150e+03   2.889804e-05   1.515569e-07
 3.987050e+03   2.710657e-05   2.396186e-07
 4.188950e+03   2.574857e-05   1.249201e-07
 4.390850e+03   2.488081e-05   1.139040e-07
 4.592750e+03   2.425703e-05   1.091280e-07
 4.794650e+03   2.317996e-05   1.402700e-07
 4.996550e+03   2.233125e-05   8.052748e-08
 5.198450e+03   2.174943e-05   9.414735e-08
 5.400350e+03   2.106158e-05   1.172626e-07
 5.602250e+03   2.026899e-05   1.817998e-07
 5.804150e+03   1.991016e-05   9.805259e-08
 6.006050e+03   1.945777e-05   1.894000e-07
 6.207950e+03   1.910256e-05   4.459085e-08
 6.409850e+03   1.883416e-05   1.527167e-07
 6.611750e+03   1.805032e-05   2.156796e-07
 6.813650e+03   1.769138e-05   1.230241e-07
 7.015550e+03   1.803177e-05   1.516321e-07
 7.217450e+03   1.706434e-05   1.456061e-07
 7.419350e+03   1.684279e-05   2.520136e-07
 7.621250e+03   1.679162e-05   2.950215e-07
 7.823150e+03   1.667502e-05   1.970689e-07
 8.025050e+03   1.626936e-05   2.302087e-07
 8.226950e+03   1.632433e-05   2.987453e-07
 8.428850e+03   1.553389e-05   1.800327e-07
 8.630750e+03   1.559404e-05   8.048052e-08
 8.832650e+03   1.551759e-05   2.258042e-07
 9.034550e+03   1.540513e-05   2.597093e-07
 9.236450e+03   1.504661e-05   2.486241e-07
 9.438350e+03   1.517532e-05   6.505583e-08
 9.640250e+03   1.451720e-05   1.145780e-07
 9.842150e+03   1.465091e-05   1.390615e-07
 1.004405e+04   1.426132e-05   7.941981e-08
 1.024595e+04   1.503138e-05   4.317397e-07
 1.044785e+04   1.473327e-05   2.843030e-07
 1.064975e+04   1.459517e-05   2.046183e-07
 1.085165e+04   1.402692e-05   2.793216e-07
 1.105355e+04   1.447521e-05   2.104334e-07
 1.125545e+04   1.402275e-05   5.534073e-08
 1.145735e+04   1.470116e-05   2.390061e-07
 1.165925e+04   1.428609e-05   1.421750e-07
 1.186115e+04   1.414038e-05   1.996147e-07
 1.206305e+04   1.377124e-05   9.142526e-08
 1.226495e+04   1.345506e-05   2.528369e-07
 1.246685e+04   1.404544e-05   2.187746e-07
 1.266875e+04   1.428125e-05   2.032659e-07
 1.287065e+04   1.424093e-05   1.500294e-07
 1.307255e+04   1.313698e-05   2.172895e-07
 1.327445e+04   1.365432e-05   3.159797e-07
 1.347635e+04   1.314927e-05   3.182741e-07
 1.367825e+04   1.352299e-05   3.184571e-07
 1.388015e+04   1.405490e-05   3.474847e-07
 1.408205e+04   1.331563e-05   2.442441e-07
 1.428395e+04   1.328218e-05   1.689476e-07
 1.448585e+04   1.317442e-05   2.626873e-07
 1.468775e+04   1.283882e-05   2.905689e-07
 1.488965e+04   1.283346e-05   1.691185e-07
 1.509155e+04   1.295168e-05   1.719169e-07
 1.529345e+04   1.249455e-05   1.845467e-07
 1.549535e+04   1.273913e-05   1.217433e-07
 1.569725e+04   1.187116e-05   1.658303e-07
 1.589915e+04   1.236775e-05   1.936551e-07
 1.610105e+04   1.244449e-05   2.121427e-07
 1.630295e+04   1.265422e-05   2.729086e-07
 1.650485e+04   1.251135e-05   3.041923e-07
 1.670675e+04   1.237100e-05   3.247571e-07
 1.690865e+04   1.234179e-05   2.330951e-07
 1.711055e+04   1.238407e-05   2.299198e-07
 1.731245e+04   1.214881e-05   1.152717e-07
 1.751435e+04   1.210977e-05   2.891494e-07
 1.771625e+04   1.306748e-05   3.016664e-07
 1.791815e+04   1.174900e-05   2.385747e-07
 1.812005e+04   1.172550e-05   2.108284e-07
 1.832195e+04   1.180264e-05   4.080357e-07
 1.852385e+04   1.118917e-05   1.689190e-07
 1.872575e+04   1.162957e-05   3.852739e-07
 1.892765e+04   1.091566e-05   1.547678e-07
 1.912955e+04   1.127052e-05   1.484143e-07
 1.933145e+04   1.187817e-05   1.868047e-07
 1.953335e+04   1.157044e-05   2.247911e-07
 1.973525e+04   1.154722e-05   1.822266e-07
 1.993715e+04   1.141248e-05   6.463365e-08
 2.013905e+04   1.073161e-05   1.994068e-07
 2.034095e+04   1.136616e-05   2.976182e-07
 2.054285e+04   1.070055e-05   2.464491e-07
 2.074475e+04   1.087389e-05   2.806316e-07
 2.094665e+04   1.102171e-05   1.630555e-07
 2.114855e+04   1.078568e-05   3.118106e-07
 2.135045e+04   1.073320e-05   3.305408e-07
 2.155235e+04   1.073818e-05   1.544466e-07
 2.175425e+04   1.012172e-05   1.955704e-07
 2.195615e+04   1.026163e-05   2.651887e-07
 2.215805e+04   1.019654e-05   5.075401e-08
 2.235995e+04   9.967573e-06   1.451948e-07
 2.256185e+04   1.042673e-05   2.088329e-07
 2.276375e+04   1.039934e-05   2.757390e-07
 2.296565e+04   1.000039e-05   1.786293e-07
 2.316755e+04   9.816252e-06   1.962278e-07
 2.336945e+04   9.546274e-06   2.720166e-07
 2.357135e+04   1.023164e-05   1.669759e-07
 2.377325e+04   1.070730e-05   3.530906e-07
 2.397515e+04   9.390918e-06   8.653293e-08
 2.417705e+04   9.816585e-06   2.291638e-07
 2.437895e+04   9.446098e-06   1.914192e-07
 2.458085e+04   1.018881e-05   2.497526e-07
 2.478275e+04   9.683350e-06   3.030720e-07
 2.498465e+04   9.734050e-06   1.199192e-07
 2.518655e+04   9.274270e-06   3.112778e-07
 2.538845e+04   9.995586e-06   2.028357e-07
 2.559035e+04   8.930901e-06   1.929502e-07
 2.579225e+04   8.403899e-06   1.071895e-07
 2.599415e+04   8.970619e-06   1.958049e-07
 2.619605e+04   1.057042e-05   5.493701e-08
 2.639795e+04   8.984840e-06   1.581427e-07
 2.659985e+04   9.068153e-06   1.203952e-07
 2.680175e+04   8.914013e-06   2.418169e-07
 2.700365e+04   7.549188e-06   5.755132e-08
 2.720555e+04   8.557827e-06   2.191901e-07
 2.740745e+04   8.840411e-06   3.977029e-07
 2.760935e+04   8.063790e-06   1.102250e-07
 2.781125e+04   8.776158e-06   3.041977e-07
 2.801315e+04   8.408506e-06   1.978155e-07
 2.821505e+04   7.540272e-06   2.163312e-07
 2.841695e+04   8.302242e-06   1.982797e-07
 2.861885e+04   7.056589e-06   2.131185e-07
 2.882075e+04   7.607098e-06   3.112254e-07
 2.902265e+04   8.838230e-06   4.640602e-07
 2.922455e+04   7.111469e-06   2.991236e-07
 2.942645e+04   7.729018e-06   4.048776e-07
 2.962835e+04   6.841867e-06   2.551087e-07
 2.983025e+04   7.606633e-06   3.552669e-07
 3.003215e+04   2.130664e-06   2.316657e-07
 3.023405e+04   0.000000e+00   0.000000e+00
 3.043595e+04   0.000000e+00   0.000000e+00
 3.063785e+04   0.000000e+00   0.000000e+00
 3.083975e+04   0.000000e+00   0.000000e+00
 3.104165e+04   0.000000e+00   0.000000e+00
 3.124355e+04   0.000000e+00   0.000000e+00
 3.144545e+04   0.000000e+00   0.000000e+00
 3.164735e+04   0.000000e+00   0.000000e+00
 3.184925e+04   0.000000e+00   0.000000e+00
 3.205115e+04   0.000000e+00   0.000000e+00
 3.225305e+04   0.000000e+00   0.000000e+00
 3.245495e+04   0.000000e+00   0.000000e+00
 3.265685e+04   0.000000e+00   0.000000e+00
 3.285875e+04   0.000000e+00   0.000000e+00
 3.306065e+04   0.000000e+00   0.000000e+00
 3.326255e+04   0.000000e+00   0.000000e+00
 3.346445e+04   0.000000e+00   0.000000e+00
 3.366635e+04   0.000000e+00   0.000000e+00
 3.386825e+04   0.000000e+00   0.000000e+00
 3.407015e+04   0.000000e+00   0.000000e+00
 3.427205e+04   0.000000e+00   0.000000e+00
 3.447395e+04   0.000000e+00   0.000000e+00
 3.467585e+04   0.000000e+00   0.000000e+00
 3.487775e+04   0.000000e+00   0.000000e+00
 3.507965e+04   0.000000e+00   0.000000e+00
 3.528155e+04   0.000000e+00   0.000000e+00
 3.548345e+04   0.000000e+00   0.000000e+00
 3.568535e+04   0.000000e+00   0.000000e+00
 3.588725e+04   0.000000e+00   0.000000e+00
 3.608915e+04   0.000000e+00   0.000000e+00
 3.629105e+04   0.000000e+00   0.000000e+00
 3.649295e+04   0.000000e+00   0.000000e+00
 3.669485e+04   0.000000e+00   0.000000e+00
 3.689675e+04   0.000000e+00   0.000000e+00
 3.709865e+04   0.000000e+00   0.000000e+00
 3.730055e+04   0.000000e+00   0.000000e+00
 3.750245e+04   0.000000e+00   0.000000e+00
 3.770435e+04   0.000000e+00   0.000000e+00
 3.790625e+04   0.000000e+00   0.000000e+00
 3.810815e+04   0.000000e+00   0.000000e+00
 3.831005e+04   0.000000e+00   0.000000e+00
 3.851195e+04   0.000000e+00   0.000000e+00
 3.871385e+04   0.000000e+00   0.000000e+00
 3.891575e+04   0.000000e+00   0.000000e+00
 3.911765e+04   0.000000e+00   0.000000e+00
 3.931955e+04   0.000000e+00   0.000000e+00
 3.952145e+04   0.000000e+00   0.000000e+00
 3.972335e+04   0.000000e+00   0.000000e+00
 3.992525e+04   0.000000e+00   0.000000e+00
 4.012715e+04   0.000000e+00   0.000000e+00
 4.032905e+04   0.000000e+00   0.000000e+00
 4.053095e+04   0.000000e+00   0.000000e+00
 4.073285e+04   0.000000e+00   0.000000e+00
 4.093475e+04   0.000000e+00   0.000000e+00
 4.113665e+04   0.000000e+00   0.000000e+00
 4.133855e+04   0.000000e+00   0.000000e+00
 4.154045e+04   0.000000e+00   0.000000e+00
 4.174235e+04   0.000000e+00   0.000000e+00
 4.194425e+04   0.000000e+00   0.000000e+00
 4.214615e+04   0.000000e+00   0.000000e+00
 4.234805e+04   0.000000e+00   0.000000e+00
 4.254995e+04   0.000000e+00   0.000000e+00
 4.275185e+04   0.000000e+00   0.000000e+00
 4.295375e+04   0.000000e+00   0.000000e+00
 4.315565e+04   0.000000e+00   0.000000e+00
 4.335755e+04   0.000000e+00   0.000000e+00
 4.355945e+04   0.000000e+00   0.000000e+00
